네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션의류
조회기간 : 2017.08.01. ~ 2018.04.18. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","핸드메이드코트"
"2017-08-01",2
"2017-08-02",2
"2017-08-03",2
"2017-08-04",2
"2017-08-05",2
"2017-08-06",4
"2017-08-07",3
"2017-08-08",3
"2017-08-09",3
"2017-08-10",3
"2017-08-11",4
"2017-08-12",4
"2017-08-13",4
"2017-08-14",3
"2017-08-15",5
"2017-08-16",5
"2017-08-17",6
"2017-08-18",6
"2017-08-19",7
"2017-08-20",7
"2017-08-21",6
"2017-08-22",5
"2017-08-23",4
"2017-08-24",4
"2017-08-25",4
"2017-08-26",4
"2017-08-27",7
"2017-08-28",6
"2017-08-29",6
"2017-08-30",7
"2017-08-31",6
"2017-09-01",6
"2017-09-02",5
"2017-09-03",5
"2017-09-04",4
"2017-09-05",4
"2017-09-06",4
"2017-09-07",6
"2017-09-08",5
"2017-09-09",5
"2017-09-10",6
"2017-09-11",4
"2017-09-12",5
"2017-09-13",4
"2017-09-14",5
"2017-09-15",5
"2017-09-16",6
"2017-09-17",7
"2017-09-18",7
"2017-09-19",7
"2017-09-20",5
"2017-09-21",7
"2017-09-22",6
"2017-09-23",7
"2017-09-24",7
"2017-09-25",6
"2017-09-26",7
"2017-09-27",10
"2017-09-28",10
"2017-09-29",11
"2017-09-30",13
"2017-10-01",18
"2017-10-02",19
"2017-10-03",19
"2017-10-04",18
"2017-10-05",19
"2017-10-06",26
"2017-10-07",26
"2017-10-08",26
"2017-10-09",30
"2017-10-10",23
"2017-10-11",27
"2017-10-12",43
"2017-10-13",46
"2017-10-14",44
"2017-10-15",58
"2017-10-16",47
"2017-10-17",51
"2017-10-18",50
"2017-10-19",46
"2017-10-20",38
"2017-10-21",38
"2017-10-22",47
"2017-10-23",51
"2017-10-24",54
"2017-10-25",55
"2017-10-26",52
"2017-10-27",45
"2017-10-28",43
"2017-10-29",63
"2017-10-30",77
"2017-10-31",77
"2017-11-01",75
"2017-11-02",70
"2017-11-03",65
"2017-11-04",74
"2017-11-05",91
"2017-11-06",100
"2017-11-07",87
"2017-11-08",79
"2017-11-09",73
"2017-11-10",68
"2017-11-11",71
"2017-11-12",90
"2017-11-13",90
"2017-11-14",85
"2017-11-15",83
"2017-11-16",71
"2017-11-17",60
"2017-11-18",66
"2017-11-19",70
"2017-11-20",69
"2017-11-21",64
"2017-11-22",65
"2017-11-23",56
"2017-11-24",45
"2017-11-25",49
"2017-11-26",57
"2017-11-27",56
"2017-11-28",58
"2017-11-29",56
"2017-11-30",47
"2017-12-01",42
"2017-12-02",47
"2017-12-03",59
"2017-12-04",52
"2017-12-05",47
"2017-12-06",43
"2017-12-07",44
"2017-12-08",34
"2017-12-09",40
"2017-12-10",51
"2017-12-11",45
"2017-12-12",37
"2017-12-13",35
"2017-12-14",33
"2017-12-15",30
"2017-12-16",33
"2017-12-17",40
"2017-12-18",34
"2017-12-19",32
"2017-12-20",29
"2017-12-21",29
"2017-12-22",25
"2017-12-23",28
"2017-12-24",32
"2017-12-25",33
"2017-12-26",34
"2017-12-27",29
"2017-12-28",27
"2017-12-29",24
"2017-12-30",28
"2017-12-31",26
"2018-01-01",32
"2018-01-02",31
"2018-01-03",28
"2018-01-04",29
"2018-01-05",28
"2018-01-06",32
"2018-01-07",42
"2018-01-08",34
"2018-01-09",34
"2018-01-10",30
"2018-01-11",28
"2018-01-12",24
"2018-01-13",30
"2018-01-14",40
"2018-01-15",40
"2018-01-16",40
"2018-01-17",34
"2018-01-18",36
"2018-01-19",32
"2018-01-20",37
"2018-01-21",45
"2018-01-22",37
"2018-01-23",33
"2018-01-24",30
"2018-01-25",28
"2018-01-26",23
"2018-01-27",27
"2018-01-28",34
"2018-01-29",31
"2018-01-30",32
"2018-01-31",28
"2018-02-01",32
"2018-02-02",28
"2018-02-03",35
"2018-02-04",43
"2018-02-05",32
"2018-02-06",34
"2018-02-07",30
"2018-02-08",29
"2018-02-09",25
"2018-02-10",27
"2018-02-11",35
"2018-02-12",28
"2018-02-13",25
"2018-02-14",21
"2018-02-15",21
"2018-02-16",21
"2018-02-17",23
"2018-02-18",39
"2018-02-19",34
"2018-02-20",34
"2018-02-21",31
"2018-02-22",30
"2018-02-23",25
"2018-02-24",30
"2018-02-25",38
"2018-02-26",35
"2018-02-27",32
"2018-02-28",29
"2018-03-01",28
"2018-03-02",24
"2018-03-03",21
"2018-03-04",27
"2018-03-05",20
"2018-03-06",22
"2018-03-07",20
"2018-03-08",17
"2018-03-09",15
"2018-03-10",19
"2018-03-11",20
"2018-03-12",14
"2018-03-13",10
"2018-03-14",6
"2018-03-15",4
"2018-03-16",4
"2018-03-17",5
"2018-03-18",7
"2018-03-19",7
"2018-03-20",7
"2018-03-21",7
"2018-03-22",6
"2018-03-23",6
"2018-03-24",6
"2018-03-25",5
"2018-03-26",3
"2018-03-27",2
"2018-03-28",1
"2018-03-29",1
"2018-03-30",1
"2018-03-31",1
"2018-04-01",1
"2018-04-02",1
"2018-04-03",
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",2
"2018-04-10",1
"2018-04-11",1
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",1
"2018-04-16",
"2018-04-17",
"2018-04-18",
