네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","토리버치크로스백"
"2017-08-01",30
"2017-08-02",31
"2017-08-03",30
"2017-08-04",26
"2017-08-05",33
"2017-08-06",37
"2017-08-07",33
"2017-08-08",33
"2017-08-09",36
"2017-08-10",41
"2017-08-11",31
"2017-08-12",28
"2017-08-13",35
"2017-08-14",30
"2017-08-15",48
"2017-08-16",40
"2017-08-17",40
"2017-08-18",34
"2017-08-19",42
"2017-08-20",54
"2017-08-21",43
"2017-08-22",39
"2017-08-23",35
"2017-08-24",39
"2017-08-25",44
"2017-08-26",49
"2017-08-27",62
"2017-08-28",51
"2017-08-29",55
"2017-08-30",45
"2017-08-31",48
"2017-09-01",44
"2017-09-02",44
"2017-09-03",65
"2017-09-04",55
"2017-09-05",44
"2017-09-06",53
"2017-09-07",52
"2017-09-08",43
"2017-09-09",50
"2017-09-10",67
"2017-09-11",59
"2017-09-12",50
"2017-09-13",49
"2017-09-14",45
"2017-09-15",43
"2017-09-16",46
"2017-09-17",62
"2017-09-18",56
"2017-09-19",57
"2017-09-20",51
"2017-09-21",52
"2017-09-22",48
"2017-09-23",55
"2017-09-24",63
"2017-09-25",53
"2017-09-26",57
"2017-09-27",58
"2017-09-28",45
"2017-09-29",43
"2017-09-30",49
"2017-10-01",56
"2017-10-02",60
"2017-10-03",45
"2017-10-04",51
"2017-10-05",61
"2017-10-06",70
"2017-10-07",76
"2017-10-08",82
"2017-10-09",82
"2017-10-10",71
"2017-10-11",61
"2017-10-12",65
"2017-10-13",45
"2017-10-14",52
"2017-10-15",61
"2017-10-16",55
"2017-10-17",59
"2017-10-18",56
"2017-10-19",61
"2017-10-20",49
"2017-10-21",51
"2017-10-22",68
"2017-10-23",61
"2017-10-24",62
"2017-10-25",57
"2017-10-26",58
"2017-10-27",49
"2017-10-28",58
"2017-10-29",69
"2017-10-30",56
"2017-10-31",50
"2017-11-01",58
"2017-11-02",55
"2017-11-03",53
"2017-11-04",60
"2017-11-05",67
"2017-11-06",64
"2017-11-07",59
"2017-11-08",56
"2017-11-09",62
"2017-11-10",52
"2017-11-11",62
"2017-11-12",65
"2017-11-13",61
"2017-11-14",61
"2017-11-15",51
"2017-11-16",52
"2017-11-17",50
"2017-11-18",43
"2017-11-19",62
"2017-11-20",53
"2017-11-21",45
"2017-11-22",47
"2017-11-23",48
"2017-11-24",46
"2017-11-25",53
"2017-11-26",64
"2017-11-27",57
"2017-11-28",50
"2017-11-29",51
"2017-11-30",47
"2017-12-01",45
"2017-12-02",47
"2017-12-03",73
"2017-12-04",58
"2017-12-05",56
"2017-12-06",55
"2017-12-07",50
"2017-12-08",45
"2017-12-09",54
"2017-12-10",77
"2017-12-11",57
"2017-12-12",50
"2017-12-13",51
"2017-12-14",50
"2017-12-15",50
"2017-12-16",53
"2017-12-17",69
"2017-12-18",55
"2017-12-19",55
"2017-12-20",57
"2017-12-21",50
"2017-12-22",46
"2017-12-23",53
"2017-12-24",59
"2017-12-25",72
"2017-12-26",64
"2017-12-27",61
"2017-12-28",63
"2017-12-29",55
"2017-12-30",59
"2017-12-31",62
"2018-01-01",61
"2018-01-02",53
"2018-01-03",53
"2018-01-04",49
"2018-01-05",50
"2018-01-06",54
"2018-01-07",69
"2018-01-08",61
"2018-01-09",57
"2018-01-10",53
"2018-01-11",55
"2018-01-12",53
"2018-01-13",66
"2018-01-14",76
"2018-01-15",58
"2018-01-16",58
"2018-01-17",64
"2018-01-18",57
"2018-01-19",53
"2018-01-20",72
"2018-01-21",80
"2018-01-22",72
"2018-01-23",70
"2018-01-24",63
"2018-01-25",62
"2018-01-26",54
"2018-01-27",59
"2018-01-28",79
"2018-01-29",65
"2018-01-30",62
"2018-01-31",66
"2018-02-01",72
"2018-02-02",57
"2018-02-03",67
"2018-02-04",85
"2018-02-05",76
"2018-02-06",65
"2018-02-07",62
"2018-02-08",58
"2018-02-09",53
"2018-02-10",63
"2018-02-11",73
"2018-02-12",59
"2018-02-13",52
"2018-02-14",55
"2018-02-15",59
"2018-02-16",59
"2018-02-17",74
"2018-02-18",100
"2018-02-19",75
"2018-02-20",71
"2018-02-21",66
"2018-02-22",63
"2018-02-23",55
"2018-02-24",64
"2018-02-25",78
"2018-02-26",76
"2018-02-27",68
"2018-02-28",66
"2018-03-01",90
"2018-03-02",71
"2018-03-03",76
"2018-03-04",97
"2018-03-05",80
"2018-03-06",75
"2018-03-07",71
"2018-03-08",66
"2018-03-09",62
"2018-03-10",69
"2018-03-11",91
"2018-03-12",69
"2018-03-13",68
"2018-03-14",67
"2018-03-15",67
"2018-03-16",57
"2018-03-17",63
"2018-03-18",83
"2018-03-19",61
"2018-03-20",66
"2018-03-21",61
"2018-03-22",56
"2018-03-23",57
"2018-03-24",61
"2018-03-25",79
"2018-03-26",68
"2018-03-27",59
"2018-03-28",56
"2018-03-29",54
"2018-03-30",53
"2018-03-31",56
"2018-04-01",79
"2018-04-02",60
"2018-04-03",61
"2018-04-04",55
"2018-04-05",63
"2018-04-06",51
"2018-04-07",53
"2018-04-08",75
"2018-04-09",59
"2018-04-10",61
"2018-04-11",54
"2018-04-12",55
"2018-04-13",47
"2018-04-14",59
"2018-04-15",69
"2018-04-16",56
"2018-04-17",54
"2018-04-18",53
"2018-04-19",48
