네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","슬립온"
"2017-08-01",13
"2017-08-02",12
"2017-08-03",12
"2017-08-04",11
"2017-08-05",10
"2017-08-06",12
"2017-08-07",14
"2017-08-08",13
"2017-08-09",12
"2017-08-10",13
"2017-08-11",13
"2017-08-12",11
"2017-08-13",16
"2017-08-14",14
"2017-08-15",19
"2017-08-16",27
"2017-08-17",26
"2017-08-18",23
"2017-08-19",25
"2017-08-20",32
"2017-08-21",31
"2017-08-22",28
"2017-08-23",32
"2017-08-24",29
"2017-08-25",25
"2017-08-26",32
"2017-08-27",36
"2017-08-28",32
"2017-08-29",41
"2017-08-30",48
"2017-08-31",45
"2017-09-01",38
"2017-09-02",41
"2017-09-03",41
"2017-09-04",42
"2017-09-05",46
"2017-09-06",46
"2017-09-07",45
"2017-09-08",36
"2017-09-09",42
"2017-09-10",51
"2017-09-11",45
"2017-09-12",50
"2017-09-13",51
"2017-09-14",43
"2017-09-15",33
"2017-09-16",39
"2017-09-17",59
"2017-09-18",49
"2017-09-19",54
"2017-09-20",52
"2017-09-21",50
"2017-09-22",42
"2017-09-23",45
"2017-09-24",55
"2017-09-25",55
"2017-09-26",50
"2017-09-27",35
"2017-09-28",37
"2017-09-29",29
"2017-09-30",25
"2017-10-01",34
"2017-10-02",31
"2017-10-03",32
"2017-10-04",32
"2017-10-05",35
"2017-10-06",42
"2017-10-07",44
"2017-10-08",45
"2017-10-09",53
"2017-10-10",50
"2017-10-11",47
"2017-10-12",49
"2017-10-13",38
"2017-10-14",42
"2017-10-15",47
"2017-10-16",48
"2017-10-17",45
"2017-10-18",45
"2017-10-19",43
"2017-10-20",36
"2017-10-21",40
"2017-10-22",53
"2017-10-23",45
"2017-10-24",43
"2017-10-25",42
"2017-10-26",49
"2017-10-27",40
"2017-10-28",43
"2017-10-29",54
"2017-10-30",42
"2017-10-31",46
"2017-11-01",47
"2017-11-02",49
"2017-11-03",40
"2017-11-04",41
"2017-11-05",55
"2017-11-06",54
"2017-11-07",58
"2017-11-08",58
"2017-11-09",52
"2017-11-10",43
"2017-11-11",46
"2017-11-12",71
"2017-11-13",58
"2017-11-14",60
"2017-11-15",54
"2017-11-16",59
"2017-11-17",50
"2017-11-18",48
"2017-11-19",66
"2017-11-20",60
"2017-11-21",57
"2017-11-22",60
"2017-11-23",57
"2017-11-24",50
"2017-11-25",50
"2017-11-26",60
"2017-11-27",58
"2017-11-28",58
"2017-11-29",51
"2017-11-30",42
"2017-12-01",39
"2017-12-02",43
"2017-12-03",58
"2017-12-04",51
"2017-12-05",50
"2017-12-06",56
"2017-12-07",48
"2017-12-08",36
"2017-12-09",38
"2017-12-10",51
"2017-12-11",48
"2017-12-12",46
"2017-12-13",39
"2017-12-14",41
"2017-12-15",35
"2017-12-16",34
"2017-12-17",44
"2017-12-18",42
"2017-12-19",43
"2017-12-20",43
"2017-12-21",35
"2017-12-22",24
"2017-12-23",28
"2017-12-24",32
"2017-12-25",36
"2017-12-26",37
"2017-12-27",38
"2017-12-28",36
"2017-12-29",27
"2017-12-30",29
"2017-12-31",31
"2018-01-01",35
"2018-01-02",40
"2018-01-03",37
"2018-01-04",37
"2018-01-05",32
"2018-01-06",35
"2018-01-07",39
"2018-01-08",40
"2018-01-09",41
"2018-01-10",38
"2018-01-11",36
"2018-01-12",29
"2018-01-13",30
"2018-01-14",50
"2018-01-15",47
"2018-01-16",51
"2018-01-17",42
"2018-01-18",40
"2018-01-19",31
"2018-01-20",38
"2018-01-21",48
"2018-01-22",42
"2018-01-23",42
"2018-01-24",37
"2018-01-25",35
"2018-01-26",29
"2018-01-27",34
"2018-01-28",48
"2018-01-29",37
"2018-01-30",40
"2018-01-31",39
"2018-02-01",32
"2018-02-02",26
"2018-02-03",31
"2018-02-04",33
"2018-02-05",33
"2018-02-06",29
"2018-02-07",33
"2018-02-08",30
"2018-02-09",26
"2018-02-10",27
"2018-02-11",36
"2018-02-12",24
"2018-02-13",21
"2018-02-14",22
"2018-02-15",26
"2018-02-16",26
"2018-02-17",41
"2018-02-18",52
"2018-02-19",51
"2018-02-20",43
"2018-02-21",45
"2018-02-22",53
"2018-02-23",42
"2018-02-24",54
"2018-02-25",68
"2018-02-26",54
"2018-02-27",64
"2018-02-28",59
"2018-03-01",79
"2018-03-02",58
"2018-03-03",66
"2018-03-04",81
"2018-03-05",70
"2018-03-06",74
"2018-03-07",73
"2018-03-08",71
"2018-03-09",61
"2018-03-10",69
"2018-03-11",100
"2018-03-12",79
"2018-03-13",87
"2018-03-14",89
"2018-03-15",81
"2018-03-16",64
"2018-03-17",77
"2018-03-18",93
"2018-03-19",79
"2018-03-20",83
"2018-03-21",75
"2018-03-22",61
"2018-03-23",67
"2018-03-24",78
"2018-03-25",92
"2018-03-26",87
"2018-03-27",78
"2018-03-28",80
"2018-03-29",70
"2018-03-30",63
"2018-03-31",76
"2018-04-01",96
"2018-04-02",84
"2018-04-03",82
"2018-04-04",78
"2018-04-05",74
"2018-04-06",53
"2018-04-07",59
"2018-04-08",79
"2018-04-09",66
"2018-04-10",73
"2018-04-11",73
"2018-04-12",65
"2018-04-13",52
"2018-04-14",62
"2018-04-15",73
"2018-04-16",66
"2018-04-17",59
"2018-04-18",60
"2018-04-19",56
