네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","쇼퍼백"
"2017-08-01",29
"2017-08-02",29
"2017-08-03",30
"2017-08-04",30
"2017-08-05",27
"2017-08-06",39
"2017-08-07",36
"2017-08-08",36
"2017-08-09",35
"2017-08-10",35
"2017-08-11",35
"2017-08-12",33
"2017-08-13",46
"2017-08-14",39
"2017-08-15",53
"2017-08-16",45
"2017-08-17",42
"2017-08-18",39
"2017-08-19",46
"2017-08-20",50
"2017-08-21",48
"2017-08-22",45
"2017-08-23",48
"2017-08-24",45
"2017-08-25",38
"2017-08-26",48
"2017-08-27",52
"2017-08-28",48
"2017-08-29",49
"2017-08-30",47
"2017-08-31",45
"2017-09-01",38
"2017-09-02",44
"2017-09-03",56
"2017-09-04",49
"2017-09-05",44
"2017-09-06",47
"2017-09-07",41
"2017-09-08",37
"2017-09-09",41
"2017-09-10",50
"2017-09-11",43
"2017-09-12",38
"2017-09-13",37
"2017-09-14",38
"2017-09-15",29
"2017-09-16",37
"2017-09-17",45
"2017-09-18",36
"2017-09-19",37
"2017-09-20",33
"2017-09-21",29
"2017-09-22",32
"2017-09-23",32
"2017-09-24",38
"2017-09-25",37
"2017-09-26",26
"2017-09-27",32
"2017-09-28",28
"2017-09-29",24
"2017-09-30",28
"2017-10-01",33
"2017-10-02",31
"2017-10-03",31
"2017-10-04",29
"2017-10-05",30
"2017-10-06",33
"2017-10-07",33
"2017-10-08",44
"2017-10-09",42
"2017-10-10",39
"2017-10-11",34
"2017-10-12",32
"2017-10-13",28
"2017-10-14",29
"2017-10-15",34
"2017-10-16",28
"2017-10-17",29
"2017-10-18",33
"2017-10-19",26
"2017-10-20",24
"2017-10-21",28
"2017-10-22",31
"2017-10-23",30
"2017-10-24",31
"2017-10-25",34
"2017-10-26",34
"2017-10-27",29
"2017-10-28",27
"2017-10-29",35
"2017-10-30",29
"2017-10-31",35
"2017-11-01",32
"2017-11-02",29
"2017-11-03",30
"2017-11-04",28
"2017-11-05",38
"2017-11-06",37
"2017-11-07",37
"2017-11-08",34
"2017-11-09",33
"2017-11-10",28
"2017-11-11",28
"2017-11-12",37
"2017-11-13",33
"2017-11-14",41
"2017-11-15",31
"2017-11-16",31
"2017-11-17",28
"2017-11-18",31
"2017-11-19",43
"2017-11-20",37
"2017-11-21",33
"2017-11-22",32
"2017-11-23",33
"2017-11-24",30
"2017-11-25",27
"2017-11-26",35
"2017-11-27",35
"2017-11-28",31
"2017-11-29",30
"2017-11-30",29
"2017-12-01",28
"2017-12-02",34
"2017-12-03",44
"2017-12-04",38
"2017-12-05",32
"2017-12-06",33
"2017-12-07",32
"2017-12-08",27
"2017-12-09",36
"2017-12-10",43
"2017-12-11",37
"2017-12-12",37
"2017-12-13",32
"2017-12-14",33
"2017-12-15",29
"2017-12-16",32
"2017-12-17",36
"2017-12-18",35
"2017-12-19",31
"2017-12-20",29
"2017-12-21",27
"2017-12-22",21
"2017-12-23",34
"2017-12-24",36
"2017-12-25",39
"2017-12-26",35
"2017-12-27",32
"2017-12-28",31
"2017-12-29",33
"2017-12-30",33
"2017-12-31",33
"2018-01-01",39
"2018-01-02",43
"2018-01-03",42
"2018-01-04",41
"2018-01-05",37
"2018-01-06",44
"2018-01-07",54
"2018-01-08",47
"2018-01-09",45
"2018-01-10",40
"2018-01-11",41
"2018-01-12",46
"2018-01-13",42
"2018-01-14",55
"2018-01-15",48
"2018-01-16",46
"2018-01-17",48
"2018-01-18",48
"2018-01-19",40
"2018-01-20",48
"2018-01-21",57
"2018-01-22",45
"2018-01-23",48
"2018-01-24",45
"2018-01-25",46
"2018-01-26",42
"2018-01-27",47
"2018-01-28",62
"2018-01-29",59
"2018-01-30",51
"2018-01-31",54
"2018-02-01",43
"2018-02-02",45
"2018-02-03",48
"2018-02-04",69
"2018-02-05",58
"2018-02-06",57
"2018-02-07",57
"2018-02-08",55
"2018-02-09",41
"2018-02-10",53
"2018-02-11",61
"2018-02-12",54
"2018-02-13",44
"2018-02-14",44
"2018-02-15",58
"2018-02-16",64
"2018-02-17",72
"2018-02-18",100
"2018-02-19",90
"2018-02-20",72
"2018-02-21",82
"2018-02-22",83
"2018-02-23",76
"2018-02-24",73
"2018-02-25",88
"2018-02-26",80
"2018-02-27",90
"2018-02-28",79
"2018-03-01",91
"2018-03-02",68
"2018-03-03",72
"2018-03-04",98
"2018-03-05",73
"2018-03-06",71
"2018-03-07",67
"2018-03-08",57
"2018-03-09",51
"2018-03-10",65
"2018-03-11",87
"2018-03-12",60
"2018-03-13",55
"2018-03-14",48
"2018-03-15",47
"2018-03-16",48
"2018-03-17",48
"2018-03-18",67
"2018-03-19",53
"2018-03-20",49
"2018-03-21",38
"2018-03-22",40
"2018-03-23",39
"2018-03-24",48
"2018-03-25",61
"2018-03-26",43
"2018-03-27",47
"2018-03-28",44
"2018-03-29",37
"2018-03-30",37
"2018-03-31",44
"2018-04-01",55
"2018-04-02",46
"2018-04-03",39
"2018-04-04",38
"2018-04-05",34
"2018-04-06",38
"2018-04-07",37
"2018-04-08",62
"2018-04-09",41
"2018-04-10",42
"2018-04-11",37
"2018-04-12",33
"2018-04-13",33
"2018-04-14",46
"2018-04-15",50
"2018-04-16",33
"2018-04-17",33
"2018-04-18",39
"2018-04-19",29
