네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키운동화"
"2017-08-01",36
"2017-08-02",32
"2017-08-03",31
"2017-08-04",29
"2017-08-05",32
"2017-08-06",36
"2017-08-07",37
"2017-08-08",35
"2017-08-09",33
"2017-08-10",34
"2017-08-11",33
"2017-08-12",37
"2017-08-13",44
"2017-08-14",37
"2017-08-15",45
"2017-08-16",43
"2017-08-17",40
"2017-08-18",33
"2017-08-19",36
"2017-08-20",46
"2017-08-21",40
"2017-08-22",43
"2017-08-23",41
"2017-08-24",42
"2017-08-25",36
"2017-08-26",39
"2017-08-27",44
"2017-08-28",38
"2017-08-29",38
"2017-08-30",46
"2017-08-31",48
"2017-09-01",42
"2017-09-02",48
"2017-09-03",57
"2017-09-04",50
"2017-09-05",47
"2017-09-06",48
"2017-09-07",45
"2017-09-08",42
"2017-09-09",47
"2017-09-10",55
"2017-09-11",51
"2017-09-12",49
"2017-09-13",48
"2017-09-14",45
"2017-09-15",40
"2017-09-16",46
"2017-09-17",61
"2017-09-18",50
"2017-09-19",49
"2017-09-20",47
"2017-09-21",46
"2017-09-22",44
"2017-09-23",43
"2017-09-24",59
"2017-09-25",58
"2017-09-26",53
"2017-09-27",55
"2017-09-28",49
"2017-09-29",45
"2017-09-30",50
"2017-10-01",64
"2017-10-02",56
"2017-10-03",48
"2017-10-04",51
"2017-10-05",57
"2017-10-06",74
"2017-10-07",72
"2017-10-08",70
"2017-10-09",78
"2017-10-10",65
"2017-10-11",62
"2017-10-12",61
"2017-10-13",51
"2017-10-14",58
"2017-10-15",72
"2017-10-16",70
"2017-10-17",62
"2017-10-18",61
"2017-10-19",59
"2017-10-20",54
"2017-10-21",57
"2017-10-22",73
"2017-10-23",62
"2017-10-24",59
"2017-10-25",61
"2017-10-26",54
"2017-10-27",50
"2017-10-28",58
"2017-10-29",70
"2017-10-30",60
"2017-10-31",60
"2017-11-01",65
"2017-11-02",64
"2017-11-03",56
"2017-11-04",69
"2017-11-05",83
"2017-11-06",70
"2017-11-07",78
"2017-11-08",74
"2017-11-09",66
"2017-11-10",53
"2017-11-11",66
"2017-11-12",82
"2017-11-13",69
"2017-11-14",68
"2017-11-15",58
"2017-11-16",63
"2017-11-17",57
"2017-11-18",66
"2017-11-19",82
"2017-11-20",71
"2017-11-21",69
"2017-11-22",63
"2017-11-23",67
"2017-11-24",65
"2017-11-25",74
"2017-11-26",89
"2017-11-27",71
"2017-11-28",67
"2017-11-29",62
"2017-11-30",63
"2017-12-01",56
"2017-12-02",70
"2017-12-03",87
"2017-12-04",74
"2017-12-05",69
"2017-12-06",66
"2017-12-07",63
"2017-12-08",57
"2017-12-09",62
"2017-12-10",80
"2017-12-11",67
"2017-12-12",59
"2017-12-13",61
"2017-12-14",55
"2017-12-15",50
"2017-12-16",48
"2017-12-17",63
"2017-12-18",56
"2017-12-19",56
"2017-12-20",53
"2017-12-21",49
"2017-12-22",45
"2017-12-23",51
"2017-12-24",62
"2017-12-25",65
"2017-12-26",63
"2017-12-27",57
"2017-12-28",49
"2017-12-29",48
"2017-12-30",52
"2017-12-31",58
"2018-01-01",52
"2018-01-02",49
"2018-01-03",48
"2018-01-04",49
"2018-01-05",49
"2018-01-06",68
"2018-01-07",77
"2018-01-08",67
"2018-01-09",64
"2018-01-10",58
"2018-01-11",56
"2018-01-12",54
"2018-01-13",61
"2018-01-14",80
"2018-01-15",70
"2018-01-16",63
"2018-01-17",62
"2018-01-18",63
"2018-01-19",58
"2018-01-20",69
"2018-01-21",78
"2018-01-22",58
"2018-01-23",63
"2018-01-24",62
"2018-01-25",58
"2018-01-26",51
"2018-01-27",57
"2018-01-28",78
"2018-01-29",67
"2018-01-30",63
"2018-01-31",59
"2018-02-01",64
"2018-02-02",57
"2018-02-03",74
"2018-02-04",92
"2018-02-05",73
"2018-02-06",66
"2018-02-07",61
"2018-02-08",65
"2018-02-09",57
"2018-02-10",64
"2018-02-11",80
"2018-02-12",60
"2018-02-13",56
"2018-02-14",54
"2018-02-15",59
"2018-02-16",62
"2018-02-17",77
"2018-02-18",100
"2018-02-19",88
"2018-02-20",79
"2018-02-21",88
"2018-02-22",81
"2018-02-23",70
"2018-02-24",79
"2018-02-25",94
"2018-02-26",84
"2018-02-27",75
"2018-02-28",64
"2018-03-01",87
"2018-03-02",71
"2018-03-03",75
"2018-03-04",96
"2018-03-05",79
"2018-03-06",78
"2018-03-07",70
"2018-03-08",75
"2018-03-09",62
"2018-03-10",71
"2018-03-11",96
"2018-03-12",75
"2018-03-13",76
"2018-03-14",72
"2018-03-15",74
"2018-03-16",65
"2018-03-17",76
"2018-03-18",95
"2018-03-19",74
"2018-03-20",65
"2018-03-21",59
"2018-03-22",63
"2018-03-23",63
"2018-03-24",76
"2018-03-25",99
"2018-03-26",82
"2018-03-27",82
"2018-03-28",73
"2018-03-29",72
"2018-03-30",62
"2018-03-31",74
"2018-04-01",91
"2018-04-02",80
"2018-04-03",75
"2018-04-04",67
"2018-04-05",60
"2018-04-06",55
"2018-04-07",61
"2018-04-08",72
"2018-04-09",63
"2018-04-10",58
"2018-04-11",60
"2018-04-12",56
"2018-04-13",50
"2018-04-14",58
"2018-04-15",68
"2018-04-16",59
"2018-04-17",59
"2018-04-18",54
"2018-04-19",48
