네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","반스올드스쿨"
"2017-08-01",23
"2017-08-02",18
"2017-08-03",18
"2017-08-04",17
"2017-08-05",20
"2017-08-06",25
"2017-08-07",23
"2017-08-08",20
"2017-08-09",16
"2017-08-10",20
"2017-08-11",20
"2017-08-12",19
"2017-08-13",28
"2017-08-14",23
"2017-08-15",33
"2017-08-16",32
"2017-08-17",29
"2017-08-18",29
"2017-08-19",26
"2017-08-20",40
"2017-08-21",43
"2017-08-22",35
"2017-08-23",36
"2017-08-24",38
"2017-08-25",34
"2017-08-26",33
"2017-08-27",41
"2017-08-28",35
"2017-08-29",44
"2017-08-30",47
"2017-08-31",44
"2017-09-01",44
"2017-09-02",44
"2017-09-03",57
"2017-09-04",53
"2017-09-05",54
"2017-09-06",58
"2017-09-07",56
"2017-09-08",46
"2017-09-09",47
"2017-09-10",58
"2017-09-11",55
"2017-09-12",53
"2017-09-13",55
"2017-09-14",46
"2017-09-15",42
"2017-09-16",46
"2017-09-17",62
"2017-09-18",58
"2017-09-19",54
"2017-09-20",54
"2017-09-21",50
"2017-09-22",46
"2017-09-23",46
"2017-09-24",64
"2017-09-25",74
"2017-09-26",64
"2017-09-27",59
"2017-09-28",48
"2017-09-29",46
"2017-09-30",48
"2017-10-01",59
"2017-10-02",53
"2017-10-03",58
"2017-10-04",57
"2017-10-05",72
"2017-10-06",79
"2017-10-07",85
"2017-10-08",93
"2017-10-09",100
"2017-10-10",90
"2017-10-11",86
"2017-10-12",72
"2017-10-13",61
"2017-10-14",56
"2017-10-15",74
"2017-10-16",82
"2017-10-17",74
"2017-10-18",81
"2017-10-19",62
"2017-10-20",57
"2017-10-21",56
"2017-10-22",74
"2017-10-23",75
"2017-10-24",68
"2017-10-25",74
"2017-10-26",59
"2017-10-27",44
"2017-10-28",47
"2017-10-29",64
"2017-10-30",69
"2017-10-31",63
"2017-11-01",75
"2017-11-02",60
"2017-11-03",56
"2017-11-04",54
"2017-11-05",70
"2017-11-06",73
"2017-11-07",83
"2017-11-08",76
"2017-11-09",74
"2017-11-10",63
"2017-11-11",56
"2017-11-12",76
"2017-11-13",75
"2017-11-14",64
"2017-11-15",62
"2017-11-16",58
"2017-11-17",50
"2017-11-18",49
"2017-11-19",67
"2017-11-20",60
"2017-11-21",64
"2017-11-22",60
"2017-11-23",53
"2017-11-24",49
"2017-11-25",51
"2017-11-26",62
"2017-11-27",59
"2017-11-28",61
"2017-11-29",55
"2017-11-30",50
"2017-12-01",50
"2017-12-02",50
"2017-12-03",67
"2017-12-04",62
"2017-12-05",52
"2017-12-06",51
"2017-12-07",46
"2017-12-08",46
"2017-12-09",51
"2017-12-10",67
"2017-12-11",57
"2017-12-12",57
"2017-12-13",54
"2017-12-14",48
"2017-12-15",37
"2017-12-16",43
"2017-12-17",56
"2017-12-18",53
"2017-12-19",48
"2017-12-20",49
"2017-12-21",41
"2017-12-22",31
"2017-12-23",36
"2017-12-24",45
"2017-12-25",52
"2017-12-26",49
"2017-12-27",41
"2017-12-28",39
"2017-12-29",34
"2017-12-30",43
"2017-12-31",46
"2018-01-01",45
"2018-01-02",50
"2018-01-03",45
"2018-01-04",43
"2018-01-05",29
"2018-01-06",33
"2018-01-07",45
"2018-01-08",42
"2018-01-09",40
"2018-01-10",41
"2018-01-11",38
"2018-01-12",33
"2018-01-13",37
"2018-01-14",45
"2018-01-15",45
"2018-01-16",43
"2018-01-17",34
"2018-01-18",40
"2018-01-19",31
"2018-01-20",36
"2018-01-21",43
"2018-01-22",42
"2018-01-23",41
"2018-01-24",37
"2018-01-25",37
"2018-01-26",47
"2018-01-27",49
"2018-01-28",57
"2018-01-29",50
"2018-01-30",42
"2018-01-31",43
"2018-02-01",57
"2018-02-02",52
"2018-02-03",61
"2018-02-04",70
"2018-02-05",72
"2018-02-06",67
"2018-02-07",67
"2018-02-08",66
"2018-02-09",55
"2018-02-10",62
"2018-02-11",84
"2018-02-12",72
"2018-02-13",55
"2018-02-14",51
"2018-02-15",49
"2018-02-16",49
"2018-02-17",52
"2018-02-18",73
"2018-02-19",73
"2018-02-20",63
"2018-02-21",61
"2018-02-22",50
"2018-02-23",47
"2018-02-24",55
"2018-02-25",72
"2018-02-26",65
"2018-02-27",65
"2018-02-28",60
"2018-03-01",74
"2018-03-02",54
"2018-03-03",65
"2018-03-04",75
"2018-03-05",59
"2018-03-06",61
"2018-03-07",58
"2018-03-08",54
"2018-03-09",48
"2018-03-10",57
"2018-03-11",77
"2018-03-12",69
"2018-03-13",66
"2018-03-14",57
"2018-03-15",56
"2018-03-16",54
"2018-03-17",62
"2018-03-18",73
"2018-03-19",64
"2018-03-20",56
"2018-03-21",53
"2018-03-22",49
"2018-03-23",40
"2018-03-24",56
"2018-03-25",68
"2018-03-26",60
"2018-03-27",48
"2018-03-28",46
"2018-03-29",43
"2018-03-30",39
"2018-03-31",38
"2018-04-01",53
"2018-04-02",50
"2018-04-03",46
"2018-04-04",46
"2018-04-05",41
"2018-04-06",34
"2018-04-07",38
"2018-04-08",49
"2018-04-09",48
"2018-04-10",45
"2018-04-11",40
"2018-04-12",38
"2018-04-13",32
"2018-04-14",33
"2018-04-15",45
"2018-04-16",40
"2018-04-17",36
"2018-04-18",42
"2018-04-19",32
