네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","프라다가방"
"2017-08-01",31
"2017-08-02",35
"2017-08-03",33
"2017-08-04",27
"2017-08-05",29
"2017-08-06",39
"2017-08-07",35
"2017-08-08",39
"2017-08-09",32
"2017-08-10",40
"2017-08-11",36
"2017-08-12",38
"2017-08-13",45
"2017-08-14",37
"2017-08-15",55
"2017-08-16",43
"2017-08-17",46
"2017-08-18",42
"2017-08-19",48
"2017-08-20",52
"2017-08-21",55
"2017-08-22",42
"2017-08-23",46
"2017-08-24",43
"2017-08-25",40
"2017-08-26",49
"2017-08-27",52
"2017-08-28",37
"2017-08-29",47
"2017-08-30",42
"2017-08-31",43
"2017-09-01",40
"2017-09-02",49
"2017-09-03",63
"2017-09-04",43
"2017-09-05",48
"2017-09-06",39
"2017-09-07",49
"2017-09-08",41
"2017-09-09",48
"2017-09-10",63
"2017-09-11",44
"2017-09-12",44
"2017-09-13",46
"2017-09-14",41
"2017-09-15",42
"2017-09-16",51
"2017-09-17",55
"2017-09-18",46
"2017-09-19",48
"2017-09-20",41
"2017-09-21",44
"2017-09-22",41
"2017-09-23",53
"2017-09-24",62
"2017-09-25",52
"2017-09-26",52
"2017-09-27",53
"2017-09-28",56
"2017-09-29",50
"2017-09-30",56
"2017-10-01",73
"2017-10-02",61
"2017-10-03",56
"2017-10-04",47
"2017-10-05",63
"2017-10-06",70
"2017-10-07",74
"2017-10-08",80
"2017-10-09",70
"2017-10-10",52
"2017-10-11",54
"2017-10-12",53
"2017-10-13",44
"2017-10-14",57
"2017-10-15",67
"2017-10-16",47
"2017-10-17",52
"2017-10-18",48
"2017-10-19",48
"2017-10-20",44
"2017-10-21",57
"2017-10-22",61
"2017-10-23",48
"2017-10-24",48
"2017-10-25",50
"2017-10-26",49
"2017-10-27",41
"2017-10-28",52
"2017-10-29",78
"2017-10-30",50
"2017-10-31",44
"2017-11-01",49
"2017-11-02",44
"2017-11-03",53
"2017-11-04",56
"2017-11-05",66
"2017-11-06",56
"2017-11-07",58
"2017-11-08",55
"2017-11-09",53
"2017-11-10",49
"2017-11-11",59
"2017-11-12",63
"2017-11-13",50
"2017-11-14",49
"2017-11-15",42
"2017-11-16",47
"2017-11-17",48
"2017-11-18",59
"2017-11-19",61
"2017-11-20",59
"2017-11-21",57
"2017-11-22",49
"2017-11-23",53
"2017-11-24",58
"2017-11-25",75
"2017-11-26",84
"2017-11-27",58
"2017-11-28",55
"2017-11-29",52
"2017-11-30",58
"2017-12-01",50
"2017-12-02",71
"2017-12-03",75
"2017-12-04",57
"2017-12-05",58
"2017-12-06",51
"2017-12-07",57
"2017-12-08",49
"2017-12-09",65
"2017-12-10",82
"2017-12-11",65
"2017-12-12",54
"2017-12-13",58
"2017-12-14",58
"2017-12-15",50
"2017-12-16",71
"2017-12-17",79
"2017-12-18",61
"2017-12-19",51
"2017-12-20",56
"2017-12-21",54
"2017-12-22",42
"2017-12-23",64
"2017-12-24",85
"2017-12-25",79
"2017-12-26",71
"2017-12-27",57
"2017-12-28",62
"2017-12-29",52
"2017-12-30",77
"2017-12-31",68
"2018-01-01",59
"2018-01-02",50
"2018-01-03",49
"2018-01-04",51
"2018-01-05",44
"2018-01-06",64
"2018-01-07",71
"2018-01-08",64
"2018-01-09",52
"2018-01-10",55
"2018-01-11",54
"2018-01-12",50
"2018-01-13",65
"2018-01-14",73
"2018-01-15",56
"2018-01-16",60
"2018-01-17",56
"2018-01-18",57
"2018-01-19",54
"2018-01-20",68
"2018-01-21",81
"2018-01-22",62
"2018-01-23",61
"2018-01-24",55
"2018-01-25",60
"2018-01-26",55
"2018-01-27",69
"2018-01-28",81
"2018-01-29",63
"2018-01-30",59
"2018-01-31",55
"2018-02-01",48
"2018-02-02",43
"2018-02-03",61
"2018-02-04",74
"2018-02-05",55
"2018-02-06",50
"2018-02-07",50
"2018-02-08",47
"2018-02-09",45
"2018-02-10",63
"2018-02-11",70
"2018-02-12",48
"2018-02-13",43
"2018-02-14",47
"2018-02-15",54
"2018-02-16",62
"2018-02-17",66
"2018-02-18",82
"2018-02-19",61
"2018-02-20",54
"2018-02-21",56
"2018-02-22",59
"2018-02-23",58
"2018-02-24",71
"2018-02-25",80
"2018-02-26",60
"2018-02-27",59
"2018-02-28",49
"2018-03-01",71
"2018-03-02",53
"2018-03-03",70
"2018-03-04",90
"2018-03-05",54
"2018-03-06",54
"2018-03-07",59
"2018-03-08",58
"2018-03-09",55
"2018-03-10",72
"2018-03-11",84
"2018-03-12",62
"2018-03-13",64
"2018-03-14",59
"2018-03-15",69
"2018-03-16",66
"2018-03-17",86
"2018-03-18",100
"2018-03-19",76
"2018-03-20",77
"2018-03-21",76
"2018-03-22",70
"2018-03-23",63
"2018-03-24",83
"2018-03-25",93
"2018-03-26",69
"2018-03-27",64
"2018-03-28",60
"2018-03-29",62
"2018-03-30",56
"2018-03-31",77
"2018-04-01",72
"2018-04-02",47
"2018-04-03",45
"2018-04-04",48
"2018-04-05",50
"2018-04-06",50
"2018-04-07",62
"2018-04-08",73
"2018-04-09",56
"2018-04-10",56
"2018-04-11",57
"2018-04-12",48
"2018-04-13",47
"2018-04-14",60
"2018-04-15",67
"2018-04-16",48
"2018-04-17",45
"2018-04-18",47
"2018-04-19",44
