네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","블로퍼"
"2017-08-01",12
"2017-08-02",14
"2017-08-03",13
"2017-08-04",11
"2017-08-05",10
"2017-08-06",15
"2017-08-07",11
"2017-08-08",13
"2017-08-09",14
"2017-08-10",14
"2017-08-11",16
"2017-08-12",14
"2017-08-13",17
"2017-08-14",17
"2017-08-15",17
"2017-08-16",24
"2017-08-17",26
"2017-08-18",25
"2017-08-19",34
"2017-08-20",39
"2017-08-21",40
"2017-08-22",42
"2017-08-23",44
"2017-08-24",36
"2017-08-25",33
"2017-08-26",26
"2017-08-27",36
"2017-08-28",41
"2017-08-29",64
"2017-08-30",57
"2017-08-31",53
"2017-09-01",53
"2017-09-02",42
"2017-09-03",54
"2017-09-04",55
"2017-09-05",65
"2017-09-06",66
"2017-09-07",58
"2017-09-08",54
"2017-09-09",48
"2017-09-10",74
"2017-09-11",66
"2017-09-12",65
"2017-09-13",63
"2017-09-14",56
"2017-09-15",52
"2017-09-16",46
"2017-09-17",55
"2017-09-18",61
"2017-09-19",62
"2017-09-20",59
"2017-09-21",60
"2017-09-22",54
"2017-09-23",49
"2017-09-24",58
"2017-09-25",70
"2017-09-26",69
"2017-09-27",55
"2017-09-28",45
"2017-09-29",35
"2017-09-30",32
"2017-10-01",34
"2017-10-02",35
"2017-10-03",26
"2017-10-04",30
"2017-10-05",29
"2017-10-06",37
"2017-10-07",33
"2017-10-08",48
"2017-10-09",57
"2017-10-10",50
"2017-10-11",50
"2017-10-12",43
"2017-10-13",32
"2017-10-14",28
"2017-10-15",34
"2017-10-16",40
"2017-10-17",39
"2017-10-18",42
"2017-10-19",33
"2017-10-20",30
"2017-10-21",32
"2017-10-22",30
"2017-10-23",33
"2017-10-24",33
"2017-10-25",32
"2017-10-26",30
"2017-10-27",25
"2017-10-28",21
"2017-10-29",25
"2017-10-30",25
"2017-10-31",26
"2017-11-01",24
"2017-11-02",23
"2017-11-03",21
"2017-11-04",21
"2017-11-05",19
"2017-11-06",22
"2017-11-07",24
"2017-11-08",22
"2017-11-09",20
"2017-11-10",18
"2017-11-11",15
"2017-11-12",21
"2017-11-13",20
"2017-11-14",20
"2017-11-15",20
"2017-11-16",19
"2017-11-17",15
"2017-11-18",13
"2017-11-19",14
"2017-11-20",15
"2017-11-21",15
"2017-11-22",15
"2017-11-23",14
"2017-11-24",11
"2017-11-25",11
"2017-11-26",12
"2017-11-27",13
"2017-11-28",12
"2017-11-29",12
"2017-11-30",11
"2017-12-01",9
"2017-12-02",8
"2017-12-03",13
"2017-12-04",12
"2017-12-05",12
"2017-12-06",12
"2017-12-07",10
"2017-12-08",6
"2017-12-09",7
"2017-12-10",10
"2017-12-11",11
"2017-12-12",9
"2017-12-13",10
"2017-12-14",10
"2017-12-15",9
"2017-12-16",6
"2017-12-17",6
"2017-12-18",7
"2017-12-19",8
"2017-12-20",8
"2017-12-21",7
"2017-12-22",4
"2017-12-23",5
"2017-12-24",8
"2017-12-25",7
"2017-12-26",6
"2017-12-27",9
"2017-12-28",6
"2017-12-29",5
"2017-12-30",3
"2017-12-31",6
"2018-01-01",6
"2018-01-02",8
"2018-01-03",8
"2018-01-04",8
"2018-01-05",6
"2018-01-06",10
"2018-01-07",11
"2018-01-08",9
"2018-01-09",8
"2018-01-10",8
"2018-01-11",6
"2018-01-12",9
"2018-01-13",5
"2018-01-14",7
"2018-01-15",8
"2018-01-16",8
"2018-01-17",8
"2018-01-18",8
"2018-01-19",8
"2018-01-20",10
"2018-01-21",9
"2018-01-22",8
"2018-01-23",9
"2018-01-24",10
"2018-01-25",11
"2018-01-26",8
"2018-01-27",7
"2018-01-28",10
"2018-01-29",9
"2018-01-30",12
"2018-01-31",12
"2018-02-01",12
"2018-02-02",10
"2018-02-03",14
"2018-02-04",12
"2018-02-05",15
"2018-02-06",10
"2018-02-07",15
"2018-02-08",12
"2018-02-09",11
"2018-02-10",14
"2018-02-11",19
"2018-02-12",15
"2018-02-13",18
"2018-02-14",14
"2018-02-15",15
"2018-02-16",20
"2018-02-17",16
"2018-02-18",18
"2018-02-19",24
"2018-02-20",25
"2018-02-21",28
"2018-02-22",23
"2018-02-23",22
"2018-02-24",25
"2018-02-25",31
"2018-02-26",36
"2018-02-27",35
"2018-02-28",40
"2018-03-01",43
"2018-03-02",38
"2018-03-03",36
"2018-03-04",47
"2018-03-05",49
"2018-03-06",56
"2018-03-07",55
"2018-03-08",52
"2018-03-09",44
"2018-03-10",46
"2018-03-11",61
"2018-03-12",66
"2018-03-13",70
"2018-03-14",71
"2018-03-15",73
"2018-03-16",64
"2018-03-17",60
"2018-03-18",78
"2018-03-19",83
"2018-03-20",57
"2018-03-21",59
"2018-03-22",58
"2018-03-23",50
"2018-03-24",51
"2018-03-25",68
"2018-03-26",66
"2018-03-27",70
"2018-03-28",77
"2018-03-29",79
"2018-03-30",68
"2018-03-31",71
"2018-04-01",88
"2018-04-02",100
"2018-04-03",94
"2018-04-04",96
"2018-04-05",82
"2018-04-06",66
"2018-04-07",59
"2018-04-08",74
"2018-04-09",68
"2018-04-10",74
"2018-04-11",83
"2018-04-12",81
"2018-04-13",57
"2018-04-14",62
"2018-04-15",79
"2018-04-16",78
"2018-04-17",79
"2018-04-18",82
"2018-04-19",84
