네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","캐리어"
"2017-08-01",83
"2017-08-02",78
"2017-08-03",67
"2017-08-04",56
"2017-08-05",64
"2017-08-06",82
"2017-08-07",88
"2017-08-08",81
"2017-08-09",70
"2017-08-10",75
"2017-08-11",60
"2017-08-12",57
"2017-08-13",73
"2017-08-14",69
"2017-08-15",85
"2017-08-16",76
"2017-08-17",66
"2017-08-18",59
"2017-08-19",53
"2017-08-20",81
"2017-08-21",80
"2017-08-22",71
"2017-08-23",66
"2017-08-24",61
"2017-08-25",49
"2017-08-26",53
"2017-08-27",67
"2017-08-28",55
"2017-08-29",62
"2017-08-30",54
"2017-08-31",47
"2017-09-01",37
"2017-09-02",46
"2017-09-03",59
"2017-09-04",53
"2017-09-05",57
"2017-09-06",51
"2017-09-07",56
"2017-09-08",41
"2017-09-09",48
"2017-09-10",67
"2017-09-11",64
"2017-09-12",59
"2017-09-13",59
"2017-09-14",52
"2017-09-15",46
"2017-09-16",42
"2017-09-17",66
"2017-09-18",58
"2017-09-19",58
"2017-09-20",57
"2017-09-21",43
"2017-09-22",38
"2017-09-23",42
"2017-09-24",52
"2017-09-25",57
"2017-09-26",48
"2017-09-27",42
"2017-09-28",34
"2017-09-29",27
"2017-09-30",34
"2017-10-01",36
"2017-10-02",33
"2017-10-03",33
"2017-10-04",32
"2017-10-05",33
"2017-10-06",40
"2017-10-07",43
"2017-10-08",50
"2017-10-09",57
"2017-10-10",51
"2017-10-11",50
"2017-10-12",43
"2017-10-13",38
"2017-10-14",36
"2017-10-15",49
"2017-10-16",48
"2017-10-17",45
"2017-10-18",44
"2017-10-19",37
"2017-10-20",37
"2017-10-21",39
"2017-10-22",52
"2017-10-23",48
"2017-10-24",39
"2017-10-25",43
"2017-10-26",41
"2017-10-27",34
"2017-10-28",37
"2017-10-29",50
"2017-10-30",43
"2017-10-31",38
"2017-11-01",44
"2017-11-02",48
"2017-11-03",45
"2017-11-04",44
"2017-11-05",57
"2017-11-06",57
"2017-11-07",50
"2017-11-08",49
"2017-11-09",48
"2017-11-10",40
"2017-11-11",42
"2017-11-12",55
"2017-11-13",52
"2017-11-14",47
"2017-11-15",46
"2017-11-16",44
"2017-11-17",44
"2017-11-18",44
"2017-11-19",56
"2017-11-20",59
"2017-11-21",51
"2017-11-22",48
"2017-11-23",45
"2017-11-24",43
"2017-11-25",42
"2017-11-26",57
"2017-11-27",57
"2017-11-28",45
"2017-11-29",47
"2017-11-30",37
"2017-12-01",39
"2017-12-02",49
"2017-12-03",61
"2017-12-04",56
"2017-12-05",54
"2017-12-06",55
"2017-12-07",46
"2017-12-08",49
"2017-12-09",58
"2017-12-10",68
"2017-12-11",57
"2017-12-12",58
"2017-12-13",55
"2017-12-14",54
"2017-12-15",45
"2017-12-16",50
"2017-12-17",67
"2017-12-18",61
"2017-12-19",59
"2017-12-20",54
"2017-12-21",48
"2017-12-22",39
"2017-12-23",43
"2017-12-24",52
"2017-12-25",65
"2017-12-26",64
"2017-12-27",58
"2017-12-28",49
"2017-12-29",48
"2017-12-30",46
"2017-12-31",59
"2018-01-01",100
"2018-01-02",89
"2018-01-03",88
"2018-01-04",80
"2018-01-05",67
"2018-01-06",80
"2018-01-07",85
"2018-01-08",79
"2018-01-09",76
"2018-01-10",78
"2018-01-11",75
"2018-01-12",71
"2018-01-13",69
"2018-01-14",97
"2018-01-15",99
"2018-01-16",88
"2018-01-17",86
"2018-01-18",96
"2018-01-19",77
"2018-01-20",70
"2018-01-21",95
"2018-01-22",88
"2018-01-23",84
"2018-01-24",77
"2018-01-25",77
"2018-01-26",76
"2018-01-27",78
"2018-01-28",99
"2018-01-29",94
"2018-01-30",84
"2018-01-31",79
"2018-02-01",77
"2018-02-02",60
"2018-02-03",66
"2018-02-04",92
"2018-02-05",77
"2018-02-06",81
"2018-02-07",66
"2018-02-08",63
"2018-02-09",58
"2018-02-10",54
"2018-02-11",66
"2018-02-12",52
"2018-02-13",42
"2018-02-14",43
"2018-02-15",49
"2018-02-16",54
"2018-02-17",64
"2018-02-18",83
"2018-02-19",78
"2018-02-20",64
"2018-02-21",63
"2018-02-22",66
"2018-02-23",51
"2018-02-24",53
"2018-02-25",66
"2018-02-26",75
"2018-02-27",67
"2018-02-28",59
"2018-03-01",58
"2018-03-02",61
"2018-03-03",61
"2018-03-04",77
"2018-03-05",77
"2018-03-06",54
"2018-03-07",57
"2018-03-08",53
"2018-03-09",53
"2018-03-10",58
"2018-03-11",75
"2018-03-12",64
"2018-03-13",71
"2018-03-14",58
"2018-03-15",60
"2018-03-16",52
"2018-03-17",65
"2018-03-18",73
"2018-03-19",70
"2018-03-20",62
"2018-03-21",67
"2018-03-22",54
"2018-03-23",46
"2018-03-24",55
"2018-03-25",74
"2018-03-26",63
"2018-03-27",62
"2018-03-28",60
"2018-03-29",58
"2018-03-30",49
"2018-03-31",61
"2018-04-01",78
"2018-04-02",62
"2018-04-03",58
"2018-04-04",56
"2018-04-05",60
"2018-04-06",47
"2018-04-07",50
"2018-04-08",67
"2018-04-09",69
"2018-04-10",52
"2018-04-11",60
"2018-04-12",44
"2018-04-13",48
"2018-04-14",55
"2018-04-15",69
"2018-04-16",62
"2018-04-17",60
"2018-04-18",57
"2018-04-19",55
