네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","앵클부츠"
"2017-08-01",1
"2017-08-02",1
"2017-08-03",1
"2017-08-04",1
"2017-08-05",1
"2017-08-06",1
"2017-08-07",1
"2017-08-08",2
"2017-08-09",2
"2017-08-10",2
"2017-08-11",1
"2017-08-12",1
"2017-08-13",3
"2017-08-14",3
"2017-08-15",3
"2017-08-16",6
"2017-08-17",3
"2017-08-18",3
"2017-08-19",4
"2017-08-20",5
"2017-08-21",5
"2017-08-22",7
"2017-08-23",8
"2017-08-24",7
"2017-08-25",6
"2017-08-26",8
"2017-08-27",8
"2017-08-28",10
"2017-08-29",14
"2017-08-30",15
"2017-08-31",15
"2017-09-01",17
"2017-09-02",15
"2017-09-03",19
"2017-09-04",22
"2017-09-05",24
"2017-09-06",25
"2017-09-07",23
"2017-09-08",24
"2017-09-09",26
"2017-09-10",28
"2017-09-11",34
"2017-09-12",28
"2017-09-13",26
"2017-09-14",26
"2017-09-15",23
"2017-09-16",25
"2017-09-17",31
"2017-09-18",31
"2017-09-19",33
"2017-09-20",34
"2017-09-21",31
"2017-09-22",28
"2017-09-23",30
"2017-09-24",38
"2017-09-25",40
"2017-09-26",38
"2017-09-27",35
"2017-09-28",31
"2017-09-29",25
"2017-09-30",34
"2017-10-01",44
"2017-10-02",35
"2017-10-03",32
"2017-10-04",36
"2017-10-05",38
"2017-10-06",42
"2017-10-07",46
"2017-10-08",44
"2017-10-09",49
"2017-10-10",44
"2017-10-11",55
"2017-10-12",62
"2017-10-13",50
"2017-10-14",50
"2017-10-15",58
"2017-10-16",61
"2017-10-17",65
"2017-10-18",63
"2017-10-19",57
"2017-10-20",48
"2017-10-21",43
"2017-10-22",60
"2017-10-23",57
"2017-10-24",62
"2017-10-25",60
"2017-10-26",61
"2017-10-27",49
"2017-10-28",52
"2017-10-29",66
"2017-10-30",71
"2017-10-31",71
"2017-11-01",73
"2017-11-02",66
"2017-11-03",61
"2017-11-04",66
"2017-11-05",88
"2017-11-06",76
"2017-11-07",72
"2017-11-08",73
"2017-11-09",70
"2017-11-10",64
"2017-11-11",62
"2017-11-12",85
"2017-11-13",85
"2017-11-14",81
"2017-11-15",82
"2017-11-16",78
"2017-11-17",67
"2017-11-18",77
"2017-11-19",96
"2017-11-20",100
"2017-11-21",89
"2017-11-22",86
"2017-11-23",78
"2017-11-24",71
"2017-11-25",69
"2017-11-26",81
"2017-11-27",76
"2017-11-28",77
"2017-11-29",69
"2017-11-30",63
"2017-12-01",57
"2017-12-02",70
"2017-12-03",85
"2017-12-04",76
"2017-12-05",73
"2017-12-06",67
"2017-12-07",63
"2017-12-08",55
"2017-12-09",61
"2017-12-10",73
"2017-12-11",62
"2017-12-12",56
"2017-12-13",52
"2017-12-14",50
"2017-12-15",39
"2017-12-16",47
"2017-12-17",62
"2017-12-18",56
"2017-12-19",43
"2017-12-20",39
"2017-12-21",31
"2017-12-22",27
"2017-12-23",29
"2017-12-24",36
"2017-12-25",39
"2017-12-26",35
"2017-12-27",36
"2017-12-28",30
"2017-12-29",23
"2017-12-30",27
"2017-12-31",29
"2018-01-01",29
"2018-01-02",31
"2018-01-03",26
"2018-01-04",26
"2018-01-05",19
"2018-01-06",27
"2018-01-07",35
"2018-01-08",34
"2018-01-09",30
"2018-01-10",34
"2018-01-11",31
"2018-01-12",27
"2018-01-13",23
"2018-01-14",33
"2018-01-15",24
"2018-01-16",27
"2018-01-17",28
"2018-01-18",19
"2018-01-19",17
"2018-01-20",21
"2018-01-21",25
"2018-01-22",24
"2018-01-23",26
"2018-01-24",23
"2018-01-25",21
"2018-01-26",20
"2018-01-27",18
"2018-01-28",25
"2018-01-29",21
"2018-01-30",21
"2018-01-31",19
"2018-02-01",17
"2018-02-02",13
"2018-02-03",16
"2018-02-04",20
"2018-02-05",20
"2018-02-06",17
"2018-02-07",19
"2018-02-08",15
"2018-02-09",13
"2018-02-10",11
"2018-02-11",13
"2018-02-12",10
"2018-02-13",8
"2018-02-14",7
"2018-02-15",5
"2018-02-16",5
"2018-02-17",9
"2018-02-18",13
"2018-02-19",13
"2018-02-20",9
"2018-02-21",11
"2018-02-22",11
"2018-02-23",10
"2018-02-24",8
"2018-02-25",11
"2018-02-26",11
"2018-02-27",11
"2018-02-28",8
"2018-03-01",9
"2018-03-02",8
"2018-03-03",7
"2018-03-04",8
"2018-03-05",7
"2018-03-06",8
"2018-03-07",8
"2018-03-08",6
"2018-03-09",5
"2018-03-10",4
"2018-03-11",6
"2018-03-12",4
"2018-03-13",5
"2018-03-14",4
"2018-03-15",4
"2018-03-16",3
"2018-03-17",2
"2018-03-18",5
"2018-03-19",3
"2018-03-20",3
"2018-03-21",4
"2018-03-22",4
"2018-03-23",3
"2018-03-24",2
"2018-03-25",3
"2018-03-26",2
"2018-03-27",2
"2018-03-28",2
"2018-03-29",2
"2018-03-30",1
"2018-03-31",2
"2018-04-01",2
"2018-04-02",1
"2018-04-03",1
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",2
"2018-04-08",1
"2018-04-09",1
"2018-04-10",2
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",1
"2018-04-17",1
"2018-04-18",1
"2018-04-19",1
