네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","발렌시아가스피드러너"
"2017-08-01",13
"2017-08-02",15
"2017-08-03",15
"2017-08-04",14
"2017-08-05",20
"2017-08-06",24
"2017-08-07",21
"2017-08-08",20
"2017-08-09",20
"2017-08-10",19
"2017-08-11",16
"2017-08-12",23
"2017-08-13",16
"2017-08-14",21
"2017-08-15",25
"2017-08-16",23
"2017-08-17",26
"2017-08-18",31
"2017-08-19",22
"2017-08-20",27
"2017-08-21",22
"2017-08-22",30
"2017-08-23",36
"2017-08-24",38
"2017-08-25",28
"2017-08-26",26
"2017-08-27",32
"2017-08-28",35
"2017-08-29",40
"2017-08-30",54
"2017-08-31",46
"2017-09-01",42
"2017-09-02",38
"2017-09-03",39
"2017-09-04",42
"2017-09-05",36
"2017-09-06",47
"2017-09-07",39
"2017-09-08",39
"2017-09-09",55
"2017-09-10",100
"2017-09-11",87
"2017-09-12",64
"2017-09-13",58
"2017-09-14",55
"2017-09-15",55
"2017-09-16",58
"2017-09-17",56
"2017-09-18",67
"2017-09-19",55
"2017-09-20",66
"2017-09-21",55
"2017-09-22",57
"2017-09-23",59
"2017-09-24",67
"2017-09-25",78
"2017-09-26",84
"2017-09-27",70
"2017-09-28",78
"2017-09-29",77
"2017-09-30",63
"2017-10-01",70
"2017-10-02",67
"2017-10-03",65
"2017-10-04",81
"2017-10-05",72
"2017-10-06",69
"2017-10-07",63
"2017-10-08",74
"2017-10-09",78
"2017-10-10",82
"2017-10-11",84
"2017-10-12",79
"2017-10-13",69
"2017-10-14",67
"2017-10-15",73
"2017-10-16",81
"2017-10-17",74
"2017-10-18",82
"2017-10-19",71
"2017-10-20",69
"2017-10-21",65
"2017-10-22",69
"2017-10-23",73
"2017-10-24",74
"2017-10-25",68
"2017-10-26",74
"2017-10-27",58
"2017-10-28",58
"2017-10-29",61
"2017-10-30",75
"2017-10-31",74
"2017-11-01",68
"2017-11-02",64
"2017-11-03",54
"2017-11-04",58
"2017-11-05",62
"2017-11-06",62
"2017-11-07",64
"2017-11-08",60
"2017-11-09",58
"2017-11-10",58
"2017-11-11",60
"2017-11-12",71
"2017-11-13",71
"2017-11-14",70
"2017-11-15",73
"2017-11-16",71
"2017-11-17",63
"2017-11-18",60
"2017-11-19",85
"2017-11-20",76
"2017-11-21",78
"2017-11-22",72
"2017-11-23",68
"2017-11-24",60
"2017-11-25",60
"2017-11-26",66
"2017-11-27",61
"2017-11-28",55
"2017-11-29",66
"2017-11-30",58
"2017-12-01",59
"2017-12-02",55
"2017-12-03",68
"2017-12-04",64
"2017-12-05",68
"2017-12-06",69
"2017-12-07",66
"2017-12-08",56
"2017-12-09",54
"2017-12-10",59
"2017-12-11",58
"2017-12-12",60
"2017-12-13",58
"2017-12-14",50
"2017-12-15",40
"2017-12-16",52
"2017-12-17",69
"2017-12-18",58
"2017-12-19",46
"2017-12-20",54
"2017-12-21",57
"2017-12-22",42
"2017-12-23",43
"2017-12-24",46
"2017-12-25",50
"2017-12-26",48
"2017-12-27",45
"2017-12-28",44
"2017-12-29",41
"2017-12-30",36
"2017-12-31",45
"2018-01-01",44
"2018-01-02",45
"2018-01-03",42
"2018-01-04",40
"2018-01-05",35
"2018-01-06",33
"2018-01-07",40
"2018-01-08",40
"2018-01-09",47
"2018-01-10",41
"2018-01-11",48
"2018-01-12",43
"2018-01-13",43
"2018-01-14",47
"2018-01-15",51
"2018-01-16",50
"2018-01-17",47
"2018-01-18",43
"2018-01-19",43
"2018-01-20",50
"2018-01-21",56
"2018-01-22",49
"2018-01-23",49
"2018-01-24",45
"2018-01-25",43
"2018-01-26",38
"2018-01-27",35
"2018-01-28",46
"2018-01-29",43
"2018-01-30",45
"2018-01-31",47
"2018-02-01",48
"2018-02-02",41
"2018-02-03",42
"2018-02-04",52
"2018-02-05",43
"2018-02-06",38
"2018-02-07",42
"2018-02-08",39
"2018-02-09",36
"2018-02-10",35
"2018-02-11",50
"2018-02-12",45
"2018-02-13",39
"2018-02-14",38
"2018-02-15",38
"2018-02-16",38
"2018-02-17",41
"2018-02-18",48
"2018-02-19",47
"2018-02-20",43
"2018-02-21",48
"2018-02-22",49
"2018-02-23",43
"2018-02-24",41
"2018-02-25",48
"2018-02-26",46
"2018-02-27",38
"2018-02-28",37
"2018-03-01",39
"2018-03-02",42
"2018-03-03",37
"2018-03-04",50
"2018-03-05",41
"2018-03-06",36
"2018-03-07",39
"2018-03-08",36
"2018-03-09",32
"2018-03-10",38
"2018-03-11",43
"2018-03-12",44
"2018-03-13",37
"2018-03-14",35
"2018-03-15",35
"2018-03-16",35
"2018-03-17",34
"2018-03-18",39
"2018-03-19",36
"2018-03-20",32
"2018-03-21",37
"2018-03-22",38
"2018-03-23",32
"2018-03-24",34
"2018-03-25",39
"2018-03-26",33
"2018-03-27",32
"2018-03-28",34
"2018-03-29",31
"2018-03-30",28
"2018-03-31",24
"2018-04-01",37
"2018-04-02",35
"2018-04-03",34
"2018-04-04",33
"2018-04-05",35
"2018-04-06",27
"2018-04-07",29
"2018-04-08",38
"2018-04-09",34
"2018-04-10",32
"2018-04-11",35
"2018-04-12",29
"2018-04-13",25
"2018-04-14",26
"2018-04-15",26
"2018-04-16",28
"2018-04-17",22
"2018-04-18",18
"2018-04-19",19
