네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","라코스테신발"
"2017-08-01",31
"2017-08-02",31
"2017-08-03",24
"2017-08-04",26
"2017-08-05",28
"2017-08-06",31
"2017-08-07",34
"2017-08-08",28
"2017-08-09",31
"2017-08-10",28
"2017-08-11",24
"2017-08-12",29
"2017-08-13",44
"2017-08-14",32
"2017-08-15",44
"2017-08-16",32
"2017-08-17",32
"2017-08-18",28
"2017-08-19",32
"2017-08-20",44
"2017-08-21",38
"2017-08-22",32
"2017-08-23",34
"2017-08-24",29
"2017-08-25",27
"2017-08-26",37
"2017-08-27",42
"2017-08-28",36
"2017-08-29",33
"2017-08-30",38
"2017-08-31",31
"2017-09-01",30
"2017-09-02",37
"2017-09-03",55
"2017-09-04",43
"2017-09-05",42
"2017-09-06",38
"2017-09-07",37
"2017-09-08",31
"2017-09-09",40
"2017-09-10",55
"2017-09-11",39
"2017-09-12",45
"2017-09-13",35
"2017-09-14",32
"2017-09-15",30
"2017-09-16",38
"2017-09-17",56
"2017-09-18",48
"2017-09-19",41
"2017-09-20",35
"2017-09-21",35
"2017-09-22",33
"2017-09-23",37
"2017-09-24",57
"2017-09-25",50
"2017-09-26",48
"2017-09-27",38
"2017-09-28",43
"2017-09-29",32
"2017-09-30",45
"2017-10-01",60
"2017-10-02",50
"2017-10-03",48
"2017-10-04",46
"2017-10-05",56
"2017-10-06",61
"2017-10-07",63
"2017-10-08",66
"2017-10-09",74
"2017-10-10",59
"2017-10-11",47
"2017-10-12",47
"2017-10-13",37
"2017-10-14",43
"2017-10-15",59
"2017-10-16",50
"2017-10-17",46
"2017-10-18",36
"2017-10-19",31
"2017-10-20",32
"2017-10-21",39
"2017-10-22",54
"2017-10-23",41
"2017-10-24",41
"2017-10-25",40
"2017-10-26",39
"2017-10-27",30
"2017-10-28",45
"2017-10-29",55
"2017-10-30",42
"2017-10-31",39
"2017-11-01",37
"2017-11-02",34
"2017-11-03",31
"2017-11-04",40
"2017-11-05",53
"2017-11-06",45
"2017-11-07",41
"2017-11-08",37
"2017-11-09",32
"2017-11-10",34
"2017-11-11",47
"2017-11-12",59
"2017-11-13",39
"2017-11-14",33
"2017-11-15",32
"2017-11-16",29
"2017-11-17",27
"2017-11-18",37
"2017-11-19",45
"2017-11-20",37
"2017-11-21",31
"2017-11-22",31
"2017-11-23",31
"2017-11-24",27
"2017-11-25",35
"2017-11-26",47
"2017-11-27",37
"2017-11-28",32
"2017-11-29",30
"2017-11-30",31
"2017-12-01",23
"2017-12-02",29
"2017-12-03",43
"2017-12-04",35
"2017-12-05",32
"2017-12-06",33
"2017-12-07",34
"2017-12-08",28
"2017-12-09",38
"2017-12-10",45
"2017-12-11",32
"2017-12-12",28
"2017-12-13",29
"2017-12-14",28
"2017-12-15",24
"2017-12-16",30
"2017-12-17",39
"2017-12-18",34
"2017-12-19",28
"2017-12-20",26
"2017-12-21",26
"2017-12-22",22
"2017-12-23",30
"2017-12-24",40
"2017-12-25",45
"2017-12-26",34
"2017-12-27",31
"2017-12-28",26
"2017-12-29",28
"2017-12-30",33
"2017-12-31",43
"2018-01-01",41
"2018-01-02",35
"2018-01-03",34
"2018-01-04",31
"2018-01-05",34
"2018-01-06",39
"2018-01-07",47
"2018-01-08",36
"2018-01-09",35
"2018-01-10",38
"2018-01-11",35
"2018-01-12",30
"2018-01-13",35
"2018-01-14",52
"2018-01-15",39
"2018-01-16",42
"2018-01-17",31
"2018-01-18",32
"2018-01-19",35
"2018-01-20",45
"2018-01-21",48
"2018-01-22",43
"2018-01-23",34
"2018-01-24",34
"2018-01-25",36
"2018-01-26",35
"2018-01-27",43
"2018-01-28",56
"2018-01-29",39
"2018-01-30",35
"2018-01-31",35
"2018-02-01",41
"2018-02-02",34
"2018-02-03",49
"2018-02-04",62
"2018-02-05",48
"2018-02-06",46
"2018-02-07",46
"2018-02-08",42
"2018-02-09",38
"2018-02-10",51
"2018-02-11",69
"2018-02-12",49
"2018-02-13",42
"2018-02-14",42
"2018-02-15",42
"2018-02-16",45
"2018-02-17",61
"2018-02-18",72
"2018-02-19",64
"2018-02-20",53
"2018-02-21",54
"2018-02-22",49
"2018-02-23",42
"2018-02-24",49
"2018-02-25",66
"2018-02-26",58
"2018-02-27",48
"2018-02-28",43
"2018-03-01",66
"2018-03-02",46
"2018-03-03",56
"2018-03-04",73
"2018-03-05",52
"2018-03-06",48
"2018-03-07",43
"2018-03-08",43
"2018-03-09",37
"2018-03-10",54
"2018-03-11",81
"2018-03-12",57
"2018-03-13",58
"2018-03-14",50
"2018-03-15",42
"2018-03-16",46
"2018-03-17",66
"2018-03-18",100
"2018-03-19",59
"2018-03-20",53
"2018-03-21",44
"2018-03-22",44
"2018-03-23",42
"2018-03-24",56
"2018-03-25",80
"2018-03-26",59
"2018-03-27",58
"2018-03-28",48
"2018-03-29",50
"2018-03-30",46
"2018-03-31",64
"2018-04-01",79
"2018-04-02",60
"2018-04-03",57
"2018-04-04",52
"2018-04-05",46
"2018-04-06",39
"2018-04-07",52
"2018-04-08",68
"2018-04-09",52
"2018-04-10",49
"2018-04-11",40
"2018-04-12",48
"2018-04-13",44
"2018-04-14",58
"2018-04-15",64
"2018-04-16",51
"2018-04-17",48
"2018-04-18",46
"2018-04-19",39
