네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","토리버치가방"
"2017-08-01",31
"2017-08-02",30
"2017-08-03",32
"2017-08-04",29
"2017-08-05",35
"2017-08-06",41
"2017-08-07",35
"2017-08-08",33
"2017-08-09",34
"2017-08-10",37
"2017-08-11",28
"2017-08-12",31
"2017-08-13",41
"2017-08-14",39
"2017-08-15",51
"2017-08-16",37
"2017-08-17",40
"2017-08-18",37
"2017-08-19",40
"2017-08-20",57
"2017-08-21",43
"2017-08-22",39
"2017-08-23",43
"2017-08-24",48
"2017-08-25",40
"2017-08-26",41
"2017-08-27",51
"2017-08-28",40
"2017-08-29",41
"2017-08-30",42
"2017-08-31",38
"2017-09-01",35
"2017-09-02",42
"2017-09-03",51
"2017-09-04",52
"2017-09-05",44
"2017-09-06",45
"2017-09-07",47
"2017-09-08",41
"2017-09-09",52
"2017-09-10",66
"2017-09-11",54
"2017-09-12",43
"2017-09-13",43
"2017-09-14",45
"2017-09-15",37
"2017-09-16",46
"2017-09-17",60
"2017-09-18",50
"2017-09-19",49
"2017-09-20",50
"2017-09-21",50
"2017-09-22",44
"2017-09-23",46
"2017-09-24",63
"2017-09-25",54
"2017-09-26",47
"2017-09-27",47
"2017-09-28",46
"2017-09-29",46
"2017-09-30",53
"2017-10-01",62
"2017-10-02",60
"2017-10-03",52
"2017-10-04",59
"2017-10-05",61
"2017-10-06",73
"2017-10-07",80
"2017-10-08",90
"2017-10-09",90
"2017-10-10",65
"2017-10-11",60
"2017-10-12",55
"2017-10-13",48
"2017-10-14",54
"2017-10-15",70
"2017-10-16",58
"2017-10-17",54
"2017-10-18",51
"2017-10-19",55
"2017-10-20",46
"2017-10-21",60
"2017-10-22",63
"2017-10-23",58
"2017-10-24",57
"2017-10-25",52
"2017-10-26",58
"2017-10-27",48
"2017-10-28",56
"2017-10-29",72
"2017-10-30",54
"2017-10-31",43
"2017-11-01",57
"2017-11-02",60
"2017-11-03",51
"2017-11-04",58
"2017-11-05",65
"2017-11-06",61
"2017-11-07",62
"2017-11-08",56
"2017-11-09",60
"2017-11-10",53
"2017-11-11",69
"2017-11-12",79
"2017-11-13",64
"2017-11-14",56
"2017-11-15",47
"2017-11-16",48
"2017-11-17",47
"2017-11-18",49
"2017-11-19",66
"2017-11-20",44
"2017-11-21",45
"2017-11-22",48
"2017-11-23",51
"2017-11-24",48
"2017-11-25",55
"2017-11-26",66
"2017-11-27",54
"2017-11-28",51
"2017-11-29",47
"2017-11-30",45
"2017-12-01",44
"2017-12-02",44
"2017-12-03",64
"2017-12-04",58
"2017-12-05",51
"2017-12-06",54
"2017-12-07",45
"2017-12-08",43
"2017-12-09",52
"2017-12-10",59
"2017-12-11",58
"2017-12-12",45
"2017-12-13",41
"2017-12-14",48
"2017-12-15",41
"2017-12-16",54
"2017-12-17",64
"2017-12-18",51
"2017-12-19",46
"2017-12-20",47
"2017-12-21",47
"2017-12-22",37
"2017-12-23",53
"2017-12-24",55
"2017-12-25",62
"2017-12-26",52
"2017-12-27",49
"2017-12-28",53
"2017-12-29",45
"2017-12-30",62
"2017-12-31",54
"2018-01-01",56
"2018-01-02",44
"2018-01-03",50
"2018-01-04",48
"2018-01-05",45
"2018-01-06",58
"2018-01-07",64
"2018-01-08",54
"2018-01-09",52
"2018-01-10",55
"2018-01-11",58
"2018-01-12",54
"2018-01-13",57
"2018-01-14",78
"2018-01-15",52
"2018-01-16",62
"2018-01-17",58
"2018-01-18",54
"2018-01-19",49
"2018-01-20",61
"2018-01-21",73
"2018-01-22",58
"2018-01-23",64
"2018-01-24",55
"2018-01-25",54
"2018-01-26",42
"2018-01-27",53
"2018-01-28",77
"2018-01-29",62
"2018-01-30",60
"2018-01-31",60
"2018-02-01",63
"2018-02-02",55
"2018-02-03",73
"2018-02-04",100
"2018-02-05",74
"2018-02-06",66
"2018-02-07",70
"2018-02-08",60
"2018-02-09",56
"2018-02-10",69
"2018-02-11",83
"2018-02-12",61
"2018-02-13",64
"2018-02-14",67
"2018-02-15",73
"2018-02-16",65
"2018-02-17",80
"2018-02-18",81
"2018-02-19",65
"2018-02-20",62
"2018-02-21",57
"2018-02-22",56
"2018-02-23",54
"2018-02-24",62
"2018-02-25",76
"2018-02-26",62
"2018-02-27",60
"2018-02-28",57
"2018-03-01",80
"2018-03-02",55
"2018-03-03",62
"2018-03-04",74
"2018-03-05",59
"2018-03-06",58
"2018-03-07",59
"2018-03-08",57
"2018-03-09",47
"2018-03-10",62
"2018-03-11",77
"2018-03-12",49
"2018-03-13",41
"2018-03-14",40
"2018-03-15",50
"2018-03-16",43
"2018-03-17",51
"2018-03-18",67
"2018-03-19",54
"2018-03-20",46
"2018-03-21",36
"2018-03-22",45
"2018-03-23",41
"2018-03-24",53
"2018-03-25",61
"2018-03-26",54
"2018-03-27",48
"2018-03-28",46
"2018-03-29",40
"2018-03-30",38
"2018-03-31",44
"2018-04-01",67
"2018-04-02",46
"2018-04-03",44
"2018-04-04",49
"2018-04-05",44
"2018-04-06",42
"2018-04-07",41
"2018-04-08",62
"2018-04-09",46
"2018-04-10",40
"2018-04-11",44
"2018-04-12",45
"2018-04-13",43
"2018-04-14",55
"2018-04-15",59
"2018-04-16",49
"2018-04-17",46
"2018-04-18",49
"2018-04-19",46
