네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","에코백"
"2017-08-01",68
"2017-08-02",69
"2017-08-03",63
"2017-08-04",57
"2017-08-05",56
"2017-08-06",68
"2017-08-07",80
"2017-08-08",75
"2017-08-09",64
"2017-08-10",67
"2017-08-11",57
"2017-08-12",45
"2017-08-13",62
"2017-08-14",57
"2017-08-15",79
"2017-08-16",62
"2017-08-17",71
"2017-08-18",55
"2017-08-19",57
"2017-08-20",71
"2017-08-21",73
"2017-08-22",63
"2017-08-23",65
"2017-08-24",64
"2017-08-25",52
"2017-08-26",58
"2017-08-27",70
"2017-08-28",76
"2017-08-29",75
"2017-08-30",59
"2017-08-31",59
"2017-09-01",50
"2017-09-02",53
"2017-09-03",74
"2017-09-04",63
"2017-09-05",66
"2017-09-06",70
"2017-09-07",61
"2017-09-08",54
"2017-09-09",51
"2017-09-10",72
"2017-09-11",64
"2017-09-12",61
"2017-09-13",64
"2017-09-14",54
"2017-09-15",49
"2017-09-16",53
"2017-09-17",64
"2017-09-18",68
"2017-09-19",62
"2017-09-20",52
"2017-09-21",48
"2017-09-22",45
"2017-09-23",43
"2017-09-24",57
"2017-09-25",52
"2017-09-26",52
"2017-09-27",49
"2017-09-28",42
"2017-09-29",34
"2017-09-30",33
"2017-10-01",36
"2017-10-02",32
"2017-10-03",34
"2017-10-04",33
"2017-10-05",31
"2017-10-06",44
"2017-10-07",44
"2017-10-08",56
"2017-10-09",63
"2017-10-10",60
"2017-10-11",56
"2017-10-12",52
"2017-10-13",41
"2017-10-14",39
"2017-10-15",50
"2017-10-16",47
"2017-10-17",47
"2017-10-18",48
"2017-10-19",37
"2017-10-20",32
"2017-10-21",35
"2017-10-22",48
"2017-10-23",47
"2017-10-24",40
"2017-10-25",37
"2017-10-26",39
"2017-10-27",34
"2017-10-28",35
"2017-10-29",45
"2017-10-30",35
"2017-10-31",36
"2017-11-01",37
"2017-11-02",36
"2017-11-03",34
"2017-11-04",33
"2017-11-05",44
"2017-11-06",44
"2017-11-07",36
"2017-11-08",38
"2017-11-09",32
"2017-11-10",32
"2017-11-11",30
"2017-11-12",42
"2017-11-13",40
"2017-11-14",34
"2017-11-15",30
"2017-11-16",32
"2017-11-17",28
"2017-11-18",27
"2017-11-19",34
"2017-11-20",37
"2017-11-21",36
"2017-11-22",34
"2017-11-23",35
"2017-11-24",30
"2017-11-25",27
"2017-11-26",36
"2017-11-27",32
"2017-11-28",32
"2017-11-29",29
"2017-11-30",28
"2017-12-01",27
"2017-12-02",27
"2017-12-03",39
"2017-12-04",32
"2017-12-05",27
"2017-12-06",33
"2017-12-07",28
"2017-12-08",23
"2017-12-09",26
"2017-12-10",33
"2017-12-11",31
"2017-12-12",30
"2017-12-13",29
"2017-12-14",29
"2017-12-15",25
"2017-12-16",24
"2017-12-17",35
"2017-12-18",29
"2017-12-19",27
"2017-12-20",30
"2017-12-21",22
"2017-12-22",19
"2017-12-23",20
"2017-12-24",22
"2017-12-25",24
"2017-12-26",26
"2017-12-27",28
"2017-12-28",28
"2017-12-29",23
"2017-12-30",24
"2017-12-31",24
"2018-01-01",30
"2018-01-02",36
"2018-01-03",35
"2018-01-04",33
"2018-01-05",35
"2018-01-06",36
"2018-01-07",42
"2018-01-08",45
"2018-01-09",40
"2018-01-10",37
"2018-01-11",40
"2018-01-12",35
"2018-01-13",39
"2018-01-14",41
"2018-01-15",41
"2018-01-16",41
"2018-01-17",45
"2018-01-18",34
"2018-01-19",34
"2018-01-20",36
"2018-01-21",46
"2018-01-22",38
"2018-01-23",37
"2018-01-24",39
"2018-01-25",37
"2018-01-26",35
"2018-01-27",37
"2018-01-28",48
"2018-01-29",42
"2018-01-30",43
"2018-01-31",43
"2018-02-01",43
"2018-02-02",37
"2018-02-03",40
"2018-02-04",57
"2018-02-05",51
"2018-02-06",54
"2018-02-07",49
"2018-02-08",47
"2018-02-09",40
"2018-02-10",42
"2018-02-11",51
"2018-02-12",46
"2018-02-13",42
"2018-02-14",43
"2018-02-15",42
"2018-02-16",40
"2018-02-17",46
"2018-02-18",67
"2018-02-19",62
"2018-02-20",59
"2018-02-21",60
"2018-02-22",62
"2018-02-23",54
"2018-02-24",49
"2018-02-25",65
"2018-02-26",66
"2018-02-27",73
"2018-02-28",65
"2018-03-01",77
"2018-03-02",68
"2018-03-03",67
"2018-03-04",100
"2018-03-05",77
"2018-03-06",69
"2018-03-07",64
"2018-03-08",59
"2018-03-09",54
"2018-03-10",61
"2018-03-11",88
"2018-03-12",79
"2018-03-13",82
"2018-03-14",74
"2018-03-15",69
"2018-03-16",66
"2018-03-17",65
"2018-03-18",88
"2018-03-19",79
"2018-03-20",74
"2018-03-21",66
"2018-03-22",67
"2018-03-23",57
"2018-03-24",75
"2018-03-25",88
"2018-03-26",83
"2018-03-27",77
"2018-03-28",82
"2018-03-29",77
"2018-03-30",67
"2018-03-31",67
"2018-04-01",97
"2018-04-02",83
"2018-04-03",84
"2018-04-04",79
"2018-04-05",74
"2018-04-06",66
"2018-04-07",62
"2018-04-08",93
"2018-04-09",78
"2018-04-10",78
"2018-04-11",79
"2018-04-12",70
"2018-04-13",64
"2018-04-14",73
"2018-04-15",93
"2018-04-16",78
"2018-04-17",73
"2018-04-18",73
"2018-04-19",69
