네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","가방"
"2017-08-01",40
"2017-08-02",45
"2017-08-03",36
"2017-08-04",32
"2017-08-05",42
"2017-08-06",52
"2017-08-07",44
"2017-08-08",39
"2017-08-09",40
"2017-08-10",45
"2017-08-11",42
"2017-08-12",40
"2017-08-13",56
"2017-08-14",53
"2017-08-15",67
"2017-08-16",55
"2017-08-17",50
"2017-08-18",50
"2017-08-19",53
"2017-08-20",75
"2017-08-21",62
"2017-08-22",58
"2017-08-23",49
"2017-08-24",52
"2017-08-25",47
"2017-08-26",48
"2017-08-27",72
"2017-08-28",61
"2017-08-29",59
"2017-08-30",52
"2017-08-31",54
"2017-09-01",49
"2017-09-02",56
"2017-09-03",73
"2017-09-04",56
"2017-09-05",61
"2017-09-06",51
"2017-09-07",58
"2017-09-08",45
"2017-09-09",53
"2017-09-10",69
"2017-09-11",56
"2017-09-12",51
"2017-09-13",50
"2017-09-14",47
"2017-09-15",42
"2017-09-16",54
"2017-09-17",64
"2017-09-18",63
"2017-09-19",47
"2017-09-20",49
"2017-09-21",54
"2017-09-22",44
"2017-09-23",48
"2017-09-24",59
"2017-09-25",55
"2017-09-26",51
"2017-09-27",45
"2017-09-28",45
"2017-09-29",41
"2017-09-30",46
"2017-10-01",56
"2017-10-02",48
"2017-10-03",47
"2017-10-04",48
"2017-10-05",51
"2017-10-06",57
"2017-10-07",56
"2017-10-08",46
"2017-10-09",58
"2017-10-10",52
"2017-10-11",54
"2017-10-12",69
"2017-10-13",50
"2017-10-14",48
"2017-10-15",65
"2017-10-16",61
"2017-10-17",57
"2017-10-18",60
"2017-10-19",51
"2017-10-20",39
"2017-10-21",51
"2017-10-22",71
"2017-10-23",60
"2017-10-24",54
"2017-10-25",50
"2017-10-26",55
"2017-10-27",47
"2017-10-28",56
"2017-10-29",68
"2017-10-30",57
"2017-10-31",49
"2017-11-01",51
"2017-11-02",55
"2017-11-03",51
"2017-11-04",54
"2017-11-05",72
"2017-11-06",60
"2017-11-07",60
"2017-11-08",60
"2017-11-09",58
"2017-11-10",49
"2017-11-11",56
"2017-11-12",75
"2017-11-13",65
"2017-11-14",59
"2017-11-15",54
"2017-11-16",53
"2017-11-17",56
"2017-11-18",65
"2017-11-19",65
"2017-11-20",61
"2017-11-21",57
"2017-11-22",61
"2017-11-23",51
"2017-11-24",41
"2017-11-25",52
"2017-11-26",66
"2017-11-27",55
"2017-11-28",58
"2017-11-29",51
"2017-11-30",50
"2017-12-01",50
"2017-12-02",68
"2017-12-03",79
"2017-12-04",69
"2017-12-05",66
"2017-12-06",64
"2017-12-07",60
"2017-12-08",54
"2017-12-09",66
"2017-12-10",80
"2017-12-11",67
"2017-12-12",60
"2017-12-13",65
"2017-12-14",67
"2017-12-15",56
"2017-12-16",60
"2017-12-17",67
"2017-12-18",63
"2017-12-19",58
"2017-12-20",57
"2017-12-21",53
"2017-12-22",49
"2017-12-23",66
"2017-12-24",64
"2017-12-25",64
"2017-12-26",71
"2017-12-27",61
"2017-12-28",57
"2017-12-29",54
"2017-12-30",65
"2017-12-31",61
"2018-01-01",73
"2018-01-02",66
"2018-01-03",63
"2018-01-04",66
"2018-01-05",48
"2018-01-06",65
"2018-01-07",88
"2018-01-08",57
"2018-01-09",60
"2018-01-10",61
"2018-01-11",59
"2018-01-12",52
"2018-01-13",66
"2018-01-14",78
"2018-01-15",76
"2018-01-16",76
"2018-01-17",78
"2018-01-18",63
"2018-01-19",59
"2018-01-20",70
"2018-01-21",90
"2018-01-22",68
"2018-01-23",76
"2018-01-24",76
"2018-01-25",63
"2018-01-26",61
"2018-01-27",69
"2018-01-28",92
"2018-01-29",71
"2018-01-30",66
"2018-01-31",73
"2018-02-01",65
"2018-02-02",63
"2018-02-03",64
"2018-02-04",88
"2018-02-05",58
"2018-02-06",60
"2018-02-07",60
"2018-02-08",54
"2018-02-09",59
"2018-02-10",59
"2018-02-11",86
"2018-02-12",51
"2018-02-13",49
"2018-02-14",54
"2018-02-15",56
"2018-02-16",81
"2018-02-17",78
"2018-02-18",97
"2018-02-19",89
"2018-02-20",86
"2018-02-21",79
"2018-02-22",73
"2018-02-23",73
"2018-02-24",82
"2018-02-25",97
"2018-02-26",97
"2018-02-27",91
"2018-02-28",80
"2018-03-01",92
"2018-03-02",64
"2018-03-03",76
"2018-03-04",100
"2018-03-05",65
"2018-03-06",70
"2018-03-07",64
"2018-03-08",67
"2018-03-09",54
"2018-03-10",70
"2018-03-11",90
"2018-03-12",72
"2018-03-13",75
"2018-03-14",69
"2018-03-15",64
"2018-03-16",60
"2018-03-17",73
"2018-03-18",95
"2018-03-19",72
"2018-03-20",65
"2018-03-21",59
"2018-03-22",60
"2018-03-23",54
"2018-03-24",62
"2018-03-25",79
"2018-03-26",68
"2018-03-27",63
"2018-03-28",61
"2018-03-29",60
"2018-03-30",54
"2018-03-31",57
"2018-04-01",81
"2018-04-02",63
"2018-04-03",56
"2018-04-04",55
"2018-04-05",51
"2018-04-06",51
"2018-04-07",51
"2018-04-08",71
"2018-04-09",61
"2018-04-10",58
"2018-04-11",59
"2018-04-12",52
"2018-04-13",54
"2018-04-14",59
"2018-04-15",71
"2018-04-16",54
"2018-04-17",52
"2018-04-18",59
"2018-04-19",52
