네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","삭스부츠"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",1
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",1
"2017-08-16",1
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",2
"2017-08-22",1
"2017-08-23",2
"2017-08-24",2
"2017-08-25",3
"2017-08-26",3
"2017-08-27",3
"2017-08-28",5
"2017-08-29",7
"2017-08-30",7
"2017-08-31",11
"2017-09-01",11
"2017-09-02",11
"2017-09-03",12
"2017-09-04",14
"2017-09-05",13
"2017-09-06",15
"2017-09-07",14
"2017-09-08",16
"2017-09-09",13
"2017-09-10",13
"2017-09-11",17
"2017-09-12",14
"2017-09-13",13
"2017-09-14",15
"2017-09-15",18
"2017-09-16",14
"2017-09-17",20
"2017-09-18",21
"2017-09-19",26
"2017-09-20",19
"2017-09-21",20
"2017-09-22",19
"2017-09-23",18
"2017-09-24",25
"2017-09-25",25
"2017-09-26",27
"2017-09-27",25
"2017-09-28",25
"2017-09-29",22
"2017-09-30",29
"2017-10-01",45
"2017-10-02",37
"2017-10-03",32
"2017-10-04",39
"2017-10-05",50
"2017-10-06",41
"2017-10-07",42
"2017-10-08",44
"2017-10-09",49
"2017-10-10",55
"2017-10-11",54
"2017-10-12",64
"2017-10-13",53
"2017-10-14",56
"2017-10-15",56
"2017-10-16",72
"2017-10-17",87
"2017-10-18",73
"2017-10-19",60
"2017-10-20",53
"2017-10-21",49
"2017-10-22",71
"2017-10-23",71
"2017-10-24",74
"2017-10-25",74
"2017-10-26",62
"2017-10-27",48
"2017-10-28",50
"2017-10-29",63
"2017-10-30",64
"2017-10-31",76
"2017-11-01",74
"2017-11-02",77
"2017-11-03",60
"2017-11-04",51
"2017-11-05",79
"2017-11-06",71
"2017-11-07",72
"2017-11-08",67
"2017-11-09",60
"2017-11-10",54
"2017-11-11",54
"2017-11-12",75
"2017-11-13",78
"2017-11-14",73
"2017-11-15",81
"2017-11-16",81
"2017-11-17",79
"2017-11-18",68
"2017-11-19",75
"2017-11-20",73
"2017-11-21",76
"2017-11-22",76
"2017-11-23",77
"2017-11-24",66
"2017-11-25",65
"2017-11-26",81
"2017-11-27",70
"2017-11-28",76
"2017-11-29",79
"2017-11-30",79
"2017-12-01",84
"2017-12-02",74
"2017-12-03",100
"2017-12-04",94
"2017-12-05",91
"2017-12-06",94
"2017-12-07",83
"2017-12-08",76
"2017-12-09",70
"2017-12-10",95
"2017-12-11",97
"2017-12-12",80
"2017-12-13",91
"2017-12-14",75
"2017-12-15",60
"2017-12-16",65
"2017-12-17",78
"2017-12-18",81
"2017-12-19",74
"2017-12-20",66
"2017-12-21",59
"2017-12-22",48
"2017-12-23",48
"2017-12-24",51
"2017-12-25",62
"2017-12-26",70
"2017-12-27",59
"2017-12-28",55
"2017-12-29",39
"2017-12-30",36
"2017-12-31",41
"2018-01-01",47
"2018-01-02",46
"2018-01-03",51
"2018-01-04",42
"2018-01-05",40
"2018-01-06",42
"2018-01-07",51
"2018-01-08",52
"2018-01-09",47
"2018-01-10",47
"2018-01-11",39
"2018-01-12",31
"2018-01-13",31
"2018-01-14",41
"2018-01-15",36
"2018-01-16",42
"2018-01-17",35
"2018-01-18",38
"2018-01-19",31
"2018-01-20",31
"2018-01-21",32
"2018-01-22",33
"2018-01-23",36
"2018-01-24",35
"2018-01-25",31
"2018-01-26",26
"2018-01-27",26
"2018-01-28",29
"2018-01-29",34
"2018-01-30",32
"2018-01-31",29
"2018-02-01",29
"2018-02-02",25
"2018-02-03",27
"2018-02-04",35
"2018-02-05",33
"2018-02-06",32
"2018-02-07",28
"2018-02-08",27
"2018-02-09",17
"2018-02-10",16
"2018-02-11",23
"2018-02-12",17
"2018-02-13",13
"2018-02-14",13
"2018-02-15",12
"2018-02-16",13
"2018-02-17",19
"2018-02-18",21
"2018-02-19",21
"2018-02-20",17
"2018-02-21",16
"2018-02-22",16
"2018-02-23",13
"2018-02-24",10
"2018-02-25",14
"2018-02-26",16
"2018-02-27",14
"2018-02-28",10
"2018-03-01",12
"2018-03-02",9
"2018-03-03",9
"2018-03-04",14
"2018-03-05",9
"2018-03-06",11
"2018-03-07",6
"2018-03-08",9
"2018-03-09",7
"2018-03-10",9
"2018-03-11",9
"2018-03-12",8
"2018-03-13",6
"2018-03-14",5
"2018-03-15",6
"2018-03-16",6
"2018-03-17",5
"2018-03-18",4
"2018-03-19",5
"2018-03-20",5
"2018-03-21",6
"2018-03-22",5
"2018-03-23",3
"2018-03-24",5
"2018-03-25",4
"2018-03-26",5
"2018-03-27",3
"2018-03-28",2
"2018-03-29",2
"2018-03-30",2
"2018-03-31",2
"2018-04-01",3
"2018-04-02",2
"2018-04-03",3
"2018-04-04",1
"2018-04-05",1
"2018-04-06",1
"2018-04-07",1
"2018-04-08",1
"2018-04-09",1
"2018-04-10",2
"2018-04-11",1
"2018-04-12",1
"2018-04-13",1
"2018-04-14",1
"2018-04-15",1
"2018-04-16",2
"2018-04-17",1
"2018-04-18",1
"2018-04-19",1
