네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","드롭귀걸이"
"2017-08-01",29
"2017-08-02",32
"2017-08-03",27
"2017-08-04",21
"2017-08-05",29
"2017-08-06",34
"2017-08-07",26
"2017-08-08",31
"2017-08-09",31
"2017-08-10",33
"2017-08-11",27
"2017-08-12",29
"2017-08-13",38
"2017-08-14",34
"2017-08-15",41
"2017-08-16",32
"2017-08-17",34
"2017-08-18",30
"2017-08-19",41
"2017-08-20",45
"2017-08-21",41
"2017-08-22",47
"2017-08-23",36
"2017-08-24",30
"2017-08-25",28
"2017-08-26",43
"2017-08-27",47
"2017-08-28",32
"2017-08-29",35
"2017-08-30",32
"2017-08-31",33
"2017-09-01",33
"2017-09-02",38
"2017-09-03",51
"2017-09-04",43
"2017-09-05",38
"2017-09-06",35
"2017-09-07",30
"2017-09-08",32
"2017-09-09",35
"2017-09-10",44
"2017-09-11",43
"2017-09-12",41
"2017-09-13",38
"2017-09-14",34
"2017-09-15",25
"2017-09-16",33
"2017-09-17",40
"2017-09-18",33
"2017-09-19",34
"2017-09-20",32
"2017-09-21",27
"2017-09-22",28
"2017-09-23",36
"2017-09-24",45
"2017-09-25",31
"2017-09-26",31
"2017-09-27",29
"2017-09-28",26
"2017-09-29",20
"2017-09-30",28
"2017-10-01",32
"2017-10-02",27
"2017-10-03",35
"2017-10-04",34
"2017-10-05",32
"2017-10-06",39
"2017-10-07",46
"2017-10-08",50
"2017-10-09",51
"2017-10-10",38
"2017-10-11",35
"2017-10-12",37
"2017-10-13",31
"2017-10-14",51
"2017-10-15",52
"2017-10-16",47
"2017-10-17",38
"2017-10-18",38
"2017-10-19",33
"2017-10-20",32
"2017-10-21",45
"2017-10-22",51
"2017-10-23",50
"2017-10-24",46
"2017-10-25",37
"2017-10-26",50
"2017-10-27",40
"2017-10-28",55
"2017-10-29",60
"2017-10-30",47
"2017-10-31",49
"2017-11-01",44
"2017-11-02",40
"2017-11-03",39
"2017-11-04",37
"2017-11-05",55
"2017-11-06",44
"2017-11-07",47
"2017-11-08",49
"2017-11-09",37
"2017-11-10",38
"2017-11-11",43
"2017-11-12",62
"2017-11-13",49
"2017-11-14",50
"2017-11-15",38
"2017-11-16",47
"2017-11-17",39
"2017-11-18",46
"2017-11-19",61
"2017-11-20",53
"2017-11-21",53
"2017-11-22",48
"2017-11-23",40
"2017-11-24",40
"2017-11-25",52
"2017-11-26",73
"2017-11-27",58
"2017-11-28",59
"2017-11-29",49
"2017-11-30",42
"2017-12-01",37
"2017-12-02",61
"2017-12-03",85
"2017-12-04",80
"2017-12-05",70
"2017-12-06",66
"2017-12-07",61
"2017-12-08",59
"2017-12-09",70
"2017-12-10",100
"2017-12-11",94
"2017-12-12",79
"2017-12-13",76
"2017-12-14",70
"2017-12-15",59
"2017-12-16",86
"2017-12-17",89
"2017-12-18",82
"2017-12-19",74
"2017-12-20",70
"2017-12-21",53
"2017-12-22",42
"2017-12-23",50
"2017-12-24",57
"2017-12-25",73
"2017-12-26",66
"2017-12-27",58
"2017-12-28",54
"2017-12-29",49
"2017-12-30",62
"2017-12-31",58
"2018-01-01",79
"2018-01-02",68
"2018-01-03",69
"2018-01-04",60
"2018-01-05",57
"2018-01-06",70
"2018-01-07",81
"2018-01-08",70
"2018-01-09",63
"2018-01-10",69
"2018-01-11",66
"2018-01-12",54
"2018-01-13",61
"2018-01-14",76
"2018-01-15",76
"2018-01-16",67
"2018-01-17",64
"2018-01-18",63
"2018-01-19",48
"2018-01-20",53
"2018-01-21",75
"2018-01-22",66
"2018-01-23",61
"2018-01-24",60
"2018-01-25",56
"2018-01-26",49
"2018-01-27",57
"2018-01-28",67
"2018-01-29",59
"2018-01-30",60
"2018-01-31",59
"2018-02-01",45
"2018-02-02",43
"2018-02-03",43
"2018-02-04",60
"2018-02-05",47
"2018-02-06",46
"2018-02-07",38
"2018-02-08",35
"2018-02-09",38
"2018-02-10",40
"2018-02-11",48
"2018-02-12",30
"2018-02-13",26
"2018-02-14",22
"2018-02-15",31
"2018-02-16",31
"2018-02-17",37
"2018-02-18",47
"2018-02-19",44
"2018-02-20",41
"2018-02-21",40
"2018-02-22",32
"2018-02-23",32
"2018-02-24",39
"2018-02-25",45
"2018-02-26",45
"2018-02-27",37
"2018-02-28",40
"2018-03-01",40
"2018-03-02",38
"2018-03-03",47
"2018-03-04",51
"2018-03-05",41
"2018-03-06",34
"2018-03-07",40
"2018-03-08",29
"2018-03-09",28
"2018-03-10",33
"2018-03-11",49
"2018-03-12",44
"2018-03-13",39
"2018-03-14",32
"2018-03-15",35
"2018-03-16",29
"2018-03-17",38
"2018-03-18",53
"2018-03-19",44
"2018-03-20",34
"2018-03-21",32
"2018-03-22",28
"2018-03-23",29
"2018-03-24",31
"2018-03-25",45
"2018-03-26",40
"2018-03-27",31
"2018-03-28",32
"2018-03-29",32
"2018-03-30",24
"2018-03-31",38
"2018-04-01",47
"2018-04-02",35
"2018-04-03",26
"2018-04-04",33
"2018-04-05",34
"2018-04-06",27
"2018-04-07",32
"2018-04-08",40
"2018-04-09",29
"2018-04-10",38
"2018-04-11",34
"2018-04-12",30
"2018-04-13",31
"2018-04-14",38
"2018-04-15",43
"2018-04-16",39
"2018-04-17",39
"2018-04-18",33
"2018-04-19",28
