네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성로퍼"
"2017-08-01",5
"2017-08-02",6
"2017-08-03",8
"2017-08-04",6
"2017-08-05",5
"2017-08-06",8
"2017-08-07",7
"2017-08-08",8
"2017-08-09",10
"2017-08-10",9
"2017-08-11",11
"2017-08-12",10
"2017-08-13",16
"2017-08-14",18
"2017-08-15",23
"2017-08-16",25
"2017-08-17",27
"2017-08-18",24
"2017-08-19",30
"2017-08-20",29
"2017-08-21",35
"2017-08-22",27
"2017-08-23",31
"2017-08-24",27
"2017-08-25",24
"2017-08-26",29
"2017-08-27",33
"2017-08-28",39
"2017-08-29",45
"2017-08-30",55
"2017-08-31",49
"2017-09-01",37
"2017-09-02",45
"2017-09-03",60
"2017-09-04",54
"2017-09-05",58
"2017-09-06",58
"2017-09-07",54
"2017-09-08",43
"2017-09-09",47
"2017-09-10",61
"2017-09-11",69
"2017-09-12",64
"2017-09-13",54
"2017-09-14",48
"2017-09-15",47
"2017-09-16",48
"2017-09-17",52
"2017-09-18",49
"2017-09-19",51
"2017-09-20",47
"2017-09-21",46
"2017-09-22",38
"2017-09-23",37
"2017-09-24",45
"2017-09-25",44
"2017-09-26",45
"2017-09-27",46
"2017-09-28",35
"2017-09-29",24
"2017-09-30",29
"2017-10-01",33
"2017-10-02",27
"2017-10-03",22
"2017-10-04",26
"2017-10-05",32
"2017-10-06",31
"2017-10-07",44
"2017-10-08",39
"2017-10-09",49
"2017-10-10",43
"2017-10-11",43
"2017-10-12",43
"2017-10-13",32
"2017-10-14",39
"2017-10-15",46
"2017-10-16",45
"2017-10-17",40
"2017-10-18",41
"2017-10-19",35
"2017-10-20",30
"2017-10-21",38
"2017-10-22",44
"2017-10-23",42
"2017-10-24",37
"2017-10-25",37
"2017-10-26",37
"2017-10-27",33
"2017-10-28",33
"2017-10-29",44
"2017-10-30",33
"2017-10-31",36
"2017-11-01",35
"2017-11-02",36
"2017-11-03",27
"2017-11-04",29
"2017-11-05",43
"2017-11-06",35
"2017-11-07",41
"2017-11-08",43
"2017-11-09",33
"2017-11-10",30
"2017-11-11",30
"2017-11-12",41
"2017-11-13",36
"2017-11-14",34
"2017-11-15",32
"2017-11-16",33
"2017-11-17",27
"2017-11-18",28
"2017-11-19",39
"2017-11-20",34
"2017-11-21",33
"2017-11-22",35
"2017-11-23",36
"2017-11-24",30
"2017-11-25",32
"2017-11-26",45
"2017-11-27",39
"2017-11-28",40
"2017-11-29",34
"2017-11-30",35
"2017-12-01",26
"2017-12-02",32
"2017-12-03",39
"2017-12-04",38
"2017-12-05",34
"2017-12-06",29
"2017-12-07",28
"2017-12-08",25
"2017-12-09",31
"2017-12-10",43
"2017-12-11",32
"2017-12-12",26
"2017-12-13",23
"2017-12-14",26
"2017-12-15",17
"2017-12-16",22
"2017-12-17",29
"2017-12-18",27
"2017-12-19",27
"2017-12-20",27
"2017-12-21",18
"2017-12-22",15
"2017-12-23",16
"2017-12-24",20
"2017-12-25",30
"2017-12-26",33
"2017-12-27",30
"2017-12-28",30
"2017-12-29",24
"2017-12-30",26
"2017-12-31",27
"2018-01-01",30
"2018-01-02",36
"2018-01-03",29
"2018-01-04",28
"2018-01-05",22
"2018-01-06",30
"2018-01-07",39
"2018-01-08",41
"2018-01-09",37
"2018-01-10",32
"2018-01-11",29
"2018-01-12",27
"2018-01-13",27
"2018-01-14",40
"2018-01-15",38
"2018-01-16",41
"2018-01-17",35
"2018-01-18",37
"2018-01-19",35
"2018-01-20",37
"2018-01-21",45
"2018-01-22",35
"2018-01-23",34
"2018-01-24",34
"2018-01-25",28
"2018-01-26",24
"2018-01-27",28
"2018-01-28",42
"2018-01-29",36
"2018-01-30",36
"2018-01-31",32
"2018-02-01",36
"2018-02-02",38
"2018-02-03",41
"2018-02-04",49
"2018-02-05",41
"2018-02-06",40
"2018-02-07",43
"2018-02-08",41
"2018-02-09",35
"2018-02-10",43
"2018-02-11",53
"2018-02-12",37
"2018-02-13",35
"2018-02-14",30
"2018-02-15",34
"2018-02-16",28
"2018-02-17",34
"2018-02-18",59
"2018-02-19",47
"2018-02-20",46
"2018-02-21",42
"2018-02-22",46
"2018-02-23",38
"2018-02-24",45
"2018-02-25",60
"2018-02-26",49
"2018-02-27",49
"2018-02-28",51
"2018-03-01",77
"2018-03-02",61
"2018-03-03",65
"2018-03-04",100
"2018-03-05",82
"2018-03-06",73
"2018-03-07",84
"2018-03-08",76
"2018-03-09",61
"2018-03-10",74
"2018-03-11",100
"2018-03-12",91
"2018-03-13",87
"2018-03-14",93
"2018-03-15",88
"2018-03-16",61
"2018-03-17",74
"2018-03-18",87
"2018-03-19",72
"2018-03-20",61
"2018-03-21",57
"2018-03-22",48
"2018-03-23",52
"2018-03-24",67
"2018-03-25",83
"2018-03-26",62
"2018-03-27",69
"2018-03-28",67
"2018-03-29",56
"2018-03-30",49
"2018-03-31",50
"2018-04-01",71
"2018-04-02",60
"2018-04-03",53
"2018-04-04",44
"2018-04-05",39
"2018-04-06",35
"2018-04-07",31
"2018-04-08",47
"2018-04-09",46
"2018-04-10",42
"2018-04-11",45
"2018-04-12",40
"2018-04-13",30
"2018-04-14",36
"2018-04-15",45
"2018-04-16",45
"2018-04-17",41
"2018-04-18",42
"2018-04-19",38
