네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","운동화"
"2017-08-01",31
"2017-08-02",30
"2017-08-03",28
"2017-08-04",24
"2017-08-05",26
"2017-08-06",31
"2017-08-07",30
"2017-08-08",29
"2017-08-09",35
"2017-08-10",31
"2017-08-11",32
"2017-08-12",31
"2017-08-13",37
"2017-08-14",36
"2017-08-15",47
"2017-08-16",40
"2017-08-17",43
"2017-08-18",37
"2017-08-19",38
"2017-08-20",48
"2017-08-21",50
"2017-08-22",52
"2017-08-23",47
"2017-08-24",48
"2017-08-25",38
"2017-08-26",42
"2017-08-27",57
"2017-08-28",45
"2017-08-29",51
"2017-08-30",57
"2017-08-31",55
"2017-09-01",42
"2017-09-02",47
"2017-09-03",63
"2017-09-04",56
"2017-09-05",50
"2017-09-06",58
"2017-09-07",47
"2017-09-08",41
"2017-09-09",49
"2017-09-10",59
"2017-09-11",59
"2017-09-12",57
"2017-09-13",48
"2017-09-14",47
"2017-09-15",38
"2017-09-16",47
"2017-09-17",62
"2017-09-18",53
"2017-09-19",53
"2017-09-20",45
"2017-09-21",45
"2017-09-22",41
"2017-09-23",44
"2017-09-24",62
"2017-09-25",52
"2017-09-26",51
"2017-09-27",44
"2017-09-28",36
"2017-09-29",36
"2017-09-30",40
"2017-10-01",47
"2017-10-02",43
"2017-10-03",36
"2017-10-04",34
"2017-10-05",44
"2017-10-06",56
"2017-10-07",54
"2017-10-08",58
"2017-10-09",70
"2017-10-10",62
"2017-10-11",65
"2017-10-12",59
"2017-10-13",46
"2017-10-14",52
"2017-10-15",62
"2017-10-16",59
"2017-10-17",57
"2017-10-18",60
"2017-10-19",49
"2017-10-20",40
"2017-10-21",50
"2017-10-22",61
"2017-10-23",55
"2017-10-24",52
"2017-10-25",58
"2017-10-26",51
"2017-10-27",42
"2017-10-28",46
"2017-10-29",61
"2017-10-30",58
"2017-10-31",50
"2017-11-01",65
"2017-11-02",63
"2017-11-03",52
"2017-11-04",58
"2017-11-05",83
"2017-11-06",75
"2017-11-07",67
"2017-11-08",64
"2017-11-09",63
"2017-11-10",57
"2017-11-11",55
"2017-11-12",82
"2017-11-13",75
"2017-11-14",75
"2017-11-15",60
"2017-11-16",61
"2017-11-17",51
"2017-11-18",54
"2017-11-19",66
"2017-11-20",74
"2017-11-21",68
"2017-11-22",69
"2017-11-23",65
"2017-11-24",56
"2017-11-25",62
"2017-11-26",77
"2017-11-27",71
"2017-11-28",65
"2017-11-29",61
"2017-11-30",61
"2017-12-01",43
"2017-12-02",54
"2017-12-03",72
"2017-12-04",56
"2017-12-05",59
"2017-12-06",56
"2017-12-07",50
"2017-12-08",46
"2017-12-09",52
"2017-12-10",75
"2017-12-11",63
"2017-12-12",54
"2017-12-13",54
"2017-12-14",47
"2017-12-15",47
"2017-12-16",47
"2017-12-17",59
"2017-12-18",47
"2017-12-19",49
"2017-12-20",48
"2017-12-21",45
"2017-12-22",37
"2017-12-23",40
"2017-12-24",53
"2017-12-25",57
"2017-12-26",49
"2017-12-27",50
"2017-12-28",45
"2017-12-29",44
"2017-12-30",46
"2017-12-31",45
"2018-01-01",56
"2018-01-02",55
"2018-01-03",55
"2018-01-04",49
"2018-01-05",46
"2018-01-06",51
"2018-01-07",68
"2018-01-08",60
"2018-01-09",59
"2018-01-10",53
"2018-01-11",50
"2018-01-12",46
"2018-01-13",52
"2018-01-14",71
"2018-01-15",57
"2018-01-16",59
"2018-01-17",59
"2018-01-18",57
"2018-01-19",54
"2018-01-20",55
"2018-01-21",68
"2018-01-22",63
"2018-01-23",58
"2018-01-24",59
"2018-01-25",56
"2018-01-26",49
"2018-01-27",55
"2018-01-28",80
"2018-01-29",64
"2018-01-30",67
"2018-01-31",60
"2018-02-01",60
"2018-02-02",56
"2018-02-03",56
"2018-02-04",77
"2018-02-05",60
"2018-02-06",57
"2018-02-07",57
"2018-02-08",51
"2018-02-09",46
"2018-02-10",55
"2018-02-11",71
"2018-02-12",49
"2018-02-13",51
"2018-02-14",45
"2018-02-15",53
"2018-02-16",59
"2018-02-17",72
"2018-02-18",93
"2018-02-19",80
"2018-02-20",70
"2018-02-21",69
"2018-02-22",66
"2018-02-23",56
"2018-02-24",62
"2018-02-25",85
"2018-02-26",70
"2018-02-27",68
"2018-02-28",69
"2018-03-01",96
"2018-03-02",70
"2018-03-03",72
"2018-03-04",100
"2018-03-05",67
"2018-03-06",71
"2018-03-07",65
"2018-03-08",69
"2018-03-09",55
"2018-03-10",70
"2018-03-11",92
"2018-03-12",65
"2018-03-13",65
"2018-03-14",64
"2018-03-15",66
"2018-03-16",53
"2018-03-17",65
"2018-03-18",87
"2018-03-19",64
"2018-03-20",59
"2018-03-21",59
"2018-03-22",56
"2018-03-23",53
"2018-03-24",58
"2018-03-25",75
"2018-03-26",59
"2018-03-27",61
"2018-03-28",60
"2018-03-29",58
"2018-03-30",49
"2018-03-31",65
"2018-04-01",83
"2018-04-02",74
"2018-04-03",61
"2018-04-04",57
"2018-04-05",50
"2018-04-06",44
"2018-04-07",51
"2018-04-08",63
"2018-04-09",53
"2018-04-10",52
"2018-04-11",54
"2018-04-12",50
"2018-04-13",39
"2018-04-14",59
"2018-04-15",62
"2018-04-16",60
"2018-04-17",52
"2018-04-18",51
"2018-04-19",44
