네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스슈퍼스타"
"2017-08-01",22
"2017-08-02",19
"2017-08-03",21
"2017-08-04",18
"2017-08-05",17
"2017-08-06",23
"2017-08-07",18
"2017-08-08",18
"2017-08-09",20
"2017-08-10",20
"2017-08-11",20
"2017-08-12",20
"2017-08-13",25
"2017-08-14",25
"2017-08-15",35
"2017-08-16",25
"2017-08-17",26
"2017-08-18",24
"2017-08-19",26
"2017-08-20",34
"2017-08-21",26
"2017-08-22",29
"2017-08-23",30
"2017-08-24",26
"2017-08-25",21
"2017-08-26",30
"2017-08-27",38
"2017-08-28",32
"2017-08-29",42
"2017-08-30",38
"2017-08-31",34
"2017-09-01",35
"2017-09-02",40
"2017-09-03",46
"2017-09-04",41
"2017-09-05",41
"2017-09-06",45
"2017-09-07",38
"2017-09-08",33
"2017-09-09",47
"2017-09-10",53
"2017-09-11",35
"2017-09-12",38
"2017-09-13",35
"2017-09-14",37
"2017-09-15",28
"2017-09-16",38
"2017-09-17",54
"2017-09-18",41
"2017-09-19",39
"2017-09-20",31
"2017-09-21",35
"2017-09-22",27
"2017-09-23",31
"2017-09-24",44
"2017-09-25",48
"2017-09-26",40
"2017-09-27",42
"2017-09-28",34
"2017-09-29",25
"2017-09-30",37
"2017-10-01",41
"2017-10-02",44
"2017-10-03",36
"2017-10-04",33
"2017-10-05",42
"2017-10-06",53
"2017-10-07",62
"2017-10-08",61
"2017-10-09",65
"2017-10-10",58
"2017-10-11",55
"2017-10-12",45
"2017-10-13",35
"2017-10-14",57
"2017-10-15",55
"2017-10-16",46
"2017-10-17",42
"2017-10-18",45
"2017-10-19",38
"2017-10-20",38
"2017-10-21",40
"2017-10-22",53
"2017-10-23",34
"2017-10-24",38
"2017-10-25",42
"2017-10-26",31
"2017-10-27",36
"2017-10-28",40
"2017-10-29",51
"2017-10-30",43
"2017-10-31",33
"2017-11-01",48
"2017-11-02",34
"2017-11-03",36
"2017-11-04",39
"2017-11-05",48
"2017-11-06",42
"2017-11-07",39
"2017-11-08",42
"2017-11-09",34
"2017-11-10",33
"2017-11-11",34
"2017-11-12",49
"2017-11-13",42
"2017-11-14",34
"2017-11-15",34
"2017-11-16",31
"2017-11-17",26
"2017-11-18",39
"2017-11-19",45
"2017-11-20",37
"2017-11-21",31
"2017-11-22",33
"2017-11-23",31
"2017-11-24",30
"2017-11-25",34
"2017-11-26",44
"2017-11-27",35
"2017-11-28",28
"2017-11-29",29
"2017-11-30",29
"2017-12-01",27
"2017-12-02",30
"2017-12-03",46
"2017-12-04",34
"2017-12-05",26
"2017-12-06",28
"2017-12-07",27
"2017-12-08",25
"2017-12-09",28
"2017-12-10",35
"2017-12-11",33
"2017-12-12",30
"2017-12-13",26
"2017-12-14",23
"2017-12-15",23
"2017-12-16",25
"2017-12-17",30
"2017-12-18",30
"2017-12-19",25
"2017-12-20",25
"2017-12-21",28
"2017-12-22",20
"2017-12-23",24
"2017-12-24",33
"2017-12-25",38
"2017-12-26",31
"2017-12-27",26
"2017-12-28",23
"2017-12-29",21
"2017-12-30",28
"2017-12-31",30
"2018-01-01",37
"2018-01-02",31
"2018-01-03",30
"2018-01-04",32
"2018-01-05",25
"2018-01-06",29
"2018-01-07",39
"2018-01-08",35
"2018-01-09",34
"2018-01-10",32
"2018-01-11",33
"2018-01-12",30
"2018-01-13",36
"2018-01-14",47
"2018-01-15",32
"2018-01-16",32
"2018-01-17",36
"2018-01-18",36
"2018-01-19",37
"2018-01-20",49
"2018-01-21",59
"2018-01-22",46
"2018-01-23",40
"2018-01-24",37
"2018-01-25",38
"2018-01-26",38
"2018-01-27",41
"2018-01-28",48
"2018-01-29",45
"2018-01-30",50
"2018-01-31",39
"2018-02-01",58
"2018-02-02",47
"2018-02-03",57
"2018-02-04",70
"2018-02-05",71
"2018-02-06",55
"2018-02-07",54
"2018-02-08",45
"2018-02-09",47
"2018-02-10",49
"2018-02-11",62
"2018-02-12",52
"2018-02-13",41
"2018-02-14",43
"2018-02-15",44
"2018-02-16",46
"2018-02-17",67
"2018-02-18",100
"2018-02-19",85
"2018-02-20",78
"2018-02-21",84
"2018-02-22",79
"2018-02-23",72
"2018-02-24",76
"2018-02-25",90
"2018-02-26",91
"2018-02-27",83
"2018-02-28",73
"2018-03-01",91
"2018-03-02",68
"2018-03-03",80
"2018-03-04",97
"2018-03-05",73
"2018-03-06",65
"2018-03-07",62
"2018-03-08",67
"2018-03-09",55
"2018-03-10",67
"2018-03-11",92
"2018-03-12",69
"2018-03-13",60
"2018-03-14",56
"2018-03-15",60
"2018-03-16",55
"2018-03-17",56
"2018-03-18",79
"2018-03-19",53
"2018-03-20",51
"2018-03-21",48
"2018-03-22",51
"2018-03-23",44
"2018-03-24",53
"2018-03-25",62
"2018-03-26",51
"2018-03-27",48
"2018-03-28",41
"2018-03-29",37
"2018-03-30",42
"2018-03-31",51
"2018-04-01",59
"2018-04-02",41
"2018-04-03",48
"2018-04-04",35
"2018-04-05",36
"2018-04-06",26
"2018-04-07",36
"2018-04-08",48
"2018-04-09",32
"2018-04-10",34
"2018-04-11",29
"2018-04-12",27
"2018-04-13",25
"2018-04-14",32
"2018-04-15",41
"2018-04-16",31
"2018-04-17",35
"2018-04-18",30
"2018-04-19",32
