네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","지갑"
"2017-08-01",27
"2017-08-02",33
"2017-08-03",27
"2017-08-04",24
"2017-08-05",25
"2017-08-06",35
"2017-08-07",34
"2017-08-08",32
"2017-08-09",27
"2017-08-10",32
"2017-08-11",27
"2017-08-12",29
"2017-08-13",33
"2017-08-14",29
"2017-08-15",35
"2017-08-16",32
"2017-08-17",29
"2017-08-18",26
"2017-08-19",32
"2017-08-20",42
"2017-08-21",36
"2017-08-22",32
"2017-08-23",31
"2017-08-24",30
"2017-08-25",28
"2017-08-26",28
"2017-08-27",39
"2017-08-28",28
"2017-08-29",28
"2017-08-30",26
"2017-08-31",27
"2017-09-01",28
"2017-09-02",35
"2017-09-03",37
"2017-09-04",26
"2017-09-05",26
"2017-09-06",27
"2017-09-07",25
"2017-09-08",28
"2017-09-09",31
"2017-09-10",37
"2017-09-11",29
"2017-09-12",28
"2017-09-13",27
"2017-09-14",24
"2017-09-15",21
"2017-09-16",29
"2017-09-17",33
"2017-09-18",31
"2017-09-19",33
"2017-09-20",27
"2017-09-21",20
"2017-09-22",24
"2017-09-23",28
"2017-09-24",35
"2017-09-25",26
"2017-09-26",29
"2017-09-27",23
"2017-09-28",23
"2017-09-29",21
"2017-09-30",30
"2017-10-01",40
"2017-10-02",29
"2017-10-03",40
"2017-10-04",36
"2017-10-05",38
"2017-10-06",43
"2017-10-07",36
"2017-10-08",36
"2017-10-09",38
"2017-10-10",35
"2017-10-11",26
"2017-10-12",30
"2017-10-13",22
"2017-10-14",30
"2017-10-15",34
"2017-10-16",30
"2017-10-17",28
"2017-10-18",27
"2017-10-19",26
"2017-10-20",23
"2017-10-21",31
"2017-10-22",42
"2017-10-23",26
"2017-10-24",28
"2017-10-25",24
"2017-10-26",29
"2017-10-27",30
"2017-10-28",29
"2017-10-29",43
"2017-10-30",27
"2017-10-31",23
"2017-11-01",30
"2017-11-02",29
"2017-11-03",27
"2017-11-04",35
"2017-11-05",38
"2017-11-06",34
"2017-11-07",32
"2017-11-08",28
"2017-11-09",28
"2017-11-10",29
"2017-11-11",37
"2017-11-12",44
"2017-11-13",25
"2017-11-14",29
"2017-11-15",25
"2017-11-16",32
"2017-11-17",29
"2017-11-18",34
"2017-11-19",43
"2017-11-20",33
"2017-11-21",27
"2017-11-22",29
"2017-11-23",32
"2017-11-24",28
"2017-11-25",35
"2017-11-26",42
"2017-11-27",33
"2017-11-28",28
"2017-11-29",28
"2017-11-30",27
"2017-12-01",32
"2017-12-02",30
"2017-12-03",50
"2017-12-04",41
"2017-12-05",32
"2017-12-06",35
"2017-12-07",36
"2017-12-08",28
"2017-12-09",35
"2017-12-10",57
"2017-12-11",38
"2017-12-12",36
"2017-12-13",39
"2017-12-14",32
"2017-12-15",30
"2017-12-16",31
"2017-12-17",42
"2017-12-18",31
"2017-12-19",26
"2017-12-20",28
"2017-12-21",29
"2017-12-22",27
"2017-12-23",33
"2017-12-24",36
"2017-12-25",42
"2017-12-26",38
"2017-12-27",36
"2017-12-28",35
"2017-12-29",30
"2017-12-30",39
"2017-12-31",45
"2018-01-01",48
"2018-01-02",44
"2018-01-03",47
"2018-01-04",43
"2018-01-05",36
"2018-01-06",52
"2018-01-07",53
"2018-01-08",41
"2018-01-09",45
"2018-01-10",46
"2018-01-11",48
"2018-01-12",39
"2018-01-13",52
"2018-01-14",52
"2018-01-15",44
"2018-01-16",46
"2018-01-17",44
"2018-01-18",42
"2018-01-19",43
"2018-01-20",35
"2018-01-21",54
"2018-01-22",49
"2018-01-23",43
"2018-01-24",40
"2018-01-25",44
"2018-01-26",42
"2018-01-27",46
"2018-01-28",64
"2018-01-29",48
"2018-01-30",47
"2018-01-31",54
"2018-02-01",42
"2018-02-02",37
"2018-02-03",50
"2018-02-04",61
"2018-02-05",49
"2018-02-06",44
"2018-02-07",44
"2018-02-08",43
"2018-02-09",43
"2018-02-10",44
"2018-02-11",57
"2018-02-12",45
"2018-02-13",43
"2018-02-14",50
"2018-02-15",52
"2018-02-16",78
"2018-02-17",100
"2018-02-18",99
"2018-02-19",89
"2018-02-20",69
"2018-02-21",65
"2018-02-22",54
"2018-02-23",51
"2018-02-24",48
"2018-02-25",58
"2018-02-26",55
"2018-02-27",55
"2018-02-28",52
"2018-03-01",53
"2018-03-02",39
"2018-03-03",41
"2018-03-04",57
"2018-03-05",27
"2018-03-06",32
"2018-03-07",27
"2018-03-08",26
"2018-03-09",28
"2018-03-10",35
"2018-03-11",56
"2018-03-12",32
"2018-03-13",30
"2018-03-14",27
"2018-03-15",25
"2018-03-16",28
"2018-03-17",31
"2018-03-18",44
"2018-03-19",28
"2018-03-20",27
"2018-03-21",29
"2018-03-22",31
"2018-03-23",24
"2018-03-24",38
"2018-03-25",48
"2018-03-26",31
"2018-03-27",22
"2018-03-28",22
"2018-03-29",24
"2018-03-30",25
"2018-03-31",38
"2018-04-01",43
"2018-04-02",30
"2018-04-03",24
"2018-04-04",26
"2018-04-05",26
"2018-04-06",23
"2018-04-07",29
"2018-04-08",41
"2018-04-09",26
"2018-04-10",27
"2018-04-11",25
"2018-04-12",20
"2018-04-13",23
"2018-04-14",30
"2018-04-15",40
"2018-04-16",23
"2018-04-17",25
"2018-04-18",27
"2018-04-19",26
