네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","몽블랑지갑"
"2017-08-01",35
"2017-08-02",31
"2017-08-03",33
"2017-08-04",33
"2017-08-05",25
"2017-08-06",32
"2017-08-07",37
"2017-08-08",36
"2017-08-09",40
"2017-08-10",34
"2017-08-11",27
"2017-08-12",29
"2017-08-13",33
"2017-08-14",37
"2017-08-15",34
"2017-08-16",33
"2017-08-17",32
"2017-08-18",27
"2017-08-19",28
"2017-08-20",33
"2017-08-21",36
"2017-08-22",36
"2017-08-23",35
"2017-08-24",32
"2017-08-25",30
"2017-08-26",28
"2017-08-27",42
"2017-08-28",36
"2017-08-29",35
"2017-08-30",38
"2017-08-31",34
"2017-09-01",31
"2017-09-02",30
"2017-09-03",38
"2017-09-04",40
"2017-09-05",39
"2017-09-06",30
"2017-09-07",34
"2017-09-08",28
"2017-09-09",26
"2017-09-10",40
"2017-09-11",44
"2017-09-12",34
"2017-09-13",33
"2017-09-14",30
"2017-09-15",30
"2017-09-16",34
"2017-09-17",38
"2017-09-18",45
"2017-09-19",39
"2017-09-20",35
"2017-09-21",32
"2017-09-22",28
"2017-09-23",28
"2017-09-24",40
"2017-09-25",48
"2017-09-26",51
"2017-09-27",50
"2017-09-28",46
"2017-09-29",38
"2017-09-30",45
"2017-10-01",52
"2017-10-02",48
"2017-10-03",50
"2017-10-04",51
"2017-10-05",57
"2017-10-06",58
"2017-10-07",64
"2017-10-08",56
"2017-10-09",69
"2017-10-10",67
"2017-10-11",64
"2017-10-12",57
"2017-10-13",44
"2017-10-14",39
"2017-10-15",60
"2017-10-16",58
"2017-10-17",50
"2017-10-18",44
"2017-10-19",41
"2017-10-20",38
"2017-10-21",35
"2017-10-22",41
"2017-10-23",50
"2017-10-24",42
"2017-10-25",40
"2017-10-26",36
"2017-10-27",37
"2017-10-28",38
"2017-10-29",47
"2017-10-30",45
"2017-10-31",41
"2017-11-01",43
"2017-11-02",41
"2017-11-03",41
"2017-11-04",42
"2017-11-05",54
"2017-11-06",51
"2017-11-07",48
"2017-11-08",47
"2017-11-09",43
"2017-11-10",43
"2017-11-11",44
"2017-11-12",56
"2017-11-13",54
"2017-11-14",52
"2017-11-15",46
"2017-11-16",45
"2017-11-17",40
"2017-11-18",40
"2017-11-19",53
"2017-11-20",56
"2017-11-21",52
"2017-11-22",45
"2017-11-23",44
"2017-11-24",43
"2017-11-25",40
"2017-11-26",52
"2017-11-27",51
"2017-11-28",47
"2017-11-29",48
"2017-11-30",48
"2017-12-01",55
"2017-12-02",51
"2017-12-03",64
"2017-12-04",68
"2017-12-05",57
"2017-12-06",54
"2017-12-07",50
"2017-12-08",50
"2017-12-09",47
"2017-12-10",57
"2017-12-11",60
"2017-12-12",57
"2017-12-13",56
"2017-12-14",50
"2017-12-15",52
"2017-12-16",48
"2017-12-17",69
"2017-12-18",66
"2017-12-19",57
"2017-12-20",68
"2017-12-21",62
"2017-12-22",48
"2017-12-23",56
"2017-12-24",64
"2017-12-25",69
"2017-12-26",67
"2017-12-27",56
"2017-12-28",51
"2017-12-29",46
"2017-12-30",48
"2017-12-31",51
"2018-01-01",49
"2018-01-02",63
"2018-01-03",61
"2018-01-04",59
"2018-01-05",63
"2018-01-06",62
"2018-01-07",71
"2018-01-08",74
"2018-01-09",66
"2018-01-10",56
"2018-01-11",58
"2018-01-12",51
"2018-01-13",48
"2018-01-14",55
"2018-01-15",64
"2018-01-16",68
"2018-01-17",66
"2018-01-18",50
"2018-01-19",57
"2018-01-20",49
"2018-01-21",63
"2018-01-22",65
"2018-01-23",64
"2018-01-24",54
"2018-01-25",48
"2018-01-26",47
"2018-01-27",45
"2018-01-28",58
"2018-01-29",59
"2018-01-30",64
"2018-01-31",56
"2018-02-01",69
"2018-02-02",58
"2018-02-03",49
"2018-02-04",63
"2018-02-05",73
"2018-02-06",74
"2018-02-07",76
"2018-02-08",68
"2018-02-09",58
"2018-02-10",67
"2018-02-11",73
"2018-02-12",74
"2018-02-13",70
"2018-02-14",65
"2018-02-15",73
"2018-02-16",96
"2018-02-17",100
"2018-02-18",99
"2018-02-19",99
"2018-02-20",85
"2018-02-21",76
"2018-02-22",70
"2018-02-23",59
"2018-02-24",53
"2018-02-25",71
"2018-02-26",72
"2018-02-27",63
"2018-02-28",63
"2018-03-01",75
"2018-03-02",62
"2018-03-03",61
"2018-03-04",72
"2018-03-05",75
"2018-03-06",64
"2018-03-07",60
"2018-03-08",54
"2018-03-09",50
"2018-03-10",55
"2018-03-11",67
"2018-03-12",67
"2018-03-13",61
"2018-03-14",55
"2018-03-15",58
"2018-03-16",51
"2018-03-17",52
"2018-03-18",63
"2018-03-19",64
"2018-03-20",59
"2018-03-21",53
"2018-03-22",52
"2018-03-23",45
"2018-03-24",50
"2018-03-25",56
"2018-03-26",60
"2018-03-27",52
"2018-03-28",49
"2018-03-29",50
"2018-03-30",43
"2018-03-31",49
"2018-04-01",66
"2018-04-02",67
"2018-04-03",57
"2018-04-04",53
"2018-04-05",49
"2018-04-06",47
"2018-04-07",48
"2018-04-08",61
"2018-04-09",62
"2018-04-10",62
"2018-04-11",57
"2018-04-12",48
"2018-04-13",46
"2018-04-14",53
"2018-04-15",63
"2018-04-16",62
"2018-04-17",57
"2018-04-18",50
"2018-04-19",49
