네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","미니크로스백"
"2017-08-01",64
"2017-08-02",66
"2017-08-03",74
"2017-08-04",59
"2017-08-05",72
"2017-08-06",84
"2017-08-07",74
"2017-08-08",64
"2017-08-09",73
"2017-08-10",63
"2017-08-11",59
"2017-08-12",58
"2017-08-13",80
"2017-08-14",60
"2017-08-15",81
"2017-08-16",64
"2017-08-17",68
"2017-08-18",67
"2017-08-19",65
"2017-08-20",83
"2017-08-21",69
"2017-08-22",73
"2017-08-23",78
"2017-08-24",78
"2017-08-25",67
"2017-08-26",74
"2017-08-27",81
"2017-08-28",66
"2017-08-29",64
"2017-08-30",63
"2017-08-31",64
"2017-09-01",58
"2017-09-02",57
"2017-09-03",81
"2017-09-04",73
"2017-09-05",68
"2017-09-06",64
"2017-09-07",62
"2017-09-08",60
"2017-09-09",57
"2017-09-10",81
"2017-09-11",69
"2017-09-12",58
"2017-09-13",64
"2017-09-14",55
"2017-09-15",56
"2017-09-16",61
"2017-09-17",69
"2017-09-18",68
"2017-09-19",72
"2017-09-20",68
"2017-09-21",69
"2017-09-22",59
"2017-09-23",59
"2017-09-24",74
"2017-09-25",54
"2017-09-26",66
"2017-09-27",58
"2017-09-28",50
"2017-09-29",44
"2017-09-30",49
"2017-10-01",61
"2017-10-02",59
"2017-10-03",50
"2017-10-04",48
"2017-10-05",59
"2017-10-06",60
"2017-10-07",67
"2017-10-08",84
"2017-10-09",86
"2017-10-10",68
"2017-10-11",69
"2017-10-12",63
"2017-10-13",45
"2017-10-14",54
"2017-10-15",60
"2017-10-16",59
"2017-10-17",51
"2017-10-18",55
"2017-10-19",52
"2017-10-20",44
"2017-10-21",54
"2017-10-22",61
"2017-10-23",56
"2017-10-24",63
"2017-10-25",44
"2017-10-26",50
"2017-10-27",41
"2017-10-28",50
"2017-10-29",59
"2017-10-30",47
"2017-10-31",48
"2017-11-01",44
"2017-11-02",52
"2017-11-03",50
"2017-11-04",47
"2017-11-05",60
"2017-11-06",57
"2017-11-07",49
"2017-11-08",59
"2017-11-09",58
"2017-11-10",47
"2017-11-11",51
"2017-11-12",71
"2017-11-13",54
"2017-11-14",60
"2017-11-15",58
"2017-11-16",50
"2017-11-17",44
"2017-11-18",43
"2017-11-19",55
"2017-11-20",44
"2017-11-21",48
"2017-11-22",51
"2017-11-23",52
"2017-11-24",50
"2017-11-25",51
"2017-11-26",59
"2017-11-27",42
"2017-11-28",52
"2017-11-29",49
"2017-11-30",47
"2017-12-01",42
"2017-12-02",56
"2017-12-03",60
"2017-12-04",64
"2017-12-05",51
"2017-12-06",63
"2017-12-07",52
"2017-12-08",45
"2017-12-09",62
"2017-12-10",86
"2017-12-11",64
"2017-12-12",55
"2017-12-13",57
"2017-12-14",58
"2017-12-15",46
"2017-12-16",53
"2017-12-17",62
"2017-12-18",58
"2017-12-19",54
"2017-12-20",49
"2017-12-21",39
"2017-12-22",38
"2017-12-23",42
"2017-12-24",60
"2017-12-25",60
"2017-12-26",54
"2017-12-27",49
"2017-12-28",58
"2017-12-29",42
"2017-12-30",46
"2017-12-31",46
"2018-01-01",47
"2018-01-02",59
"2018-01-03",53
"2018-01-04",50
"2018-01-05",54
"2018-01-06",62
"2018-01-07",69
"2018-01-08",83
"2018-01-09",67
"2018-01-10",63
"2018-01-11",62
"2018-01-12",62
"2018-01-13",63
"2018-01-14",82
"2018-01-15",78
"2018-01-16",78
"2018-01-17",73
"2018-01-18",66
"2018-01-19",56
"2018-01-20",55
"2018-01-21",70
"2018-01-22",73
"2018-01-23",72
"2018-01-24",63
"2018-01-25",68
"2018-01-26",66
"2018-01-27",56
"2018-01-28",82
"2018-01-29",64
"2018-01-30",55
"2018-01-31",61
"2018-02-01",54
"2018-02-02",47
"2018-02-03",48
"2018-02-04",81
"2018-02-05",67
"2018-02-06",64
"2018-02-07",53
"2018-02-08",59
"2018-02-09",52
"2018-02-10",62
"2018-02-11",68
"2018-02-12",50
"2018-02-13",50
"2018-02-14",47
"2018-02-15",61
"2018-02-16",72
"2018-02-17",59
"2018-02-18",96
"2018-02-19",76
"2018-02-20",71
"2018-02-21",64
"2018-02-22",70
"2018-02-23",57
"2018-02-24",67
"2018-02-25",97
"2018-02-26",76
"2018-02-27",76
"2018-02-28",64
"2018-03-01",76
"2018-03-02",65
"2018-03-03",76
"2018-03-04",100
"2018-03-05",64
"2018-03-06",67
"2018-03-07",78
"2018-03-08",65
"2018-03-09",63
"2018-03-10",65
"2018-03-11",91
"2018-03-12",72
"2018-03-13",72
"2018-03-14",74
"2018-03-15",88
"2018-03-16",72
"2018-03-17",71
"2018-03-18",96
"2018-03-19",95
"2018-03-20",87
"2018-03-21",78
"2018-03-22",58
"2018-03-23",67
"2018-03-24",67
"2018-03-25",76
"2018-03-26",67
"2018-03-27",70
"2018-03-28",66
"2018-03-29",61
"2018-03-30",56
"2018-03-31",61
"2018-04-01",96
"2018-04-02",65
"2018-04-03",70
"2018-04-04",73
"2018-04-05",79
"2018-04-06",59
"2018-04-07",66
"2018-04-08",89
"2018-04-09",64
"2018-04-10",64
"2018-04-11",66
"2018-04-12",56
"2018-04-13",61
"2018-04-14",75
"2018-04-15",72
"2018-04-16",66
"2018-04-17",72
"2018-04-18",82
"2018-04-19",58
