네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스슬리퍼"
"2017-08-01",61
"2017-08-02",60
"2017-08-03",63
"2017-08-04",47
"2017-08-05",49
"2017-08-06",67
"2017-08-07",65
"2017-08-08",68
"2017-08-09",55
"2017-08-10",44
"2017-08-11",37
"2017-08-12",35
"2017-08-13",50
"2017-08-14",50
"2017-08-15",56
"2017-08-16",45
"2017-08-17",41
"2017-08-18",39
"2017-08-19",36
"2017-08-20",50
"2017-08-21",48
"2017-08-22",43
"2017-08-23",48
"2017-08-24",39
"2017-08-25",31
"2017-08-26",41
"2017-08-27",44
"2017-08-28",39
"2017-08-29",40
"2017-08-30",34
"2017-08-31",29
"2017-09-01",29
"2017-09-02",28
"2017-09-03",45
"2017-09-04",35
"2017-09-05",35
"2017-09-06",31
"2017-09-07",32
"2017-09-08",25
"2017-09-09",24
"2017-09-10",37
"2017-09-11",35
"2017-09-12",35
"2017-09-13",33
"2017-09-14",32
"2017-09-15",23
"2017-09-16",27
"2017-09-17",36
"2017-09-18",38
"2017-09-19",31
"2017-09-20",26
"2017-09-21",25
"2017-09-22",24
"2017-09-23",25
"2017-09-24",32
"2017-09-25",34
"2017-09-26",34
"2017-09-27",30
"2017-09-28",22
"2017-09-29",20
"2017-09-30",23
"2017-10-01",27
"2017-10-02",27
"2017-10-03",28
"2017-10-04",21
"2017-10-05",28
"2017-10-06",34
"2017-10-07",33
"2017-10-08",43
"2017-10-09",50
"2017-10-10",47
"2017-10-11",39
"2017-10-12",40
"2017-10-13",32
"2017-10-14",29
"2017-10-15",36
"2017-10-16",31
"2017-10-17",34
"2017-10-18",26
"2017-10-19",29
"2017-10-20",22
"2017-10-21",24
"2017-10-22",34
"2017-10-23",29
"2017-10-24",34
"2017-10-25",29
"2017-10-26",25
"2017-10-27",22
"2017-10-28",25
"2017-10-29",36
"2017-10-30",32
"2017-10-31",30
"2017-11-01",36
"2017-11-02",30
"2017-11-03",23
"2017-11-04",24
"2017-11-05",36
"2017-11-06",30
"2017-11-07",33
"2017-11-08",34
"2017-11-09",25
"2017-11-10",20
"2017-11-11",22
"2017-11-12",31
"2017-11-13",21
"2017-11-14",25
"2017-11-15",23
"2017-11-16",23
"2017-11-17",16
"2017-11-18",18
"2017-11-19",26
"2017-11-20",26
"2017-11-21",18
"2017-11-22",20
"2017-11-23",20
"2017-11-24",14
"2017-11-25",20
"2017-11-26",26
"2017-11-27",20
"2017-11-28",20
"2017-11-29",17
"2017-11-30",17
"2017-12-01",14
"2017-12-02",24
"2017-12-03",25
"2017-12-04",24
"2017-12-05",20
"2017-12-06",18
"2017-12-07",23
"2017-12-08",16
"2017-12-09",18
"2017-12-10",20
"2017-12-11",19
"2017-12-12",20
"2017-12-13",16
"2017-12-14",13
"2017-12-15",15
"2017-12-16",16
"2017-12-17",22
"2017-12-18",20
"2017-12-19",18
"2017-12-20",18
"2017-12-21",14
"2017-12-22",14
"2017-12-23",16
"2017-12-24",17
"2017-12-25",18
"2017-12-26",21
"2017-12-27",19
"2017-12-28",14
"2017-12-29",12
"2017-12-30",16
"2017-12-31",17
"2018-01-01",19
"2018-01-02",25
"2018-01-03",27
"2018-01-04",22
"2018-01-05",17
"2018-01-06",18
"2018-01-07",20
"2018-01-08",25
"2018-01-09",21
"2018-01-10",22
"2018-01-11",20
"2018-01-12",17
"2018-01-13",21
"2018-01-14",27
"2018-01-15",24
"2018-01-16",24
"2018-01-17",27
"2018-01-18",22
"2018-01-19",19
"2018-01-20",22
"2018-01-21",31
"2018-01-22",27
"2018-01-23",26
"2018-01-24",23
"2018-01-25",20
"2018-01-26",17
"2018-01-27",22
"2018-01-28",26
"2018-01-29",25
"2018-01-30",28
"2018-01-31",27
"2018-02-01",27
"2018-02-02",24
"2018-02-03",26
"2018-02-04",34
"2018-02-05",33
"2018-02-06",27
"2018-02-07",28
"2018-02-08",26
"2018-02-09",26
"2018-02-10",31
"2018-02-11",33
"2018-02-12",30
"2018-02-13",28
"2018-02-14",24
"2018-02-15",23
"2018-02-16",24
"2018-02-17",40
"2018-02-18",58
"2018-02-19",56
"2018-02-20",54
"2018-02-21",63
"2018-02-22",56
"2018-02-23",48
"2018-02-24",62
"2018-02-25",82
"2018-02-26",80
"2018-02-27",66
"2018-02-28",63
"2018-03-01",100
"2018-03-02",69
"2018-03-03",69
"2018-03-04",93
"2018-03-05",68
"2018-03-06",61
"2018-03-07",55
"2018-03-08",43
"2018-03-09",36
"2018-03-10",45
"2018-03-11",57
"2018-03-12",51
"2018-03-13",51
"2018-03-14",50
"2018-03-15",53
"2018-03-16",46
"2018-03-17",53
"2018-03-18",68
"2018-03-19",55
"2018-03-20",45
"2018-03-21",41
"2018-03-22",40
"2018-03-23",35
"2018-03-24",46
"2018-03-25",63
"2018-03-26",59
"2018-03-27",57
"2018-03-28",51
"2018-03-29",48
"2018-03-30",47
"2018-03-31",54
"2018-04-01",79
"2018-04-02",82
"2018-04-03",76
"2018-04-04",69
"2018-04-05",65
"2018-04-06",46
"2018-04-07",53
"2018-04-08",59
"2018-04-09",65
"2018-04-10",61
"2018-04-11",67
"2018-04-12",57
"2018-04-13",48
"2018-04-14",59
"2018-04-15",76
"2018-04-16",75
"2018-04-17",67
"2018-04-18",68
"2018-04-19",60
