네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키허라취"
"2017-08-01",14
"2017-08-02",14
"2017-08-03",15
"2017-08-04",9
"2017-08-05",13
"2017-08-06",18
"2017-08-07",14
"2017-08-08",15
"2017-08-09",11
"2017-08-10",15
"2017-08-11",12
"2017-08-12",12
"2017-08-13",14
"2017-08-14",17
"2017-08-15",41
"2017-08-16",21
"2017-08-17",19
"2017-08-18",18
"2017-08-19",18
"2017-08-20",25
"2017-08-21",38
"2017-08-22",41
"2017-08-23",41
"2017-08-24",38
"2017-08-25",29
"2017-08-26",31
"2017-08-27",40
"2017-08-28",26
"2017-08-29",27
"2017-08-30",31
"2017-08-31",29
"2017-09-01",29
"2017-09-02",26
"2017-09-03",33
"2017-09-04",30
"2017-09-05",26
"2017-09-06",27
"2017-09-07",32
"2017-09-08",27
"2017-09-09",29
"2017-09-10",36
"2017-09-11",33
"2017-09-12",30
"2017-09-13",29
"2017-09-14",30
"2017-09-15",22
"2017-09-16",22
"2017-09-17",34
"2017-09-18",29
"2017-09-19",29
"2017-09-20",29
"2017-09-21",26
"2017-09-22",28
"2017-09-23",23
"2017-09-24",31
"2017-09-25",36
"2017-09-26",32
"2017-09-27",46
"2017-09-28",37
"2017-09-29",31
"2017-09-30",34
"2017-10-01",37
"2017-10-02",45
"2017-10-03",39
"2017-10-04",44
"2017-10-05",48
"2017-10-06",65
"2017-10-07",74
"2017-10-08",75
"2017-10-09",65
"2017-10-10",54
"2017-10-11",46
"2017-10-12",44
"2017-10-13",34
"2017-10-14",40
"2017-10-15",44
"2017-10-16",44
"2017-10-17",40
"2017-10-18",35
"2017-10-19",34
"2017-10-20",30
"2017-10-21",30
"2017-10-22",45
"2017-10-23",39
"2017-10-24",37
"2017-10-25",35
"2017-10-26",31
"2017-10-27",27
"2017-10-28",31
"2017-10-29",41
"2017-10-30",35
"2017-10-31",33
"2017-11-01",34
"2017-11-02",33
"2017-11-03",63
"2017-11-04",40
"2017-11-05",48
"2017-11-06",45
"2017-11-07",40
"2017-11-08",40
"2017-11-09",35
"2017-11-10",29
"2017-11-11",35
"2017-11-12",43
"2017-11-13",40
"2017-11-14",37
"2017-11-15",32
"2017-11-16",36
"2017-11-17",28
"2017-11-18",35
"2017-11-19",44
"2017-11-20",42
"2017-11-21",35
"2017-11-22",32
"2017-11-23",31
"2017-11-24",38
"2017-11-25",38
"2017-11-26",47
"2017-11-27",39
"2017-11-28",34
"2017-11-29",35
"2017-11-30",30
"2017-12-01",27
"2017-12-02",31
"2017-12-03",39
"2017-12-04",37
"2017-12-05",45
"2017-12-06",37
"2017-12-07",34
"2017-12-08",30
"2017-12-09",35
"2017-12-10",42
"2017-12-11",35
"2017-12-12",33
"2017-12-13",30
"2017-12-14",26
"2017-12-15",30
"2017-12-16",34
"2017-12-17",35
"2017-12-18",39
"2017-12-19",34
"2017-12-20",31
"2017-12-21",32
"2017-12-22",26
"2017-12-23",27
"2017-12-24",34
"2017-12-25",40
"2017-12-26",33
"2017-12-27",36
"2017-12-28",27
"2017-12-29",30
"2017-12-30",28
"2017-12-31",31
"2018-01-01",34
"2018-01-02",45
"2018-01-03",38
"2018-01-04",39
"2018-01-05",32
"2018-01-06",34
"2018-01-07",46
"2018-01-08",40
"2018-01-09",41
"2018-01-10",40
"2018-01-11",41
"2018-01-12",31
"2018-01-13",32
"2018-01-14",52
"2018-01-15",46
"2018-01-16",42
"2018-01-17",39
"2018-01-18",35
"2018-01-19",35
"2018-01-20",40
"2018-01-21",45
"2018-01-22",43
"2018-01-23",38
"2018-01-24",37
"2018-01-25",37
"2018-01-26",36
"2018-01-27",41
"2018-01-28",57
"2018-01-29",46
"2018-01-30",40
"2018-01-31",45
"2018-02-01",39
"2018-02-02",37
"2018-02-03",45
"2018-02-04",56
"2018-02-05",49
"2018-02-06",47
"2018-02-07",51
"2018-02-08",44
"2018-02-09",45
"2018-02-10",50
"2018-02-11",62
"2018-02-12",44
"2018-02-13",48
"2018-02-14",46
"2018-02-15",45
"2018-02-16",56
"2018-02-17",62
"2018-02-18",82
"2018-02-19",76
"2018-02-20",72
"2018-02-21",74
"2018-02-22",65
"2018-02-23",64
"2018-02-24",80
"2018-02-25",85
"2018-02-26",87
"2018-02-27",88
"2018-02-28",64
"2018-03-01",85
"2018-03-02",71
"2018-03-03",75
"2018-03-04",100
"2018-03-05",82
"2018-03-06",90
"2018-03-07",76
"2018-03-08",71
"2018-03-09",64
"2018-03-10",72
"2018-03-11",87
"2018-03-12",65
"2018-03-13",65
"2018-03-14",63
"2018-03-15",61
"2018-03-16",49
"2018-03-17",58
"2018-03-18",93
"2018-03-19",96
"2018-03-20",91
"2018-03-21",73
"2018-03-22",61
"2018-03-23",62
"2018-03-24",64
"2018-03-25",95
"2018-03-26",80
"2018-03-27",70
"2018-03-28",61
"2018-03-29",60
"2018-03-30",48
"2018-03-31",48
"2018-04-01",69
"2018-04-02",62
"2018-04-03",60
"2018-04-04",57
"2018-04-05",48
"2018-04-06",47
"2018-04-07",56
"2018-04-08",62
"2018-04-09",60
"2018-04-10",51
"2018-04-11",51
"2018-04-12",47
"2018-04-13",40
"2018-04-14",53
"2018-04-15",67
"2018-04-16",53
"2018-04-17",44
"2018-04-18",45
"2018-04-19",40
