네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스스탠스미스"
"2017-08-01",26
"2017-08-02",24
"2017-08-03",28
"2017-08-04",17
"2017-08-05",23
"2017-08-06",26
"2017-08-07",27
"2017-08-08",26
"2017-08-09",24
"2017-08-10",21
"2017-08-11",21
"2017-08-12",24
"2017-08-13",34
"2017-08-14",30
"2017-08-15",39
"2017-08-16",32
"2017-08-17",31
"2017-08-18",30
"2017-08-19",29
"2017-08-20",40
"2017-08-21",31
"2017-08-22",36
"2017-08-23",36
"2017-08-24",34
"2017-08-25",29
"2017-08-26",39
"2017-08-27",48
"2017-08-28",31
"2017-08-29",36
"2017-08-30",43
"2017-08-31",37
"2017-09-01",37
"2017-09-02",43
"2017-09-03",57
"2017-09-04",44
"2017-09-05",45
"2017-09-06",40
"2017-09-07",40
"2017-09-08",38
"2017-09-09",48
"2017-09-10",60
"2017-09-11",55
"2017-09-12",48
"2017-09-13",40
"2017-09-14",41
"2017-09-15",39
"2017-09-16",46
"2017-09-17",57
"2017-09-18",45
"2017-09-19",42
"2017-09-20",43
"2017-09-21",39
"2017-09-22",36
"2017-09-23",41
"2017-09-24",50
"2017-09-25",57
"2017-09-26",49
"2017-09-27",45
"2017-09-28",40
"2017-09-29",30
"2017-09-30",42
"2017-10-01",51
"2017-10-02",54
"2017-10-03",53
"2017-10-04",41
"2017-10-05",55
"2017-10-06",69
"2017-10-07",72
"2017-10-08",68
"2017-10-09",79
"2017-10-10",60
"2017-10-11",57
"2017-10-12",54
"2017-10-13",47
"2017-10-14",55
"2017-10-15",67
"2017-10-16",51
"2017-10-17",43
"2017-10-18",47
"2017-10-19",47
"2017-10-20",40
"2017-10-21",42
"2017-10-22",60
"2017-10-23",49
"2017-10-24",37
"2017-10-25",40
"2017-10-26",32
"2017-10-27",33
"2017-10-28",41
"2017-10-29",57
"2017-10-30",43
"2017-10-31",42
"2017-11-01",51
"2017-11-02",40
"2017-11-03",33
"2017-11-04",45
"2017-11-05",62
"2017-11-06",49
"2017-11-07",40
"2017-11-08",42
"2017-11-09",38
"2017-11-10",35
"2017-11-11",44
"2017-11-12",53
"2017-11-13",42
"2017-11-14",37
"2017-11-15",36
"2017-11-16",34
"2017-11-17",25
"2017-11-18",38
"2017-11-19",49
"2017-11-20",45
"2017-11-21",42
"2017-11-22",34
"2017-11-23",30
"2017-11-24",44
"2017-11-25",44
"2017-11-26",52
"2017-11-27",53
"2017-11-28",39
"2017-11-29",37
"2017-11-30",32
"2017-12-01",36
"2017-12-02",43
"2017-12-03",52
"2017-12-04",43
"2017-12-05",39
"2017-12-06",43
"2017-12-07",53
"2017-12-08",44
"2017-12-09",55
"2017-12-10",63
"2017-12-11",42
"2017-12-12",37
"2017-12-13",37
"2017-12-14",33
"2017-12-15",34
"2017-12-16",42
"2017-12-17",49
"2017-12-18",51
"2017-12-19",40
"2017-12-20",41
"2017-12-21",37
"2017-12-22",34
"2017-12-23",41
"2017-12-24",47
"2017-12-25",61
"2017-12-26",48
"2017-12-27",47
"2017-12-28",48
"2017-12-29",45
"2017-12-30",49
"2017-12-31",48
"2018-01-01",60
"2018-01-02",49
"2018-01-03",45
"2018-01-04",48
"2018-01-05",38
"2018-01-06",43
"2018-01-07",56
"2018-01-08",52
"2018-01-09",49
"2018-01-10",43
"2018-01-11",46
"2018-01-12",40
"2018-01-13",44
"2018-01-14",56
"2018-01-15",51
"2018-01-16",47
"2018-01-17",52
"2018-01-18",39
"2018-01-19",34
"2018-01-20",54
"2018-01-21",59
"2018-01-22",55
"2018-01-23",49
"2018-01-24",48
"2018-01-25",39
"2018-01-26",43
"2018-01-27",49
"2018-01-28",59
"2018-01-29",51
"2018-01-30",44
"2018-01-31",45
"2018-02-01",49
"2018-02-02",41
"2018-02-03",54
"2018-02-04",67
"2018-02-05",61
"2018-02-06",48
"2018-02-07",42
"2018-02-08",48
"2018-02-09",41
"2018-02-10",59
"2018-02-11",65
"2018-02-12",52
"2018-02-13",39
"2018-02-14",40
"2018-02-15",40
"2018-02-16",48
"2018-02-17",63
"2018-02-18",87
"2018-02-19",79
"2018-02-20",69
"2018-02-21",66
"2018-02-22",58
"2018-02-23",49
"2018-02-24",70
"2018-02-25",67
"2018-02-26",68
"2018-02-27",67
"2018-02-28",51
"2018-03-01",74
"2018-03-02",55
"2018-03-03",64
"2018-03-04",88
"2018-03-05",64
"2018-03-06",56
"2018-03-07",57
"2018-03-08",51
"2018-03-09",45
"2018-03-10",57
"2018-03-11",88
"2018-03-12",64
"2018-03-13",70
"2018-03-14",62
"2018-03-15",56
"2018-03-16",52
"2018-03-17",73
"2018-03-18",100
"2018-03-19",64
"2018-03-20",68
"2018-03-21",56
"2018-03-22",50
"2018-03-23",50
"2018-03-24",58
"2018-03-25",82
"2018-03-26",57
"2018-03-27",46
"2018-03-28",45
"2018-03-29",41
"2018-03-30",39
"2018-03-31",56
"2018-04-01",78
"2018-04-02",56
"2018-04-03",65
"2018-04-04",59
"2018-04-05",53
"2018-04-06",43
"2018-04-07",51
"2018-04-08",69
"2018-04-09",57
"2018-04-10",52
"2018-04-11",52
"2018-04-12",51
"2018-04-13",37
"2018-04-14",46
"2018-04-15",60
"2018-04-16",51
"2018-04-17",49
"2018-04-18",50
"2018-04-19",39
