네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","캐시미어머플러"
"2017-08-01",
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",1
"2017-08-10",1
"2017-08-11",1
"2017-08-12",1
"2017-08-13",
"2017-08-14",1
"2017-08-15",
"2017-08-16",
"2017-08-17",1
"2017-08-18",1
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",
"2017-08-23",1
"2017-08-24",1
"2017-08-25",
"2017-08-26",
"2017-08-27",1
"2017-08-28",2
"2017-08-29",1
"2017-08-30",1
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",2
"2017-09-04",1
"2017-09-05",2
"2017-09-06",1
"2017-09-07",1
"2017-09-08",1
"2017-09-09",1
"2017-09-10",1
"2017-09-11",2
"2017-09-12",1
"2017-09-13",1
"2017-09-14",1
"2017-09-15",2
"2017-09-16",2
"2017-09-17",2
"2017-09-18",2
"2017-09-19",3
"2017-09-20",2
"2017-09-21",2
"2017-09-22",2
"2017-09-23",3
"2017-09-24",3
"2017-09-25",2
"2017-09-26",2
"2017-09-27",3
"2017-09-28",3
"2017-09-29",3
"2017-09-30",3
"2017-10-01",4
"2017-10-02",3
"2017-10-03",5
"2017-10-04",4
"2017-10-05",5
"2017-10-06",5
"2017-10-07",6
"2017-10-08",7
"2017-10-09",5
"2017-10-10",5
"2017-10-11",7
"2017-10-12",11
"2017-10-13",13
"2017-10-14",12
"2017-10-15",15
"2017-10-16",13
"2017-10-17",14
"2017-10-18",16
"2017-10-19",14
"2017-10-20",12
"2017-10-21",11
"2017-10-22",15
"2017-10-23",14
"2017-10-24",15
"2017-10-25",18
"2017-10-26",18
"2017-10-27",16
"2017-10-28",13
"2017-10-29",23
"2017-10-30",39
"2017-10-31",33
"2017-11-01",32
"2017-11-02",28
"2017-11-03",28
"2017-11-04",33
"2017-11-05",47
"2017-11-06",51
"2017-11-07",39
"2017-11-08",32
"2017-11-09",38
"2017-11-10",38
"2017-11-11",44
"2017-11-12",54
"2017-11-13",56
"2017-11-14",52
"2017-11-15",63
"2017-11-16",65
"2017-11-17",79
"2017-11-18",75
"2017-11-19",100
"2017-11-20",98
"2017-11-21",85
"2017-11-22",74
"2017-11-23",68
"2017-11-24",58
"2017-11-25",54
"2017-11-26",76
"2017-11-27",66
"2017-11-28",65
"2017-11-29",55
"2017-11-30",60
"2017-12-01",57
"2017-12-02",62
"2017-12-03",81
"2017-12-04",80
"2017-12-05",82
"2017-12-06",75
"2017-12-07",68
"2017-12-08",53
"2017-12-09",49
"2017-12-10",67
"2017-12-11",75
"2017-12-12",73
"2017-12-13",71
"2017-12-14",65
"2017-12-15",45
"2017-12-16",40
"2017-12-17",64
"2017-12-18",60
"2017-12-19",60
"2017-12-20",60
"2017-12-21",42
"2017-12-22",29
"2017-12-23",31
"2017-12-24",32
"2017-12-25",37
"2017-12-26",37
"2017-12-27",39
"2017-12-28",32
"2017-12-29",26
"2017-12-30",23
"2017-12-31",22
"2018-01-01",23
"2018-01-02",27
"2018-01-03",24
"2018-01-04",22
"2018-01-05",19
"2018-01-06",22
"2018-01-07",28
"2018-01-08",26
"2018-01-09",29
"2018-01-10",24
"2018-01-11",25
"2018-01-12",23
"2018-01-13",25
"2018-01-14",32
"2018-01-15",24
"2018-01-16",23
"2018-01-17",15
"2018-01-18",15
"2018-01-19",13
"2018-01-20",21
"2018-01-21",22
"2018-01-22",15
"2018-01-23",19
"2018-01-24",26
"2018-01-25",21
"2018-01-26",22
"2018-01-27",26
"2018-01-28",34
"2018-01-29",29
"2018-01-30",24
"2018-01-31",20
"2018-02-01",19
"2018-02-02",13
"2018-02-03",16
"2018-02-04",25
"2018-02-05",22
"2018-02-06",22
"2018-02-07",18
"2018-02-08",14
"2018-02-09",9
"2018-02-10",11
"2018-02-11",19
"2018-02-12",12
"2018-02-13",7
"2018-02-14",5
"2018-02-15",5
"2018-02-16",6
"2018-02-17",7
"2018-02-18",11
"2018-02-19",10
"2018-02-20",8
"2018-02-21",8
"2018-02-22",6
"2018-02-23",6
"2018-02-24",6
"2018-02-25",10
"2018-02-26",6
"2018-02-27",5
"2018-02-28",5
"2018-03-01",5
"2018-03-02",5
"2018-03-03",4
"2018-03-04",5
"2018-03-05",3
"2018-03-06",4
"2018-03-07",3
"2018-03-08",3
"2018-03-09",2
"2018-03-10",2
"2018-03-11",2
"2018-03-12",2
"2018-03-13",2
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",1
"2018-03-21",1
"2018-03-22",1
"2018-03-23",1
"2018-03-24",1
"2018-03-25",1
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",1
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
