네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","제이에스티나가방"
"2017-08-01",27
"2017-08-02",23
"2017-08-03",27
"2017-08-04",26
"2017-08-05",31
"2017-08-06",35
"2017-08-07",25
"2017-08-08",26
"2017-08-09",27
"2017-08-10",30
"2017-08-11",25
"2017-08-12",29
"2017-08-13",37
"2017-08-14",33
"2017-08-15",51
"2017-08-16",40
"2017-08-17",38
"2017-08-18",34
"2017-08-19",33
"2017-08-20",44
"2017-08-21",38
"2017-08-22",41
"2017-08-23",33
"2017-08-24",33
"2017-08-25",34
"2017-08-26",36
"2017-08-27",47
"2017-08-28",35
"2017-08-29",45
"2017-08-30",37
"2017-08-31",34
"2017-09-01",28
"2017-09-02",34
"2017-09-03",44
"2017-09-04",29
"2017-09-05",32
"2017-09-06",28
"2017-09-07",25
"2017-09-08",29
"2017-09-09",37
"2017-09-10",42
"2017-09-11",28
"2017-09-12",27
"2017-09-13",26
"2017-09-14",27
"2017-09-15",25
"2017-09-16",33
"2017-09-17",40
"2017-09-18",32
"2017-09-19",32
"2017-09-20",30
"2017-09-21",25
"2017-09-22",27
"2017-09-23",36
"2017-09-24",39
"2017-09-25",31
"2017-09-26",27
"2017-09-27",27
"2017-09-28",28
"2017-09-29",25
"2017-09-30",31
"2017-10-01",41
"2017-10-02",34
"2017-10-03",35
"2017-10-04",38
"2017-10-05",39
"2017-10-06",52
"2017-10-07",44
"2017-10-08",50
"2017-10-09",53
"2017-10-10",40
"2017-10-11",42
"2017-10-12",41
"2017-10-13",30
"2017-10-14",36
"2017-10-15",44
"2017-10-16",33
"2017-10-17",31
"2017-10-18",24
"2017-10-19",35
"2017-10-20",29
"2017-10-21",30
"2017-10-22",41
"2017-10-23",32
"2017-10-24",26
"2017-10-25",25
"2017-10-26",32
"2017-10-27",27
"2017-10-28",29
"2017-10-29",37
"2017-10-30",27
"2017-10-31",27
"2017-11-01",30
"2017-11-02",27
"2017-11-03",27
"2017-11-04",35
"2017-11-05",40
"2017-11-06",27
"2017-11-07",29
"2017-11-08",27
"2017-11-09",30
"2017-11-10",28
"2017-11-11",29
"2017-11-12",40
"2017-11-13",26
"2017-11-14",30
"2017-11-15",24
"2017-11-16",23
"2017-11-17",23
"2017-11-18",29
"2017-11-19",40
"2017-11-20",32
"2017-11-21",30
"2017-11-22",30
"2017-11-23",32
"2017-11-24",24
"2017-11-25",33
"2017-11-26",47
"2017-11-27",32
"2017-11-28",33
"2017-11-29",29
"2017-11-30",33
"2017-12-01",39
"2017-12-02",49
"2017-12-03",58
"2017-12-04",43
"2017-12-05",36
"2017-12-06",36
"2017-12-07",39
"2017-12-08",29
"2017-12-09",46
"2017-12-10",55
"2017-12-11",42
"2017-12-12",42
"2017-12-13",41
"2017-12-14",40
"2017-12-15",34
"2017-12-16",43
"2017-12-17",45
"2017-12-18",37
"2017-12-19",30
"2017-12-20",43
"2017-12-21",36
"2017-12-22",27
"2017-12-23",40
"2017-12-24",43
"2017-12-25",59
"2017-12-26",51
"2017-12-27",49
"2017-12-28",42
"2017-12-29",39
"2017-12-30",44
"2017-12-31",41
"2018-01-01",42
"2018-01-02",39
"2018-01-03",36
"2018-01-04",41
"2018-01-05",40
"2018-01-06",46
"2018-01-07",57
"2018-01-08",41
"2018-01-09",41
"2018-01-10",37
"2018-01-11",47
"2018-01-12",41
"2018-01-13",47
"2018-01-14",61
"2018-01-15",46
"2018-01-16",46
"2018-01-17",49
"2018-01-18",47
"2018-01-19",39
"2018-01-20",52
"2018-01-21",67
"2018-01-22",47
"2018-01-23",50
"2018-01-24",46
"2018-01-25",38
"2018-01-26",35
"2018-01-27",45
"2018-01-28",64
"2018-01-29",50
"2018-01-30",43
"2018-01-31",48
"2018-02-01",52
"2018-02-02",42
"2018-02-03",55
"2018-02-04",70
"2018-02-05",52
"2018-02-06",47
"2018-02-07",42
"2018-02-08",38
"2018-02-09",38
"2018-02-10",50
"2018-02-11",67
"2018-02-12",47
"2018-02-13",48
"2018-02-14",42
"2018-02-15",48
"2018-02-16",52
"2018-02-17",72
"2018-02-18",91
"2018-02-19",62
"2018-02-20",59
"2018-02-21",51
"2018-02-22",42
"2018-02-23",42
"2018-02-24",55
"2018-02-25",67
"2018-02-26",58
"2018-02-27",71
"2018-02-28",64
"2018-03-01",80
"2018-03-02",58
"2018-03-03",67
"2018-03-04",100
"2018-03-05",60
"2018-03-06",54
"2018-03-07",56
"2018-03-08",58
"2018-03-09",50
"2018-03-10",71
"2018-03-11",89
"2018-03-12",56
"2018-03-13",59
"2018-03-14",51
"2018-03-15",47
"2018-03-16",43
"2018-03-17",58
"2018-03-18",73
"2018-03-19",46
"2018-03-20",44
"2018-03-21",39
"2018-03-22",34
"2018-03-23",35
"2018-03-24",47
"2018-03-25",59
"2018-03-26",44
"2018-03-27",40
"2018-03-28",34
"2018-03-29",36
"2018-03-30",28
"2018-03-31",39
"2018-04-01",54
"2018-04-02",37
"2018-04-03",30
"2018-04-04",35
"2018-04-05",35
"2018-04-06",28
"2018-04-07",40
"2018-04-08",53
"2018-04-09",37
"2018-04-10",33
"2018-04-11",34
"2018-04-12",33
"2018-04-13",29
"2018-04-14",36
"2018-04-15",47
"2018-04-16",42
"2018-04-17",39
"2018-04-18",28
"2018-04-19",35
