네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","토리버치"
"2017-08-01",28
"2017-08-02",27
"2017-08-03",25
"2017-08-04",23
"2017-08-05",26
"2017-08-06",30
"2017-08-07",23
"2017-08-08",24
"2017-08-09",31
"2017-08-10",29
"2017-08-11",23
"2017-08-12",25
"2017-08-13",29
"2017-08-14",30
"2017-08-15",39
"2017-08-16",29
"2017-08-17",31
"2017-08-18",28
"2017-08-19",33
"2017-08-20",39
"2017-08-21",33
"2017-08-22",30
"2017-08-23",24
"2017-08-24",25
"2017-08-25",19
"2017-08-26",24
"2017-08-27",26
"2017-08-28",19
"2017-08-29",20
"2017-08-30",19
"2017-08-31",22
"2017-09-01",22
"2017-09-02",25
"2017-09-03",30
"2017-09-04",24
"2017-09-05",28
"2017-09-06",23
"2017-09-07",27
"2017-09-08",24
"2017-09-09",23
"2017-09-10",31
"2017-09-11",25
"2017-09-12",24
"2017-09-13",22
"2017-09-14",23
"2017-09-15",22
"2017-09-16",21
"2017-09-17",29
"2017-09-18",22
"2017-09-19",23
"2017-09-20",19
"2017-09-21",21
"2017-09-22",18
"2017-09-23",22
"2017-09-24",25
"2017-09-25",24
"2017-09-26",27
"2017-09-27",28
"2017-09-28",30
"2017-09-29",23
"2017-09-30",26
"2017-10-01",29
"2017-10-02",27
"2017-10-03",25
"2017-10-04",26
"2017-10-05",30
"2017-10-06",39
"2017-10-07",37
"2017-10-08",40
"2017-10-09",41
"2017-10-10",42
"2017-10-11",31
"2017-10-12",35
"2017-10-13",38
"2017-10-14",39
"2017-10-15",45
"2017-10-16",46
"2017-10-17",44
"2017-10-18",45
"2017-10-19",47
"2017-10-20",33
"2017-10-21",25
"2017-10-22",36
"2017-10-23",32
"2017-10-24",29
"2017-10-25",32
"2017-10-26",29
"2017-10-27",28
"2017-10-28",31
"2017-10-29",35
"2017-10-30",31
"2017-10-31",28
"2017-11-01",31
"2017-11-02",35
"2017-11-03",31
"2017-11-04",36
"2017-11-05",35
"2017-11-06",39
"2017-11-07",34
"2017-11-08",32
"2017-11-09",33
"2017-11-10",30
"2017-11-11",39
"2017-11-12",35
"2017-11-13",30
"2017-11-14",30
"2017-11-15",29
"2017-11-16",31
"2017-11-17",37
"2017-11-18",35
"2017-11-19",37
"2017-11-20",34
"2017-11-21",32
"2017-11-22",32
"2017-11-23",35
"2017-11-24",36
"2017-11-25",38
"2017-11-26",47
"2017-11-27",35
"2017-11-28",32
"2017-11-29",34
"2017-11-30",28
"2017-12-01",28
"2017-12-02",33
"2017-12-03",39
"2017-12-04",40
"2017-12-05",38
"2017-12-06",44
"2017-12-07",41
"2017-12-08",37
"2017-12-09",45
"2017-12-10",53
"2017-12-11",44
"2017-12-12",45
"2017-12-13",42
"2017-12-14",33
"2017-12-15",39
"2017-12-16",39
"2017-12-17",67
"2017-12-18",45
"2017-12-19",42
"2017-12-20",38
"2017-12-21",35
"2017-12-22",33
"2017-12-23",38
"2017-12-24",47
"2017-12-25",59
"2017-12-26",47
"2017-12-27",42
"2017-12-28",46
"2017-12-29",41
"2017-12-30",44
"2017-12-31",45
"2018-01-01",60
"2018-01-02",57
"2018-01-03",56
"2018-01-04",50
"2018-01-05",50
"2018-01-06",62
"2018-01-07",82
"2018-01-08",69
"2018-01-09",58
"2018-01-10",65
"2018-01-11",66
"2018-01-12",55
"2018-01-13",74
"2018-01-14",88
"2018-01-15",70
"2018-01-16",66
"2018-01-17",73
"2018-01-18",69
"2018-01-19",59
"2018-01-20",71
"2018-01-21",75
"2018-01-22",62
"2018-01-23",65
"2018-01-24",67
"2018-01-25",63
"2018-01-26",56
"2018-01-27",68
"2018-01-28",90
"2018-01-29",73
"2018-01-30",59
"2018-01-31",72
"2018-02-01",55
"2018-02-02",53
"2018-02-03",53
"2018-02-04",77
"2018-02-05",60
"2018-02-06",56
"2018-02-07",54
"2018-02-08",49
"2018-02-09",47
"2018-02-10",49
"2018-02-11",59
"2018-02-12",53
"2018-02-13",46
"2018-02-14",44
"2018-02-15",58
"2018-02-16",64
"2018-02-17",81
"2018-02-18",100
"2018-02-19",74
"2018-02-20",71
"2018-02-21",61
"2018-02-22",64
"2018-02-23",61
"2018-02-24",59
"2018-02-25",68
"2018-02-26",68
"2018-02-27",63
"2018-02-28",73
"2018-03-01",96
"2018-03-02",65
"2018-03-03",74
"2018-03-04",92
"2018-03-05",76
"2018-03-06",73
"2018-03-07",66
"2018-03-08",69
"2018-03-09",67
"2018-03-10",68
"2018-03-11",95
"2018-03-12",73
"2018-03-13",68
"2018-03-14",69
"2018-03-15",78
"2018-03-16",67
"2018-03-17",79
"2018-03-18",89
"2018-03-19",68
"2018-03-20",62
"2018-03-21",45
"2018-03-22",65
"2018-03-23",60
"2018-03-24",77
"2018-03-25",81
"2018-03-26",69
"2018-03-27",61
"2018-03-28",57
"2018-03-29",54
"2018-03-30",46
"2018-03-31",53
"2018-04-01",68
"2018-04-02",53
"2018-04-03",52
"2018-04-04",52
"2018-04-05",58
"2018-04-06",51
"2018-04-07",56
"2018-04-08",64
"2018-04-09",54
"2018-04-10",50
"2018-04-11",48
"2018-04-12",45
"2018-04-13",44
"2018-04-14",60
"2018-04-15",62
"2018-04-16",50
"2018-04-17",46
"2018-04-18",52
"2018-04-19",45
