네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","만다리나덕백팩"
"2017-08-01",34
"2017-08-02",31
"2017-08-03",33
"2017-08-04",29
"2017-08-05",31
"2017-08-06",37
"2017-08-07",41
"2017-08-08",30
"2017-08-09",33
"2017-08-10",36
"2017-08-11",35
"2017-08-12",36
"2017-08-13",45
"2017-08-14",45
"2017-08-15",60
"2017-08-16",42
"2017-08-17",44
"2017-08-18",45
"2017-08-19",42
"2017-08-20",63
"2017-08-21",52
"2017-08-22",43
"2017-08-23",47
"2017-08-24",38
"2017-08-25",33
"2017-08-26",45
"2017-08-27",54
"2017-08-28",43
"2017-08-29",45
"2017-08-30",50
"2017-08-31",42
"2017-09-01",37
"2017-09-02",50
"2017-09-03",60
"2017-09-04",47
"2017-09-05",53
"2017-09-06",49
"2017-09-07",42
"2017-09-08",39
"2017-09-09",44
"2017-09-10",73
"2017-09-11",48
"2017-09-12",45
"2017-09-13",46
"2017-09-14",39
"2017-09-15",31
"2017-09-16",39
"2017-09-17",51
"2017-09-18",48
"2017-09-19",44
"2017-09-20",46
"2017-09-21",38
"2017-09-22",36
"2017-09-23",46
"2017-09-24",61
"2017-09-25",47
"2017-09-26",44
"2017-09-27",44
"2017-09-28",40
"2017-09-29",39
"2017-09-30",47
"2017-10-01",52
"2017-10-02",44
"2017-10-03",44
"2017-10-04",35
"2017-10-05",45
"2017-10-06",55
"2017-10-07",57
"2017-10-08",72
"2017-10-09",65
"2017-10-10",49
"2017-10-11",42
"2017-10-12",41
"2017-10-13",39
"2017-10-14",44
"2017-10-15",52
"2017-10-16",44
"2017-10-17",50
"2017-10-18",50
"2017-10-19",42
"2017-10-20",40
"2017-10-21",47
"2017-10-22",57
"2017-10-23",49
"2017-10-24",45
"2017-10-25",48
"2017-10-26",39
"2017-10-27",41
"2017-10-28",43
"2017-10-29",48
"2017-10-30",43
"2017-10-31",43
"2017-11-01",41
"2017-11-02",43
"2017-11-03",39
"2017-11-04",46
"2017-11-05",59
"2017-11-06",47
"2017-11-07",49
"2017-11-08",42
"2017-11-09",37
"2017-11-10",36
"2017-11-11",47
"2017-11-12",55
"2017-11-13",44
"2017-11-14",39
"2017-11-15",39
"2017-11-16",38
"2017-11-17",37
"2017-11-18",50
"2017-11-19",50
"2017-11-20",49
"2017-11-21",40
"2017-11-22",50
"2017-11-23",43
"2017-11-24",49
"2017-11-25",54
"2017-11-26",58
"2017-11-27",52
"2017-11-28",51
"2017-11-29",45
"2017-11-30",36
"2017-12-01",45
"2017-12-02",46
"2017-12-03",52
"2017-12-04",48
"2017-12-05",50
"2017-12-06",42
"2017-12-07",42
"2017-12-08",39
"2017-12-09",50
"2017-12-10",58
"2017-12-11",44
"2017-12-12",42
"2017-12-13",42
"2017-12-14",42
"2017-12-15",37
"2017-12-16",44
"2017-12-17",74
"2017-12-18",44
"2017-12-19",47
"2017-12-20",46
"2017-12-21",41
"2017-12-22",35
"2017-12-23",52
"2017-12-24",61
"2017-12-25",60
"2017-12-26",51
"2017-12-27",46
"2017-12-28",48
"2017-12-29",42
"2017-12-30",59
"2017-12-31",60
"2018-01-01",62
"2018-01-02",57
"2018-01-03",63
"2018-01-04",60
"2018-01-05",50
"2018-01-06",63
"2018-01-07",77
"2018-01-08",63
"2018-01-09",66
"2018-01-10",55
"2018-01-11",59
"2018-01-12",56
"2018-01-13",68
"2018-01-14",88
"2018-01-15",74
"2018-01-16",67
"2018-01-17",67
"2018-01-18",68
"2018-01-19",64
"2018-01-20",76
"2018-01-21",98
"2018-01-22",78
"2018-01-23",82
"2018-01-24",71
"2018-01-25",70
"2018-01-26",65
"2018-01-27",89
"2018-01-28",100
"2018-01-29",70
"2018-01-30",65
"2018-01-31",63
"2018-02-01",63
"2018-02-02",61
"2018-02-03",82
"2018-02-04",96
"2018-02-05",81
"2018-02-06",72
"2018-02-07",74
"2018-02-08",72
"2018-02-09",63
"2018-02-10",79
"2018-02-11",92
"2018-02-12",64
"2018-02-13",57
"2018-02-14",48
"2018-02-15",60
"2018-02-16",68
"2018-02-17",75
"2018-02-18",98
"2018-02-19",68
"2018-02-20",72
"2018-02-21",62
"2018-02-22",58
"2018-02-23",57
"2018-02-24",71
"2018-02-25",82
"2018-02-26",85
"2018-02-27",77
"2018-02-28",61
"2018-03-01",88
"2018-03-02",59
"2018-03-03",79
"2018-03-04",82
"2018-03-05",58
"2018-03-06",53
"2018-03-07",51
"2018-03-08",55
"2018-03-09",47
"2018-03-10",57
"2018-03-11",78
"2018-03-12",62
"2018-03-13",56
"2018-03-14",53
"2018-03-15",47
"2018-03-16",44
"2018-03-17",53
"2018-03-18",76
"2018-03-19",56
"2018-03-20",46
"2018-03-21",45
"2018-03-22",44
"2018-03-23",41
"2018-03-24",47
"2018-03-25",64
"2018-03-26",47
"2018-03-27",45
"2018-03-28",38
"2018-03-29",43
"2018-03-30",36
"2018-03-31",49
"2018-04-01",58
"2018-04-02",43
"2018-04-03",40
"2018-04-04",40
"2018-04-05",38
"2018-04-06",41
"2018-04-07",51
"2018-04-08",66
"2018-04-09",50
"2018-04-10",50
"2018-04-11",47
"2018-04-12",42
"2018-04-13",42
"2018-04-14",57
"2018-04-15",53
"2018-04-16",40
"2018-04-17",46
"2018-04-18",37
"2018-04-19",37
