네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스카프"
"2017-08-01",3
"2017-08-02",3
"2017-08-03",4
"2017-08-04",4
"2017-08-05",3
"2017-08-06",4
"2017-08-07",4
"2017-08-08",6
"2017-08-09",4
"2017-08-10",3
"2017-08-11",5
"2017-08-12",3
"2017-08-13",6
"2017-08-14",6
"2017-08-15",8
"2017-08-16",8
"2017-08-17",8
"2017-08-18",9
"2017-08-19",10
"2017-08-20",11
"2017-08-21",11
"2017-08-22",12
"2017-08-23",11
"2017-08-24",11
"2017-08-25",10
"2017-08-26",12
"2017-08-27",10
"2017-08-28",10
"2017-08-29",18
"2017-08-30",22
"2017-08-31",20
"2017-09-01",18
"2017-09-02",20
"2017-09-03",29
"2017-09-04",22
"2017-09-05",33
"2017-09-06",31
"2017-09-07",22
"2017-09-08",21
"2017-09-09",22
"2017-09-10",33
"2017-09-11",32
"2017-09-12",31
"2017-09-13",27
"2017-09-14",29
"2017-09-15",23
"2017-09-16",24
"2017-09-17",43
"2017-09-18",41
"2017-09-19",41
"2017-09-20",42
"2017-09-21",40
"2017-09-22",34
"2017-09-23",34
"2017-09-24",40
"2017-09-25",36
"2017-09-26",33
"2017-09-27",32
"2017-09-28",33
"2017-09-29",28
"2017-09-30",34
"2017-10-01",33
"2017-10-02",27
"2017-10-03",35
"2017-10-04",27
"2017-10-05",37
"2017-10-06",47
"2017-10-07",37
"2017-10-08",36
"2017-10-09",47
"2017-10-10",38
"2017-10-11",54
"2017-10-12",75
"2017-10-13",66
"2017-10-14",63
"2017-10-15",66
"2017-10-16",73
"2017-10-17",63
"2017-10-18",69
"2017-10-19",57
"2017-10-20",51
"2017-10-21",40
"2017-10-22",66
"2017-10-23",72
"2017-10-24",60
"2017-10-25",60
"2017-10-26",59
"2017-10-27",47
"2017-10-28",49
"2017-10-29",64
"2017-10-30",68
"2017-10-31",55
"2017-11-01",59
"2017-11-02",49
"2017-11-03",44
"2017-11-04",51
"2017-11-05",52
"2017-11-06",68
"2017-11-07",53
"2017-11-08",46
"2017-11-09",36
"2017-11-10",38
"2017-11-11",34
"2017-11-12",39
"2017-11-13",41
"2017-11-14",47
"2017-11-15",39
"2017-11-16",28
"2017-11-17",29
"2017-11-18",28
"2017-11-19",34
"2017-11-20",26
"2017-11-21",28
"2017-11-22",26
"2017-11-23",27
"2017-11-24",16
"2017-11-25",16
"2017-11-26",23
"2017-11-27",19
"2017-11-28",18
"2017-11-29",20
"2017-11-30",16
"2017-12-01",14
"2017-12-02",18
"2017-12-03",26
"2017-12-04",21
"2017-12-05",21
"2017-12-06",16
"2017-12-07",17
"2017-12-08",15
"2017-12-09",13
"2017-12-10",19
"2017-12-11",17
"2017-12-12",16
"2017-12-13",14
"2017-12-14",14
"2017-12-15",14
"2017-12-16",14
"2017-12-17",18
"2017-12-18",17
"2017-12-19",18
"2017-12-20",13
"2017-12-21",10
"2017-12-22",11
"2017-12-23",10
"2017-12-24",13
"2017-12-25",13
"2017-12-26",13
"2017-12-27",11
"2017-12-28",12
"2017-12-29",8
"2017-12-30",8
"2017-12-31",10
"2018-01-01",12
"2018-01-02",12
"2018-01-03",12
"2018-01-04",13
"2018-01-05",12
"2018-01-06",12
"2018-01-07",13
"2018-01-08",14
"2018-01-09",12
"2018-01-10",11
"2018-01-11",11
"2018-01-12",11
"2018-01-13",11
"2018-01-14",12
"2018-01-15",13
"2018-01-16",16
"2018-01-17",18
"2018-01-18",13
"2018-01-19",15
"2018-01-20",17
"2018-01-21",18
"2018-01-22",13
"2018-01-23",21
"2018-01-24",16
"2018-01-25",14
"2018-01-26",14
"2018-01-27",13
"2018-01-28",18
"2018-01-29",19
"2018-01-30",16
"2018-01-31",17
"2018-02-01",20
"2018-02-02",15
"2018-02-03",20
"2018-02-04",30
"2018-02-05",25
"2018-02-06",30
"2018-02-07",28
"2018-02-08",25
"2018-02-09",25
"2018-02-10",23
"2018-02-11",31
"2018-02-12",25
"2018-02-13",19
"2018-02-14",22
"2018-02-15",28
"2018-02-16",24
"2018-02-17",31
"2018-02-18",39
"2018-02-19",45
"2018-02-20",43
"2018-02-21",37
"2018-02-22",41
"2018-02-23",36
"2018-02-24",36
"2018-02-25",52
"2018-02-26",50
"2018-02-27",54
"2018-02-28",48
"2018-03-01",58
"2018-03-02",45
"2018-03-03",54
"2018-03-04",87
"2018-03-05",75
"2018-03-06",66
"2018-03-07",72
"2018-03-08",64
"2018-03-09",61
"2018-03-10",88
"2018-03-11",100
"2018-03-12",86
"2018-03-13",83
"2018-03-14",65
"2018-03-15",71
"2018-03-16",61
"2018-03-17",77
"2018-03-18",96
"2018-03-19",79
"2018-03-20",87
"2018-03-21",70
"2018-03-22",77
"2018-03-23",72
"2018-03-24",79
"2018-03-25",98
"2018-03-26",77
"2018-03-27",77
"2018-03-28",72
"2018-03-29",52
"2018-03-30",46
"2018-03-31",49
"2018-04-01",62
"2018-04-02",47
"2018-04-03",41
"2018-04-04",48
"2018-04-05",49
"2018-04-06",52
"2018-04-07",53
"2018-04-08",61
"2018-04-09",50
"2018-04-10",54
"2018-04-11",48
"2018-04-12",45
"2018-04-13",33
"2018-04-14",38
"2018-04-15",42
"2018-04-16",49
"2018-04-17",39
"2018-04-18",31
"2018-04-19",33
