네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","귀걸이"
"2017-08-01",37
"2017-08-02",34
"2017-08-03",32
"2017-08-04",30
"2017-08-05",44
"2017-08-06",48
"2017-08-07",40
"2017-08-08",34
"2017-08-09",36
"2017-08-10",37
"2017-08-11",31
"2017-08-12",37
"2017-08-13",43
"2017-08-14",39
"2017-08-15",45
"2017-08-16",33
"2017-08-17",37
"2017-08-18",31
"2017-08-19",39
"2017-08-20",47
"2017-08-21",44
"2017-08-22",42
"2017-08-23",39
"2017-08-24",41
"2017-08-25",32
"2017-08-26",38
"2017-08-27",48
"2017-08-28",38
"2017-08-29",41
"2017-08-30",36
"2017-08-31",33
"2017-09-01",32
"2017-09-02",33
"2017-09-03",46
"2017-09-04",37
"2017-09-05",35
"2017-09-06",33
"2017-09-07",30
"2017-09-08",28
"2017-09-09",36
"2017-09-10",41
"2017-09-11",40
"2017-09-12",35
"2017-09-13",33
"2017-09-14",29
"2017-09-15",28
"2017-09-16",36
"2017-09-17",44
"2017-09-18",41
"2017-09-19",41
"2017-09-20",35
"2017-09-21",32
"2017-09-22",30
"2017-09-23",41
"2017-09-24",45
"2017-09-25",36
"2017-09-26",36
"2017-09-27",32
"2017-09-28",32
"2017-09-29",25
"2017-09-30",28
"2017-10-01",38
"2017-10-02",33
"2017-10-03",30
"2017-10-04",30
"2017-10-05",31
"2017-10-06",35
"2017-10-07",43
"2017-10-08",48
"2017-10-09",50
"2017-10-10",37
"2017-10-11",38
"2017-10-12",32
"2017-10-13",30
"2017-10-14",37
"2017-10-15",46
"2017-10-16",39
"2017-10-17",39
"2017-10-18",37
"2017-10-19",35
"2017-10-20",32
"2017-10-21",45
"2017-10-22",51
"2017-10-23",45
"2017-10-24",44
"2017-10-25",42
"2017-10-26",41
"2017-10-27",40
"2017-10-28",52
"2017-10-29",58
"2017-10-30",40
"2017-10-31",42
"2017-11-01",43
"2017-11-02",43
"2017-11-03",42
"2017-11-04",47
"2017-11-05",57
"2017-11-06",50
"2017-11-07",48
"2017-11-08",47
"2017-11-09",45
"2017-11-10",41
"2017-11-11",42
"2017-11-12",62
"2017-11-13",50
"2017-11-14",50
"2017-11-15",43
"2017-11-16",41
"2017-11-17",40
"2017-11-18",57
"2017-11-19",67
"2017-11-20",58
"2017-11-21",53
"2017-11-22",51
"2017-11-23",45
"2017-11-24",44
"2017-11-25",63
"2017-11-26",75
"2017-11-27",63
"2017-11-28",60
"2017-11-29",63
"2017-11-30",54
"2017-12-01",52
"2017-12-02",64
"2017-12-03",94
"2017-12-04",74
"2017-12-05",69
"2017-12-06",67
"2017-12-07",73
"2017-12-08",61
"2017-12-09",71
"2017-12-10",100
"2017-12-11",74
"2017-12-12",71
"2017-12-13",80
"2017-12-14",76
"2017-12-15",64
"2017-12-16",76
"2017-12-17",92
"2017-12-18",77
"2017-12-19",72
"2017-12-20",70
"2017-12-21",61
"2017-12-22",45
"2017-12-23",56
"2017-12-24",60
"2017-12-25",78
"2017-12-26",72
"2017-12-27",58
"2017-12-28",58
"2017-12-29",51
"2017-12-30",69
"2017-12-31",67
"2018-01-01",65
"2018-01-02",57
"2018-01-03",57
"2018-01-04",55
"2018-01-05",52
"2018-01-06",58
"2018-01-07",68
"2018-01-08",60
"2018-01-09",66
"2018-01-10",65
"2018-01-11",72
"2018-01-12",54
"2018-01-13",60
"2018-01-14",84
"2018-01-15",74
"2018-01-16",68
"2018-01-17",66
"2018-01-18",68
"2018-01-19",55
"2018-01-20",66
"2018-01-21",84
"2018-01-22",69
"2018-01-23",62
"2018-01-24",59
"2018-01-25",59
"2018-01-26",49
"2018-01-27",58
"2018-01-28",74
"2018-01-29",62
"2018-01-30",55
"2018-01-31",58
"2018-02-01",54
"2018-02-02",48
"2018-02-03",62
"2018-02-04",67
"2018-02-05",61
"2018-02-06",58
"2018-02-07",50
"2018-02-08",53
"2018-02-09",39
"2018-02-10",48
"2018-02-11",71
"2018-02-12",47
"2018-02-13",38
"2018-02-14",36
"2018-02-15",47
"2018-02-16",45
"2018-02-17",49
"2018-02-18",60
"2018-02-19",60
"2018-02-20",52
"2018-02-21",52
"2018-02-22",56
"2018-02-23",44
"2018-02-24",50
"2018-02-25",61
"2018-02-26",51
"2018-02-27",48
"2018-02-28",48
"2018-03-01",63
"2018-03-02",48
"2018-03-03",56
"2018-03-04",65
"2018-03-05",48
"2018-03-06",45
"2018-03-07",45
"2018-03-08",46
"2018-03-09",44
"2018-03-10",54
"2018-03-11",69
"2018-03-12",54
"2018-03-13",53
"2018-03-14",45
"2018-03-15",48
"2018-03-16",45
"2018-03-17",50
"2018-03-18",65
"2018-03-19",53
"2018-03-20",50
"2018-03-21",46
"2018-03-22",37
"2018-03-23",39
"2018-03-24",48
"2018-03-25",63
"2018-03-26",51
"2018-03-27",49
"2018-03-28",45
"2018-03-29",39
"2018-03-30",36
"2018-03-31",46
"2018-04-01",54
"2018-04-02",43
"2018-04-03",46
"2018-04-04",41
"2018-04-05",48
"2018-04-06",40
"2018-04-07",50
"2018-04-08",63
"2018-04-09",43
"2018-04-10",47
"2018-04-11",44
"2018-04-12",41
"2018-04-13",37
"2018-04-14",47
"2018-04-15",57
"2018-04-16",50
"2018-04-17",44
"2018-04-18",44
"2018-04-19",42
