네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","14k귀걸이"
"2017-08-01",36
"2017-08-02",38
"2017-08-03",30
"2017-08-04",31
"2017-08-05",30
"2017-08-06",49
"2017-08-07",38
"2017-08-08",38
"2017-08-09",36
"2017-08-10",48
"2017-08-11",34
"2017-08-12",37
"2017-08-13",46
"2017-08-14",41
"2017-08-15",48
"2017-08-16",39
"2017-08-17",47
"2017-08-18",33
"2017-08-19",39
"2017-08-20",59
"2017-08-21",43
"2017-08-22",42
"2017-08-23",46
"2017-08-24",46
"2017-08-25",37
"2017-08-26",44
"2017-08-27",54
"2017-08-28",41
"2017-08-29",41
"2017-08-30",44
"2017-08-31",35
"2017-09-01",36
"2017-09-02",42
"2017-09-03",43
"2017-09-04",43
"2017-09-05",43
"2017-09-06",36
"2017-09-07",42
"2017-09-08",31
"2017-09-09",39
"2017-09-10",45
"2017-09-11",34
"2017-09-12",35
"2017-09-13",33
"2017-09-14",28
"2017-09-15",28
"2017-09-16",37
"2017-09-17",42
"2017-09-18",34
"2017-09-19",35
"2017-09-20",34
"2017-09-21",28
"2017-09-22",27
"2017-09-23",41
"2017-09-24",47
"2017-09-25",34
"2017-09-26",38
"2017-09-27",35
"2017-09-28",31
"2017-09-29",27
"2017-09-30",33
"2017-10-01",34
"2017-10-02",33
"2017-10-03",32
"2017-10-04",29
"2017-10-05",30
"2017-10-06",47
"2017-10-07",55
"2017-10-08",63
"2017-10-09",55
"2017-10-10",50
"2017-10-11",38
"2017-10-12",42
"2017-10-13",34
"2017-10-14",44
"2017-10-15",49
"2017-10-16",39
"2017-10-17",41
"2017-10-18",32
"2017-10-19",42
"2017-10-20",33
"2017-10-21",44
"2017-10-22",61
"2017-10-23",38
"2017-10-24",38
"2017-10-25",46
"2017-10-26",44
"2017-10-27",35
"2017-10-28",57
"2017-10-29",50
"2017-10-30",47
"2017-10-31",38
"2017-11-01",38
"2017-11-02",45
"2017-11-03",39
"2017-11-04",43
"2017-11-05",59
"2017-11-06",52
"2017-11-07",43
"2017-11-08",49
"2017-11-09",41
"2017-11-10",38
"2017-11-11",48
"2017-11-12",52
"2017-11-13",42
"2017-11-14",49
"2017-11-15",41
"2017-11-16",34
"2017-11-17",34
"2017-11-18",45
"2017-11-19",65
"2017-11-20",48
"2017-11-21",45
"2017-11-22",50
"2017-11-23",41
"2017-11-24",37
"2017-11-25",51
"2017-11-26",66
"2017-11-27",56
"2017-11-28",51
"2017-11-29",57
"2017-11-30",38
"2017-12-01",46
"2017-12-02",56
"2017-12-03",71
"2017-12-04",66
"2017-12-05",58
"2017-12-06",57
"2017-12-07",63
"2017-12-08",50
"2017-12-09",71
"2017-12-10",97
"2017-12-11",65
"2017-12-12",61
"2017-12-13",70
"2017-12-14",65
"2017-12-15",55
"2017-12-16",62
"2017-12-17",95
"2017-12-18",76
"2017-12-19",71
"2017-12-20",71
"2017-12-21",63
"2017-12-22",59
"2017-12-23",67
"2017-12-24",89
"2017-12-25",90
"2017-12-26",73
"2017-12-27",75
"2017-12-28",71
"2017-12-29",60
"2017-12-30",85
"2017-12-31",81
"2018-01-01",81
"2018-01-02",71
"2018-01-03",73
"2018-01-04",70
"2018-01-05",67
"2018-01-06",89
"2018-01-07",99
"2018-01-08",70
"2018-01-09",82
"2018-01-10",64
"2018-01-11",72
"2018-01-12",62
"2018-01-13",76
"2018-01-14",90
"2018-01-15",73
"2018-01-16",89
"2018-01-17",87
"2018-01-18",78
"2018-01-19",73
"2018-01-20",84
"2018-01-21",100
"2018-01-22",82
"2018-01-23",95
"2018-01-24",74
"2018-01-25",77
"2018-01-26",64
"2018-01-27",82
"2018-01-28",93
"2018-01-29",75
"2018-01-30",76
"2018-01-31",81
"2018-02-01",72
"2018-02-02",58
"2018-02-03",68
"2018-02-04",83
"2018-02-05",68
"2018-02-06",70
"2018-02-07",62
"2018-02-08",58
"2018-02-09",47
"2018-02-10",60
"2018-02-11",88
"2018-02-12",54
"2018-02-13",54
"2018-02-14",44
"2018-02-15",49
"2018-02-16",56
"2018-02-17",69
"2018-02-18",92
"2018-02-19",72
"2018-02-20",72
"2018-02-21",59
"2018-02-22",66
"2018-02-23",52
"2018-02-24",67
"2018-02-25",71
"2018-02-26",71
"2018-02-27",75
"2018-02-28",66
"2018-03-01",81
"2018-03-02",58
"2018-03-03",78
"2018-03-04",84
"2018-03-05",67
"2018-03-06",58
"2018-03-07",64
"2018-03-08",71
"2018-03-09",50
"2018-03-10",66
"2018-03-11",84
"2018-03-12",77
"2018-03-13",79
"2018-03-14",64
"2018-03-15",73
"2018-03-16",50
"2018-03-17",59
"2018-03-18",76
"2018-03-19",67
"2018-03-20",67
"2018-03-21",72
"2018-03-22",63
"2018-03-23",53
"2018-03-24",66
"2018-03-25",64
"2018-03-26",62
"2018-03-27",58
"2018-03-28",58
"2018-03-29",50
"2018-03-30",50
"2018-03-31",55
"2018-04-01",79
"2018-04-02",49
"2018-04-03",53
"2018-04-04",53
"2018-04-05",60
"2018-04-06",56
"2018-04-07",59
"2018-04-08",83
"2018-04-09",69
"2018-04-10",61
"2018-04-11",57
"2018-04-12",60
"2018-04-13",55
"2018-04-14",76
"2018-04-15",81
"2018-04-16",68
"2018-04-17",64
"2018-04-18",66
"2018-04-19",56
