네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여성스니커즈"
"2017-08-01",12
"2017-08-02",11
"2017-08-03",12
"2017-08-04",15
"2017-08-05",13
"2017-08-06",13
"2017-08-07",14
"2017-08-08",14
"2017-08-09",11
"2017-08-10",13
"2017-08-11",14
"2017-08-12",14
"2017-08-13",21
"2017-08-14",19
"2017-08-15",25
"2017-08-16",26
"2017-08-17",21
"2017-08-18",17
"2017-08-19",22
"2017-08-20",29
"2017-08-21",31
"2017-08-22",27
"2017-08-23",26
"2017-08-24",23
"2017-08-25",21
"2017-08-26",23
"2017-08-27",31
"2017-08-28",30
"2017-08-29",30
"2017-08-30",44
"2017-08-31",43
"2017-09-01",31
"2017-09-02",38
"2017-09-03",49
"2017-09-04",38
"2017-09-05",41
"2017-09-06",43
"2017-09-07",40
"2017-09-08",38
"2017-09-09",36
"2017-09-10",41
"2017-09-11",43
"2017-09-12",46
"2017-09-13",43
"2017-09-14",43
"2017-09-15",33
"2017-09-16",34
"2017-09-17",52
"2017-09-18",40
"2017-09-19",47
"2017-09-20",48
"2017-09-21",46
"2017-09-22",32
"2017-09-23",34
"2017-09-24",45
"2017-09-25",40
"2017-09-26",37
"2017-09-27",36
"2017-09-28",29
"2017-09-29",24
"2017-09-30",24
"2017-10-01",36
"2017-10-02",33
"2017-10-03",24
"2017-10-04",24
"2017-10-05",23
"2017-10-06",43
"2017-10-07",33
"2017-10-08",45
"2017-10-09",50
"2017-10-10",44
"2017-10-11",55
"2017-10-12",46
"2017-10-13",35
"2017-10-14",33
"2017-10-15",35
"2017-10-16",38
"2017-10-17",39
"2017-10-18",32
"2017-10-19",33
"2017-10-20",25
"2017-10-21",30
"2017-10-22",43
"2017-10-23",31
"2017-10-24",34
"2017-10-25",37
"2017-10-26",31
"2017-10-27",24
"2017-10-28",32
"2017-10-29",35
"2017-10-30",31
"2017-10-31",34
"2017-11-01",33
"2017-11-02",41
"2017-11-03",31
"2017-11-04",31
"2017-11-05",43
"2017-11-06",36
"2017-11-07",30
"2017-11-08",30
"2017-11-09",31
"2017-11-10",23
"2017-11-11",22
"2017-11-12",32
"2017-11-13",27
"2017-11-14",33
"2017-11-15",23
"2017-11-16",24
"2017-11-17",22
"2017-11-18",25
"2017-11-19",31
"2017-11-20",26
"2017-11-21",28
"2017-11-22",25
"2017-11-23",26
"2017-11-24",18
"2017-11-25",19
"2017-11-26",29
"2017-11-27",25
"2017-11-28",23
"2017-11-29",23
"2017-11-30",20
"2017-12-01",17
"2017-12-02",18
"2017-12-03",23
"2017-12-04",24
"2017-12-05",22
"2017-12-06",22
"2017-12-07",18
"2017-12-08",22
"2017-12-09",21
"2017-12-10",30
"2017-12-11",19
"2017-12-12",18
"2017-12-13",18
"2017-12-14",19
"2017-12-15",14
"2017-12-16",13
"2017-12-17",21
"2017-12-18",20
"2017-12-19",19
"2017-12-20",13
"2017-12-21",16
"2017-12-22",13
"2017-12-23",15
"2017-12-24",16
"2017-12-25",20
"2017-12-26",21
"2017-12-27",17
"2017-12-28",18
"2017-12-29",16
"2017-12-30",20
"2017-12-31",24
"2018-01-01",28
"2018-01-02",23
"2018-01-03",22
"2018-01-04",23
"2018-01-05",19
"2018-01-06",27
"2018-01-07",31
"2018-01-08",23
"2018-01-09",24
"2018-01-10",29
"2018-01-11",19
"2018-01-12",20
"2018-01-13",24
"2018-01-14",39
"2018-01-15",25
"2018-01-16",31
"2018-01-17",29
"2018-01-18",27
"2018-01-19",25
"2018-01-20",29
"2018-01-21",35
"2018-01-22",29
"2018-01-23",32
"2018-01-24",25
"2018-01-25",24
"2018-01-26",24
"2018-01-27",24
"2018-01-28",31
"2018-01-29",27
"2018-01-30",23
"2018-01-31",29
"2018-02-01",27
"2018-02-02",30
"2018-02-03",30
"2018-02-04",37
"2018-02-05",32
"2018-02-06",31
"2018-02-07",31
"2018-02-08",34
"2018-02-09",25
"2018-02-10",33
"2018-02-11",37
"2018-02-12",33
"2018-02-13",26
"2018-02-14",25
"2018-02-15",29
"2018-02-16",33
"2018-02-17",43
"2018-02-18",61
"2018-02-19",48
"2018-02-20",42
"2018-02-21",42
"2018-02-22",45
"2018-02-23",36
"2018-02-24",40
"2018-02-25",59
"2018-02-26",53
"2018-02-27",59
"2018-02-28",43
"2018-03-01",73
"2018-03-02",56
"2018-03-03",62
"2018-03-04",84
"2018-03-05",68
"2018-03-06",62
"2018-03-07",60
"2018-03-08",68
"2018-03-09",52
"2018-03-10",69
"2018-03-11",97
"2018-03-12",81
"2018-03-13",79
"2018-03-14",79
"2018-03-15",78
"2018-03-16",67
"2018-03-17",73
"2018-03-18",100
"2018-03-19",76
"2018-03-20",67
"2018-03-21",66
"2018-03-22",66
"2018-03-23",61
"2018-03-24",69
"2018-03-25",78
"2018-03-26",71
"2018-03-27",69
"2018-03-28",76
"2018-03-29",67
"2018-03-30",62
"2018-03-31",77
"2018-04-01",94
"2018-04-02",77
"2018-04-03",89
"2018-04-04",79
"2018-04-05",65
"2018-04-06",56
"2018-04-07",65
"2018-04-08",76
"2018-04-09",67
"2018-04-10",63
"2018-04-11",62
"2018-04-12",60
"2018-04-13",53
"2018-04-14",67
"2018-04-15",67
"2018-04-16",58
"2018-04-17",57
"2018-04-18",58
"2018-04-19",46
