네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
패션잡화
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","반스"
"2017-08-01",26
"2017-08-02",23
"2017-08-03",22
"2017-08-04",19
"2017-08-05",23
"2017-08-06",23
"2017-08-07",23
"2017-08-08",24
"2017-08-09",18
"2017-08-10",25
"2017-08-11",19
"2017-08-12",20
"2017-08-13",28
"2017-08-14",26
"2017-08-15",34
"2017-08-16",28
"2017-08-17",28
"2017-08-18",21
"2017-08-19",26
"2017-08-20",36
"2017-08-21",33
"2017-08-22",31
"2017-08-23",33
"2017-08-24",30
"2017-08-25",30
"2017-08-26",30
"2017-08-27",38
"2017-08-28",35
"2017-08-29",43
"2017-08-30",40
"2017-08-31",35
"2017-09-01",42
"2017-09-02",52
"2017-09-03",51
"2017-09-04",47
"2017-09-05",51
"2017-09-06",48
"2017-09-07",49
"2017-09-08",37
"2017-09-09",45
"2017-09-10",59
"2017-09-11",49
"2017-09-12",46
"2017-09-13",46
"2017-09-14",39
"2017-09-15",37
"2017-09-16",37
"2017-09-17",48
"2017-09-18",44
"2017-09-19",45
"2017-09-20",42
"2017-09-21",44
"2017-09-22",32
"2017-09-23",32
"2017-09-24",34
"2017-09-25",50
"2017-09-26",43
"2017-09-27",38
"2017-09-28",40
"2017-09-29",28
"2017-09-30",32
"2017-10-01",40
"2017-10-02",39
"2017-10-03",46
"2017-10-04",45
"2017-10-05",52
"2017-10-06",55
"2017-10-07",53
"2017-10-08",51
"2017-10-09",53
"2017-10-10",53
"2017-10-11",47
"2017-10-12",47
"2017-10-13",40
"2017-10-14",38
"2017-10-15",49
"2017-10-16",45
"2017-10-17",45
"2017-10-18",46
"2017-10-19",33
"2017-10-20",29
"2017-10-21",39
"2017-10-22",45
"2017-10-23",45
"2017-10-24",39
"2017-10-25",42
"2017-10-26",35
"2017-10-27",34
"2017-10-28",32
"2017-10-29",39
"2017-10-30",37
"2017-10-31",38
"2017-11-01",44
"2017-11-02",42
"2017-11-03",37
"2017-11-04",37
"2017-11-05",47
"2017-11-06",52
"2017-11-07",52
"2017-11-08",42
"2017-11-09",38
"2017-11-10",34
"2017-11-11",32
"2017-11-12",45
"2017-11-13",45
"2017-11-14",40
"2017-11-15",34
"2017-11-16",39
"2017-11-17",30
"2017-11-18",34
"2017-11-19",39
"2017-11-20",43
"2017-11-21",38
"2017-11-22",37
"2017-11-23",33
"2017-11-24",36
"2017-11-25",35
"2017-11-26",41
"2017-11-27",39
"2017-11-28",41
"2017-11-29",35
"2017-11-30",32
"2017-12-01",30
"2017-12-02",32
"2017-12-03",38
"2017-12-04",39
"2017-12-05",38
"2017-12-06",33
"2017-12-07",36
"2017-12-08",27
"2017-12-09",30
"2017-12-10",38
"2017-12-11",32
"2017-12-12",33
"2017-12-13",28
"2017-12-14",30
"2017-12-15",25
"2017-12-16",29
"2017-12-17",36
"2017-12-18",34
"2017-12-19",34
"2017-12-20",35
"2017-12-21",27
"2017-12-22",25
"2017-12-23",28
"2017-12-24",25
"2017-12-25",34
"2017-12-26",32
"2017-12-27",33
"2017-12-28",24
"2017-12-29",24
"2017-12-30",22
"2017-12-31",33
"2018-01-01",39
"2018-01-02",42
"2018-01-03",39
"2018-01-04",33
"2018-01-05",33
"2018-01-06",39
"2018-01-07",50
"2018-01-08",42
"2018-01-09",38
"2018-01-10",44
"2018-01-11",41
"2018-01-12",36
"2018-01-13",39
"2018-01-14",52
"2018-01-15",47
"2018-01-16",50
"2018-01-17",50
"2018-01-18",48
"2018-01-19",44
"2018-01-20",51
"2018-01-21",64
"2018-01-22",52
"2018-01-23",52
"2018-01-24",58
"2018-01-25",47
"2018-01-26",50
"2018-01-27",62
"2018-01-28",78
"2018-01-29",71
"2018-01-30",64
"2018-01-31",53
"2018-02-01",50
"2018-02-02",58
"2018-02-03",54
"2018-02-04",67
"2018-02-05",58
"2018-02-06",55
"2018-02-07",58
"2018-02-08",62
"2018-02-09",51
"2018-02-10",55
"2018-02-11",68
"2018-02-12",54
"2018-02-13",54
"2018-02-14",48
"2018-02-15",58
"2018-02-16",70
"2018-02-17",81
"2018-02-18",100
"2018-02-19",81
"2018-02-20",74
"2018-02-21",65
"2018-02-22",57
"2018-02-23",51
"2018-02-24",63
"2018-02-25",79
"2018-02-26",77
"2018-02-27",63
"2018-02-28",61
"2018-03-01",80
"2018-03-02",64
"2018-03-03",69
"2018-03-04",82
"2018-03-05",60
"2018-03-06",59
"2018-03-07",61
"2018-03-08",58
"2018-03-09",54
"2018-03-10",73
"2018-03-11",85
"2018-03-12",74
"2018-03-13",71
"2018-03-14",65
"2018-03-15",62
"2018-03-16",59
"2018-03-17",72
"2018-03-18",90
"2018-03-19",66
"2018-03-20",61
"2018-03-21",46
"2018-03-22",55
"2018-03-23",54
"2018-03-24",59
"2018-03-25",78
"2018-03-26",64
"2018-03-27",60
"2018-03-28",57
"2018-03-29",54
"2018-03-30",45
"2018-03-31",55
"2018-04-01",74
"2018-04-02",54
"2018-04-03",54
"2018-04-04",52
"2018-04-05",46
"2018-04-06",43
"2018-04-07",44
"2018-04-08",66
"2018-04-09",55
"2018-04-10",53
"2018-04-11",43
"2018-04-12",46
"2018-04-13",46
"2018-04-14",51
"2018-04-15",58
"2018-04-16",50
"2018-04-17",54
"2018-04-18",52
"2018-04-19",55
