네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아디다스슈퍼스타키즈"
"2017-08-01",7
"2017-08-02",5
"2017-08-03",5
"2017-08-04",6
"2017-08-05",5
"2017-08-06",7
"2017-08-07",6
"2017-08-08",7
"2017-08-09",9
"2017-08-10",10
"2017-08-11",7
"2017-08-12",7
"2017-08-13",9
"2017-08-14",13
"2017-08-15",15
"2017-08-16",14
"2017-08-17",17
"2017-08-18",13
"2017-08-19",12
"2017-08-20",18
"2017-08-21",20
"2017-08-22",23
"2017-08-23",24
"2017-08-24",18
"2017-08-25",18
"2017-08-26",18
"2017-08-27",22
"2017-08-28",26
"2017-08-29",38
"2017-08-30",52
"2017-08-31",53
"2017-09-01",37
"2017-09-02",41
"2017-09-03",43
"2017-09-04",51
"2017-09-05",49
"2017-09-06",50
"2017-09-07",52
"2017-09-08",41
"2017-09-09",48
"2017-09-10",55
"2017-09-11",49
"2017-09-12",55
"2017-09-13",53
"2017-09-14",43
"2017-09-15",37
"2017-09-16",39
"2017-09-17",49
"2017-09-18",45
"2017-09-19",37
"2017-09-20",41
"2017-09-21",44
"2017-09-22",35
"2017-09-23",32
"2017-09-24",46
"2017-09-25",54
"2017-09-26",41
"2017-09-27",32
"2017-09-28",28
"2017-09-29",22
"2017-09-30",26
"2017-10-01",37
"2017-10-02",23
"2017-10-03",19
"2017-10-04",22
"2017-10-05",30
"2017-10-06",37
"2017-10-07",43
"2017-10-08",42
"2017-10-09",53
"2017-10-10",57
"2017-10-11",40
"2017-10-12",39
"2017-10-13",31
"2017-10-14",35
"2017-10-15",44
"2017-10-16",48
"2017-10-17",44
"2017-10-18",42
"2017-10-19",36
"2017-10-20",33
"2017-10-21",32
"2017-10-22",38
"2017-10-23",42
"2017-10-24",34
"2017-10-25",36
"2017-10-26",27
"2017-10-27",24
"2017-10-28",29
"2017-10-29",33
"2017-10-30",33
"2017-10-31",33
"2017-11-01",36
"2017-11-02",27
"2017-11-03",27
"2017-11-04",29
"2017-11-05",33
"2017-11-06",33
"2017-11-07",34
"2017-11-08",35
"2017-11-09",38
"2017-11-10",23
"2017-11-11",23
"2017-11-12",34
"2017-11-13",37
"2017-11-14",29
"2017-11-15",24
"2017-11-16",26
"2017-11-17",20
"2017-11-18",19
"2017-11-19",17
"2017-11-20",25
"2017-11-21",25
"2017-11-22",20
"2017-11-23",20
"2017-11-24",14
"2017-11-25",14
"2017-11-26",22
"2017-11-27",18
"2017-11-28",18
"2017-11-29",16
"2017-11-30",15
"2017-12-01",14
"2017-12-02",16
"2017-12-03",18
"2017-12-04",27
"2017-12-05",20
"2017-12-06",16
"2017-12-07",16
"2017-12-08",12
"2017-12-09",14
"2017-12-10",16
"2017-12-11",17
"2017-12-12",13
"2017-12-13",13
"2017-12-14",12
"2017-12-15",13
"2017-12-16",11
"2017-12-17",16
"2017-12-18",19
"2017-12-19",11
"2017-12-20",13
"2017-12-21",12
"2017-12-22",11
"2017-12-23",11
"2017-12-24",12
"2017-12-25",15
"2017-12-26",16
"2017-12-27",12
"2017-12-28",16
"2017-12-29",11
"2017-12-30",14
"2017-12-31",14
"2018-01-01",16
"2018-01-02",16
"2018-01-03",21
"2018-01-04",18
"2018-01-05",18
"2018-01-06",21
"2018-01-07",23
"2018-01-08",25
"2018-01-09",21
"2018-01-10",18
"2018-01-11",20
"2018-01-12",19
"2018-01-13",17
"2018-01-14",21
"2018-01-15",22
"2018-01-16",27
"2018-01-17",26
"2018-01-18",24
"2018-01-19",22
"2018-01-20",26
"2018-01-21",32
"2018-01-22",26
"2018-01-23",26
"2018-01-24",27
"2018-01-25",22
"2018-01-26",22
"2018-01-27",24
"2018-01-28",27
"2018-01-29",29
"2018-01-30",28
"2018-01-31",28
"2018-02-01",36
"2018-02-02",33
"2018-02-03",30
"2018-02-04",39
"2018-02-05",38
"2018-02-06",36
"2018-02-07",38
"2018-02-08",33
"2018-02-09",42
"2018-02-10",34
"2018-02-11",41
"2018-02-12",31
"2018-02-13",31
"2018-02-14",29
"2018-02-15",29
"2018-02-16",28
"2018-02-17",47
"2018-02-18",69
"2018-02-19",69
"2018-02-20",63
"2018-02-21",73
"2018-02-22",59
"2018-02-23",60
"2018-02-24",64
"2018-02-25",96
"2018-02-26",91
"2018-02-27",85
"2018-02-28",68
"2018-03-01",89
"2018-03-02",79
"2018-03-03",93
"2018-03-04",100
"2018-03-05",95
"2018-03-06",89
"2018-03-07",81
"2018-03-08",83
"2018-03-09",61
"2018-03-10",75
"2018-03-11",84
"2018-03-12",72
"2018-03-13",74
"2018-03-14",78
"2018-03-15",67
"2018-03-16",53
"2018-03-17",68
"2018-03-18",80
"2018-03-19",60
"2018-03-20",56
"2018-03-21",53
"2018-03-22",48
"2018-03-23",37
"2018-03-24",51
"2018-03-25",53
"2018-03-26",49
"2018-03-27",43
"2018-03-28",41
"2018-03-29",39
"2018-03-30",36
"2018-03-31",34
"2018-04-01",46
"2018-04-02",45
"2018-04-03",43
"2018-04-04",45
"2018-04-05",46
"2018-04-06",26
"2018-04-07",29
"2018-04-08",48
"2018-04-09",40
"2018-04-10",38
"2018-04-11",41
"2018-04-12",39
"2018-04-13",32
"2018-04-14",40
"2018-04-15",41
"2018-04-16",44
"2018-04-17",46
"2018-04-18",42
"2018-04-19",35
