네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","튤립사운드북"
"2017-08-01",6
"2017-08-02",7
"2017-08-03",6
"2017-08-04",10
"2017-08-05",4
"2017-08-06",7
"2017-08-07",10
"2017-08-08",11
"2017-08-09",11
"2017-08-10",10
"2017-08-11",9
"2017-08-12",7
"2017-08-13",5
"2017-08-14",6
"2017-08-15",5
"2017-08-16",5
"2017-08-17",6
"2017-08-18",7
"2017-08-19",6
"2017-08-20",5
"2017-08-21",9
"2017-08-22",6
"2017-08-23",6
"2017-08-24",8
"2017-08-25",6
"2017-08-26",4
"2017-08-27",4
"2017-08-28",4
"2017-08-29",7
"2017-08-30",8
"2017-08-31",7
"2017-09-01",6
"2017-09-02",3
"2017-09-03",3
"2017-09-04",6
"2017-09-05",7
"2017-09-06",8
"2017-09-07",8
"2017-09-08",6
"2017-09-09",6
"2017-09-10",7
"2017-09-11",10
"2017-09-12",9
"2017-09-13",12
"2017-09-14",10
"2017-09-15",8
"2017-09-16",5
"2017-09-17",5
"2017-09-18",8
"2017-09-19",9
"2017-09-20",8
"2017-09-21",11
"2017-09-22",13
"2017-09-23",7
"2017-09-24",8
"2017-09-25",10
"2017-09-26",15
"2017-09-27",17
"2017-09-28",12
"2017-09-29",11
"2017-09-30",6
"2017-10-01",5
"2017-10-02",7
"2017-10-03",4
"2017-10-04",4
"2017-10-05",7
"2017-10-06",8
"2017-10-07",9
"2017-10-08",11
"2017-10-09",14
"2017-10-10",18
"2017-10-11",16
"2017-10-12",17
"2017-10-13",12
"2017-10-14",9
"2017-10-15",10
"2017-10-16",12
"2017-10-17",16
"2017-10-18",16
"2017-10-19",19
"2017-10-20",14
"2017-10-21",14
"2017-10-22",13
"2017-10-23",20
"2017-10-24",18
"2017-10-25",22
"2017-10-26",16
"2017-10-27",13
"2017-10-28",11
"2017-10-29",10
"2017-10-30",13
"2017-10-31",13
"2017-11-01",16
"2017-11-02",16
"2017-11-03",16
"2017-11-04",9
"2017-11-05",8
"2017-11-06",13
"2017-11-07",12
"2017-11-08",19
"2017-11-09",19
"2017-11-10",18
"2017-11-11",11
"2017-11-12",11
"2017-11-13",17
"2017-11-14",22
"2017-11-15",28
"2017-11-16",20
"2017-11-17",25
"2017-11-18",21
"2017-11-19",20
"2017-11-20",31
"2017-11-21",28
"2017-11-22",33
"2017-11-23",52
"2017-11-24",41
"2017-11-25",36
"2017-11-26",26
"2017-11-27",50
"2017-11-28",60
"2017-11-29",50
"2017-11-30",93
"2017-12-01",100
"2017-12-02",62
"2017-12-03",50
"2017-12-04",60
"2017-12-05",49
"2017-12-06",47
"2017-12-07",50
"2017-12-08",36
"2017-12-09",23
"2017-12-10",19
"2017-12-11",27
"2017-12-12",35
"2017-12-13",33
"2017-12-14",26
"2017-12-15",28
"2017-12-16",20
"2017-12-17",23
"2017-12-18",40
"2017-12-19",32
"2017-12-20",26
"2017-12-21",31
"2017-12-22",24
"2017-12-23",15
"2017-12-24",13
"2017-12-25",13
"2017-12-26",17
"2017-12-27",11
"2017-12-28",16
"2017-12-29",16
"2017-12-30",13
"2017-12-31",11
"2018-01-01",12
"2018-01-02",28
"2018-01-03",30
"2018-01-04",41
"2018-01-05",23
"2018-01-06",19
"2018-01-07",22
"2018-01-08",24
"2018-01-09",25
"2018-01-10",30
"2018-01-11",32
"2018-01-12",33
"2018-01-13",19
"2018-01-14",19
"2018-01-15",24
"2018-01-16",30
"2018-01-17",32
"2018-01-18",52
"2018-01-19",26
"2018-01-20",18
"2018-01-21",19
"2018-01-22",19
"2018-01-23",25
"2018-01-24",25
"2018-01-25",26
"2018-01-26",19
"2018-01-27",12
"2018-01-28",14
"2018-01-29",24
"2018-01-30",33
"2018-01-31",27
"2018-02-01",25
"2018-02-02",21
"2018-02-03",13
"2018-02-04",18
"2018-02-05",20
"2018-02-06",24
"2018-02-07",16
"2018-02-08",18
"2018-02-09",16
"2018-02-10",15
"2018-02-11",14
"2018-02-12",22
"2018-02-13",17
"2018-02-14",10
"2018-02-15",7
"2018-02-16",7
"2018-02-17",12
"2018-02-18",16
"2018-02-19",21
"2018-02-20",21
"2018-02-21",18
"2018-02-22",19
"2018-02-23",21
"2018-02-24",13
"2018-02-25",18
"2018-02-26",22
"2018-02-27",25
"2018-02-28",27
"2018-03-01",18
"2018-03-02",18
"2018-03-03",21
"2018-03-04",20
"2018-03-05",31
"2018-03-06",21
"2018-03-07",22
"2018-03-08",24
"2018-03-09",16
"2018-03-10",16
"2018-03-11",16
"2018-03-12",15
"2018-03-13",20
"2018-03-14",22
"2018-03-15",20
"2018-03-16",15
"2018-03-17",11
"2018-03-18",18
"2018-03-19",17
"2018-03-20",17
"2018-03-21",22
"2018-03-22",17
"2018-03-23",14
"2018-03-24",12
"2018-03-25",19
"2018-03-26",21
"2018-03-27",23
"2018-03-28",20
"2018-03-29",20
"2018-03-30",17
"2018-03-31",14
"2018-04-01",12
"2018-04-02",15
"2018-04-03",19
"2018-04-04",19
"2018-04-05",18
"2018-04-06",16
"2018-04-07",12
"2018-04-08",12
"2018-04-09",16
"2018-04-10",30
"2018-04-11",28
"2018-04-12",22
"2018-04-13",25
"2018-04-14",20
"2018-04-15",20
"2018-04-16",26
"2018-04-17",22
"2018-04-18",40
"2018-04-19",30
