네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","미니멜리사"
"2017-08-01",18
"2017-08-02",26
"2017-08-03",19
"2017-08-04",16
"2017-08-05",17
"2017-08-06",17
"2017-08-07",15
"2017-08-08",19
"2017-08-09",20
"2017-08-10",19
"2017-08-11",18
"2017-08-12",20
"2017-08-13",18
"2017-08-14",23
"2017-08-15",20
"2017-08-16",27
"2017-08-17",28
"2017-08-18",24
"2017-08-19",27
"2017-08-20",27
"2017-08-21",25
"2017-08-22",28
"2017-08-23",30
"2017-08-24",26
"2017-08-25",20
"2017-08-26",20
"2017-08-27",28
"2017-08-28",25
"2017-08-29",28
"2017-08-30",37
"2017-08-31",35
"2017-09-01",30
"2017-09-02",27
"2017-09-03",28
"2017-09-04",35
"2017-09-05",31
"2017-09-06",27
"2017-09-07",28
"2017-09-08",30
"2017-09-09",29
"2017-09-10",32
"2017-09-11",31
"2017-09-12",32
"2017-09-13",34
"2017-09-14",35
"2017-09-15",26
"2017-09-16",26
"2017-09-17",27
"2017-09-18",34
"2017-09-19",35
"2017-09-20",35
"2017-09-21",44
"2017-09-22",30
"2017-09-23",25
"2017-09-24",27
"2017-09-25",34
"2017-09-26",31
"2017-09-27",31
"2017-09-28",23
"2017-09-29",19
"2017-09-30",19
"2017-10-01",18
"2017-10-02",14
"2017-10-03",13
"2017-10-04",12
"2017-10-05",12
"2017-10-06",19
"2017-10-07",16
"2017-10-08",17
"2017-10-09",23
"2017-10-10",22
"2017-10-11",19
"2017-10-12",17
"2017-10-13",15
"2017-10-14",12
"2017-10-15",12
"2017-10-16",12
"2017-10-17",14
"2017-10-18",11
"2017-10-19",11
"2017-10-20",9
"2017-10-21",11
"2017-10-22",11
"2017-10-23",10
"2017-10-24",10
"2017-10-25",13
"2017-10-26",13
"2017-10-27",9
"2017-10-28",9
"2017-10-29",12
"2017-10-30",10
"2017-10-31",9
"2017-11-01",8
"2017-11-02",8
"2017-11-03",7
"2017-11-04",8
"2017-11-05",8
"2017-11-06",8
"2017-11-07",8
"2017-11-08",9
"2017-11-09",7
"2017-11-10",7
"2017-11-11",6
"2017-11-12",6
"2017-11-13",5
"2017-11-14",7
"2017-11-15",6
"2017-11-16",5
"2017-11-17",5
"2017-11-18",4
"2017-11-19",4
"2017-11-20",4
"2017-11-21",4
"2017-11-22",4
"2017-11-23",5
"2017-11-24",7
"2017-11-25",4
"2017-11-26",4
"2017-11-27",5
"2017-11-28",6
"2017-11-29",6
"2017-11-30",7
"2017-12-01",8
"2017-12-02",8
"2017-12-03",6
"2017-12-04",7
"2017-12-05",5
"2017-12-06",4
"2017-12-07",5
"2017-12-08",6
"2017-12-09",3
"2017-12-10",4
"2017-12-11",5
"2017-12-12",4
"2017-12-13",6
"2017-12-14",5
"2017-12-15",4
"2017-12-16",4
"2017-12-17",5
"2017-12-18",4
"2017-12-19",6
"2017-12-20",4
"2017-12-21",6
"2017-12-22",5
"2017-12-23",6
"2017-12-24",8
"2017-12-25",8
"2017-12-26",7
"2017-12-27",6
"2017-12-28",8
"2017-12-29",7
"2017-12-30",7
"2017-12-31",7
"2018-01-01",8
"2018-01-02",10
"2018-01-03",10
"2018-01-04",9
"2018-01-05",8
"2018-01-06",9
"2018-01-07",7
"2018-01-08",7
"2018-01-09",11
"2018-01-10",9
"2018-01-11",10
"2018-01-12",12
"2018-01-13",9
"2018-01-14",13
"2018-01-15",24
"2018-01-16",18
"2018-01-17",20
"2018-01-18",21
"2018-01-19",21
"2018-01-20",20
"2018-01-21",23
"2018-01-22",23
"2018-01-23",19
"2018-01-24",17
"2018-01-25",19
"2018-01-26",14
"2018-01-27",12
"2018-01-28",15
"2018-01-29",20
"2018-01-30",17
"2018-01-31",19
"2018-02-01",15
"2018-02-02",18
"2018-02-03",17
"2018-02-04",21
"2018-02-05",23
"2018-02-06",21
"2018-02-07",26
"2018-02-08",34
"2018-02-09",24
"2018-02-10",22
"2018-02-11",25
"2018-02-12",27
"2018-02-13",21
"2018-02-14",18
"2018-02-15",16
"2018-02-16",15
"2018-02-17",25
"2018-02-18",29
"2018-02-19",37
"2018-02-20",34
"2018-02-21",34
"2018-02-22",28
"2018-02-23",25
"2018-02-24",25
"2018-02-25",34
"2018-02-26",37
"2018-02-27",47
"2018-02-28",34
"2018-03-01",32
"2018-03-02",36
"2018-03-03",42
"2018-03-04",49
"2018-03-05",40
"2018-03-06",44
"2018-03-07",47
"2018-03-08",44
"2018-03-09",44
"2018-03-10",58
"2018-03-11",54
"2018-03-12",51
"2018-03-13",57
"2018-03-14",69
"2018-03-15",66
"2018-03-16",59
"2018-03-17",50
"2018-03-18",59
"2018-03-19",50
"2018-03-20",46
"2018-03-21",46
"2018-03-22",44
"2018-03-23",51
"2018-03-24",56
"2018-03-25",56
"2018-03-26",60
"2018-03-27",64
"2018-03-28",69
"2018-03-29",73
"2018-03-30",69
"2018-03-31",69
"2018-04-01",83
"2018-04-02",88
"2018-04-03",93
"2018-04-04",100
"2018-04-05",73
"2018-04-06",51
"2018-04-07",52
"2018-04-08",54
"2018-04-09",58
"2018-04-10",73
"2018-04-11",75
"2018-04-12",60
"2018-04-13",60
"2018-04-14",54
"2018-04-15",53
"2018-04-16",68
"2018-04-17",70
"2018-04-18",84
"2018-04-19",70
