네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","백일상대여"
"2017-08-01",40
"2017-08-02",45
"2017-08-03",40
"2017-08-04",36
"2017-08-05",28
"2017-08-06",37
"2017-08-07",49
"2017-08-08",52
"2017-08-09",49
"2017-08-10",43
"2017-08-11",37
"2017-08-12",35
"2017-08-13",42
"2017-08-14",48
"2017-08-15",40
"2017-08-16",48
"2017-08-17",41
"2017-08-18",38
"2017-08-19",31
"2017-08-20",39
"2017-08-21",55
"2017-08-22",50
"2017-08-23",47
"2017-08-24",41
"2017-08-25",35
"2017-08-26",33
"2017-08-27",36
"2017-08-28",43
"2017-08-29",43
"2017-08-30",40
"2017-08-31",50
"2017-09-01",38
"2017-09-02",36
"2017-09-03",44
"2017-09-04",61
"2017-09-05",53
"2017-09-06",52
"2017-09-07",56
"2017-09-08",47
"2017-09-09",43
"2017-09-10",48
"2017-09-11",71
"2017-09-12",59
"2017-09-13",64
"2017-09-14",57
"2017-09-15",59
"2017-09-16",38
"2017-09-17",46
"2017-09-18",63
"2017-09-19",60
"2017-09-20",56
"2017-09-21",45
"2017-09-22",43
"2017-09-23",38
"2017-09-24",45
"2017-09-25",55
"2017-09-26",39
"2017-09-27",45
"2017-09-28",39
"2017-09-29",29
"2017-09-30",27
"2017-10-01",27
"2017-10-02",23
"2017-10-03",24
"2017-10-04",23
"2017-10-05",36
"2017-10-06",50
"2017-10-07",40
"2017-10-08",52
"2017-10-09",60
"2017-10-10",80
"2017-10-11",62
"2017-10-12",65
"2017-10-13",54
"2017-10-14",38
"2017-10-15",45
"2017-10-16",69
"2017-10-17",64
"2017-10-18",57
"2017-10-19",48
"2017-10-20",44
"2017-10-21",41
"2017-10-22",59
"2017-10-23",61
"2017-10-24",49
"2017-10-25",53
"2017-10-26",60
"2017-10-27",41
"2017-10-28",34
"2017-10-29",44
"2017-10-30",58
"2017-10-31",55
"2017-11-01",58
"2017-11-02",65
"2017-11-03",55
"2017-11-04",46
"2017-11-05",51
"2017-11-06",81
"2017-11-07",74
"2017-11-08",54
"2017-11-09",51
"2017-11-10",50
"2017-11-11",39
"2017-11-12",48
"2017-11-13",59
"2017-11-14",61
"2017-11-15",54
"2017-11-16",55
"2017-11-17",43
"2017-11-18",41
"2017-11-19",47
"2017-11-20",69
"2017-11-21",68
"2017-11-22",55
"2017-11-23",54
"2017-11-24",49
"2017-11-25",37
"2017-11-26",48
"2017-11-27",64
"2017-11-28",55
"2017-11-29",54
"2017-11-30",54
"2017-12-01",55
"2017-12-02",54
"2017-12-03",61
"2017-12-04",84
"2017-12-05",82
"2017-12-06",72
"2017-12-07",67
"2017-12-08",65
"2017-12-09",51
"2017-12-10",67
"2017-12-11",79
"2017-12-12",85
"2017-12-13",74
"2017-12-14",58
"2017-12-15",68
"2017-12-16",48
"2017-12-17",61
"2017-12-18",72
"2017-12-19",71
"2017-12-20",60
"2017-12-21",52
"2017-12-22",51
"2017-12-23",42
"2017-12-24",39
"2017-12-25",58
"2017-12-26",66
"2017-12-27",64
"2017-12-28",70
"2017-12-29",54
"2017-12-30",43
"2017-12-31",42
"2018-01-01",54
"2018-01-02",84
"2018-01-03",82
"2018-01-04",91
"2018-01-05",69
"2018-01-06",64
"2018-01-07",72
"2018-01-08",100
"2018-01-09",94
"2018-01-10",78
"2018-01-11",77
"2018-01-12",67
"2018-01-13",53
"2018-01-14",69
"2018-01-15",91
"2018-01-16",85
"2018-01-17",70
"2018-01-18",66
"2018-01-19",58
"2018-01-20",54
"2018-01-21",62
"2018-01-22",85
"2018-01-23",75
"2018-01-24",71
"2018-01-25",59
"2018-01-26",56
"2018-01-27",49
"2018-01-28",53
"2018-01-29",83
"2018-01-30",73
"2018-01-31",60
"2018-02-01",60
"2018-02-02",47
"2018-02-03",39
"2018-02-04",47
"2018-02-05",63
"2018-02-06",53
"2018-02-07",53
"2018-02-08",40
"2018-02-09",35
"2018-02-10",33
"2018-02-11",29
"2018-02-12",46
"2018-02-13",40
"2018-02-14",30
"2018-02-15",24
"2018-02-16",28
"2018-02-17",50
"2018-02-18",63
"2018-02-19",96
"2018-02-20",81
"2018-02-21",80
"2018-02-22",70
"2018-02-23",63
"2018-02-24",55
"2018-02-25",55
"2018-02-26",72
"2018-02-27",75
"2018-02-28",67
"2018-03-01",56
"2018-03-02",70
"2018-03-03",58
"2018-03-04",72
"2018-03-05",92
"2018-03-06",83
"2018-03-07",74
"2018-03-08",81
"2018-03-09",62
"2018-03-10",54
"2018-03-11",67
"2018-03-12",83
"2018-03-13",79
"2018-03-14",78
"2018-03-15",75
"2018-03-16",60
"2018-03-17",57
"2018-03-18",63
"2018-03-19",79
"2018-03-20",76
"2018-03-21",64
"2018-03-22",51
"2018-03-23",41
"2018-03-24",39
"2018-03-25",58
"2018-03-26",67
"2018-03-27",60
"2018-03-28",49
"2018-03-29",48
"2018-03-30",52
"2018-03-31",40
"2018-04-01",50
"2018-04-02",70
"2018-04-03",57
"2018-04-04",67
"2018-04-05",58
"2018-04-06",51
"2018-04-07",44
"2018-04-08",57
"2018-04-09",71
"2018-04-10",63
"2018-04-11",62
"2018-04-12",54
"2018-04-13",43
"2018-04-14",46
"2018-04-15",53
"2018-04-16",65
"2018-04-17",69
"2018-04-18",68
"2018-04-19",62
