네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","슬라임"
"2017-08-01",26
"2017-08-02",28
"2017-08-03",34
"2017-08-04",28
"2017-08-05",36
"2017-08-06",79
"2017-08-07",54
"2017-08-08",35
"2017-08-09",36
"2017-08-10",22
"2017-08-11",16
"2017-08-12",18
"2017-08-13",21
"2017-08-14",21
"2017-08-15",28
"2017-08-16",29
"2017-08-17",27
"2017-08-18",27
"2017-08-19",21
"2017-08-20",32
"2017-08-21",35
"2017-08-22",25
"2017-08-23",42
"2017-08-24",36
"2017-08-25",37
"2017-08-26",30
"2017-08-27",34
"2017-08-28",24
"2017-08-29",31
"2017-08-30",28
"2017-08-31",30
"2017-09-01",29
"2017-09-02",36
"2017-09-03",43
"2017-09-04",40
"2017-09-05",34
"2017-09-06",37
"2017-09-07",40
"2017-09-08",49
"2017-09-09",56
"2017-09-10",56
"2017-09-11",40
"2017-09-12",49
"2017-09-13",55
"2017-09-14",46
"2017-09-15",46
"2017-09-16",65
"2017-09-17",70
"2017-09-18",43
"2017-09-19",42
"2017-09-20",41
"2017-09-21",29
"2017-09-22",30
"2017-09-23",28
"2017-09-24",31
"2017-09-25",32
"2017-09-26",36
"2017-09-27",37
"2017-09-28",31
"2017-09-29",30
"2017-09-30",39
"2017-10-01",47
"2017-10-02",51
"2017-10-03",40
"2017-10-04",40
"2017-10-05",39
"2017-10-06",43
"2017-10-07",36
"2017-10-08",42
"2017-10-09",45
"2017-10-10",40
"2017-10-11",47
"2017-10-12",51
"2017-10-13",49
"2017-10-14",55
"2017-10-15",65
"2017-10-16",50
"2017-10-17",55
"2017-10-18",52
"2017-10-19",50
"2017-10-20",50
"2017-10-21",63
"2017-10-22",65
"2017-10-23",66
"2017-10-24",51
"2017-10-25",46
"2017-10-26",45
"2017-10-27",36
"2017-10-28",42
"2017-10-29",51
"2017-10-30",36
"2017-10-31",34
"2017-11-01",49
"2017-11-02",40
"2017-11-03",52
"2017-11-04",57
"2017-11-05",52
"2017-11-06",50
"2017-11-07",41
"2017-11-08",40
"2017-11-09",42
"2017-11-10",46
"2017-11-11",48
"2017-11-12",61
"2017-11-13",47
"2017-11-14",50
"2017-11-15",45
"2017-11-16",39
"2017-11-17",34
"2017-11-18",53
"2017-11-19",52
"2017-11-20",37
"2017-11-21",37
"2017-11-22",38
"2017-11-23",44
"2017-11-24",33
"2017-11-25",56
"2017-11-26",51
"2017-11-27",35
"2017-11-28",41
"2017-11-29",31
"2017-11-30",34
"2017-12-01",53
"2017-12-02",55
"2017-12-03",69
"2017-12-04",62
"2017-12-05",40
"2017-12-06",37
"2017-12-07",42
"2017-12-08",38
"2017-12-09",48
"2017-12-10",53
"2017-12-11",35
"2017-12-12",38
"2017-12-13",40
"2017-12-14",34
"2017-12-15",36
"2017-12-16",49
"2017-12-17",52
"2017-12-18",42
"2017-12-19",45
"2017-12-20",50
"2017-12-21",57
"2017-12-22",44
"2017-12-23",59
"2017-12-24",52
"2017-12-25",66
"2017-12-26",61
"2017-12-27",49
"2017-12-28",49
"2017-12-29",46
"2017-12-30",64
"2017-12-31",51
"2018-01-01",70
"2018-01-02",58
"2018-01-03",52
"2018-01-04",53
"2018-01-05",50
"2018-01-06",53
"2018-01-07",67
"2018-01-08",52
"2018-01-09",53
"2018-01-10",68
"2018-01-11",62
"2018-01-12",46
"2018-01-13",66
"2018-01-14",69
"2018-01-15",71
"2018-01-16",82
"2018-01-17",81
"2018-01-18",68
"2018-01-19",67
"2018-01-20",73
"2018-01-21",77
"2018-01-22",71
"2018-01-23",63
"2018-01-24",59
"2018-01-25",60
"2018-01-26",52
"2018-01-27",56
"2018-01-28",67
"2018-01-29",50
"2018-01-30",52
"2018-01-31",47
"2018-02-01",58
"2018-02-02",50
"2018-02-03",71
"2018-02-04",62
"2018-02-05",49
"2018-02-06",54
"2018-02-07",51
"2018-02-08",48
"2018-02-09",46
"2018-02-10",67
"2018-02-11",86
"2018-02-12",54
"2018-02-13",43
"2018-02-14",49
"2018-02-15",79
"2018-02-16",100
"2018-02-17",84
"2018-02-18",69
"2018-02-19",64
"2018-02-20",49
"2018-02-21",43
"2018-02-22",47
"2018-02-23",40
"2018-02-24",48
"2018-02-25",52
"2018-02-26",47
"2018-02-27",47
"2018-02-28",43
"2018-03-01",54
"2018-03-02",35
"2018-03-03",42
"2018-03-04",58
"2018-03-05",36
"2018-03-06",33
"2018-03-07",33
"2018-03-08",34
"2018-03-09",38
"2018-03-10",55
"2018-03-11",58
"2018-03-12",39
"2018-03-13",43
"2018-03-14",36
"2018-03-15",41
"2018-03-16",44
"2018-03-17",74
"2018-03-18",88
"2018-03-19",55
"2018-03-20",41
"2018-03-21",49
"2018-03-22",46
"2018-03-23",46
"2018-03-24",70
"2018-03-25",80
"2018-03-26",42
"2018-03-27",43
"2018-03-28",39
"2018-03-29",39
"2018-03-30",44
"2018-03-31",61
"2018-04-01",71
"2018-04-02",48
"2018-04-03",35
"2018-04-04",43
"2018-04-05",47
"2018-04-06",40
"2018-04-07",58
"2018-04-08",70
"2018-04-09",42
"2018-04-10",42
"2018-04-11",52
"2018-04-12",49
"2018-04-13",49
"2018-04-14",79
"2018-04-15",86
"2018-04-16",50
"2018-04-17",44
"2018-04-18",45
"2018-04-19",44
