네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","어린이집낮잠이불"
"2017-08-01",3
"2017-08-02",3
"2017-08-03",3
"2017-08-04",2
"2017-08-05",1
"2017-08-06",1
"2017-08-07",5
"2017-08-08",5
"2017-08-09",6
"2017-08-10",3
"2017-08-11",3
"2017-08-12",3
"2017-08-13",2
"2017-08-14",4
"2017-08-15",4
"2017-08-16",5
"2017-08-17",5
"2017-08-18",4
"2017-08-19",4
"2017-08-20",4
"2017-08-21",7
"2017-08-22",6
"2017-08-23",5
"2017-08-24",6
"2017-08-25",6
"2017-08-26",4
"2017-08-27",4
"2017-08-28",6
"2017-08-29",7
"2017-08-30",7
"2017-08-31",6
"2017-09-01",7
"2017-09-02",5
"2017-09-03",5
"2017-09-04",8
"2017-09-05",8
"2017-09-06",7
"2017-09-07",6
"2017-09-08",6
"2017-09-09",3
"2017-09-10",4
"2017-09-11",8
"2017-09-12",7
"2017-09-13",5
"2017-09-14",5
"2017-09-15",6
"2017-09-16",5
"2017-09-17",6
"2017-09-18",7
"2017-09-19",6
"2017-09-20",5
"2017-09-21",5
"2017-09-22",5
"2017-09-23",5
"2017-09-24",5
"2017-09-25",7
"2017-09-26",7
"2017-09-27",6
"2017-09-28",6
"2017-09-29",7
"2017-09-30",5
"2017-10-01",3
"2017-10-02",4
"2017-10-03",2
"2017-10-04",3
"2017-10-05",2
"2017-10-06",5
"2017-10-07",5
"2017-10-08",5
"2017-10-09",8
"2017-10-10",14
"2017-10-11",14
"2017-10-12",14
"2017-10-13",11
"2017-10-14",9
"2017-10-15",10
"2017-10-16",15
"2017-10-17",12
"2017-10-18",11
"2017-10-19",11
"2017-10-20",10
"2017-10-21",7
"2017-10-22",8
"2017-10-23",13
"2017-10-24",10
"2017-10-25",9
"2017-10-26",8
"2017-10-27",8
"2017-10-28",7
"2017-10-29",8
"2017-10-30",12
"2017-10-31",9
"2017-11-01",9
"2017-11-02",10
"2017-11-03",11
"2017-11-04",7
"2017-11-05",7
"2017-11-06",11
"2017-11-07",10
"2017-11-08",8
"2017-11-09",7
"2017-11-10",7
"2017-11-11",5
"2017-11-12",6
"2017-11-13",11
"2017-11-14",9
"2017-11-15",9
"2017-11-16",8
"2017-11-17",9
"2017-11-18",7
"2017-11-19",7
"2017-11-20",11
"2017-11-21",10
"2017-11-22",9
"2017-11-23",7
"2017-11-24",9
"2017-11-25",6
"2017-11-26",6
"2017-11-27",10
"2017-11-28",9
"2017-11-29",9
"2017-11-30",6
"2017-12-01",8
"2017-12-02",5
"2017-12-03",5
"2017-12-04",11
"2017-12-05",9
"2017-12-06",7
"2017-12-07",6
"2017-12-08",6
"2017-12-09",5
"2017-12-10",6
"2017-12-11",8
"2017-12-12",6
"2017-12-13",6
"2017-12-14",5
"2017-12-15",5
"2017-12-16",6
"2017-12-17",5
"2017-12-18",6
"2017-12-19",7
"2017-12-20",5
"2017-12-21",5
"2017-12-22",5
"2017-12-23",4
"2017-12-24",4
"2017-12-25",4
"2017-12-26",6
"2017-12-27",6
"2017-12-28",6
"2017-12-29",5
"2017-12-30",5
"2017-12-31",3
"2018-01-01",6
"2018-01-02",6
"2018-01-03",9
"2018-01-04",8
"2018-01-05",7
"2018-01-06",6
"2018-01-07",6
"2018-01-08",10
"2018-01-09",8
"2018-01-10",9
"2018-01-11",9
"2018-01-12",8
"2018-01-13",6
"2018-01-14",7
"2018-01-15",11
"2018-01-16",10
"2018-01-17",10
"2018-01-18",8
"2018-01-19",9
"2018-01-20",7
"2018-01-21",10
"2018-01-22",13
"2018-01-23",13
"2018-01-24",12
"2018-01-25",14
"2018-01-26",12
"2018-01-27",11
"2018-01-28",13
"2018-01-29",16
"2018-01-30",15
"2018-01-31",20
"2018-02-01",22
"2018-02-02",22
"2018-02-03",20
"2018-02-04",18
"2018-02-05",30
"2018-02-06",28
"2018-02-07",26
"2018-02-08",32
"2018-02-09",28
"2018-02-10",38
"2018-02-11",34
"2018-02-12",34
"2018-02-13",28
"2018-02-14",21
"2018-02-15",16
"2018-02-16",12
"2018-02-17",16
"2018-02-18",29
"2018-02-19",46
"2018-02-20",49
"2018-02-21",49
"2018-02-22",55
"2018-02-23",56
"2018-02-24",68
"2018-02-25",71
"2018-02-26",100
"2018-02-27",89
"2018-02-28",77
"2018-03-01",68
"2018-03-02",80
"2018-03-03",56
"2018-03-04",53
"2018-03-05",78
"2018-03-06",66
"2018-03-07",54
"2018-03-08",44
"2018-03-09",32
"2018-03-10",18
"2018-03-11",22
"2018-03-12",38
"2018-03-13",30
"2018-03-14",27
"2018-03-15",24
"2018-03-16",22
"2018-03-17",13
"2018-03-18",16
"2018-03-19",25
"2018-03-20",23
"2018-03-21",22
"2018-03-22",17
"2018-03-23",15
"2018-03-24",10
"2018-03-25",10
"2018-03-26",15
"2018-03-27",14
"2018-03-28",12
"2018-03-29",12
"2018-03-30",12
"2018-03-31",10
"2018-04-01",10
"2018-04-02",19
"2018-04-03",13
"2018-04-04",13
"2018-04-05",10
"2018-04-06",10
"2018-04-07",7
"2018-04-08",9
"2018-04-09",12
"2018-04-10",9
"2018-04-11",8
"2018-04-12",8
"2018-04-13",8
"2018-04-14",7
"2018-04-15",6
"2018-04-16",12
"2018-04-17",10
"2018-04-18",9
"2018-04-19",7
