네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","레고듀플로"
"2017-08-01",15
"2017-08-02",13
"2017-08-03",12
"2017-08-04",12
"2017-08-05",12
"2017-08-06",11
"2017-08-07",13
"2017-08-08",12
"2017-08-09",18
"2017-08-10",14
"2017-08-11",14
"2017-08-12",11
"2017-08-13",13
"2017-08-14",14
"2017-08-15",20
"2017-08-16",13
"2017-08-17",17
"2017-08-18",13
"2017-08-19",13
"2017-08-20",17
"2017-08-21",13
"2017-08-22",11
"2017-08-23",14
"2017-08-24",15
"2017-08-25",14
"2017-08-26",12
"2017-08-27",15
"2017-08-28",12
"2017-08-29",15
"2017-08-30",11
"2017-08-31",13
"2017-09-01",11
"2017-09-02",12
"2017-09-03",11
"2017-09-04",12
"2017-09-05",10
"2017-09-06",13
"2017-09-07",13
"2017-09-08",12
"2017-09-09",10
"2017-09-10",12
"2017-09-11",14
"2017-09-12",12
"2017-09-13",12
"2017-09-14",12
"2017-09-15",10
"2017-09-16",13
"2017-09-17",15
"2017-09-18",14
"2017-09-19",13
"2017-09-20",13
"2017-09-21",11
"2017-09-22",12
"2017-09-23",12
"2017-09-24",16
"2017-09-25",21
"2017-09-26",22
"2017-09-27",20
"2017-09-28",17
"2017-09-29",11
"2017-09-30",12
"2017-10-01",15
"2017-10-02",14
"2017-10-03",11
"2017-10-04",12
"2017-10-05",15
"2017-10-06",24
"2017-10-07",21
"2017-10-08",22
"2017-10-09",27
"2017-10-10",22
"2017-10-11",19
"2017-10-12",22
"2017-10-13",14
"2017-10-14",15
"2017-10-15",20
"2017-10-16",19
"2017-10-17",19
"2017-10-18",19
"2017-10-19",16
"2017-10-20",13
"2017-10-21",14
"2017-10-22",19
"2017-10-23",17
"2017-10-24",19
"2017-10-25",17
"2017-10-26",20
"2017-10-27",13
"2017-10-28",16
"2017-10-29",20
"2017-10-30",19
"2017-10-31",14
"2017-11-01",23
"2017-11-02",23
"2017-11-03",19
"2017-11-04",17
"2017-11-05",28
"2017-11-06",21
"2017-11-07",22
"2017-11-08",23
"2017-11-09",19
"2017-11-10",23
"2017-11-11",20
"2017-11-12",24
"2017-11-13",28
"2017-11-14",23
"2017-11-15",21
"2017-11-16",23
"2017-11-17",25
"2017-11-18",25
"2017-11-19",32
"2017-11-20",24
"2017-11-21",29
"2017-11-22",26
"2017-11-23",29
"2017-11-24",23
"2017-11-25",27
"2017-11-26",32
"2017-11-27",32
"2017-11-28",34
"2017-11-29",32
"2017-11-30",37
"2017-12-01",31
"2017-12-02",43
"2017-12-03",46
"2017-12-04",54
"2017-12-05",61
"2017-12-06",51
"2017-12-07",56
"2017-12-08",64
"2017-12-09",64
"2017-12-10",75
"2017-12-11",86
"2017-12-12",81
"2017-12-13",73
"2017-12-14",74
"2017-12-15",68
"2017-12-16",65
"2017-12-17",81
"2017-12-18",100
"2017-12-19",85
"2017-12-20",76
"2017-12-21",59
"2017-12-22",40
"2017-12-23",40
"2017-12-24",40
"2017-12-25",42
"2017-12-26",40
"2017-12-27",30
"2017-12-28",33
"2017-12-29",23
"2017-12-30",23
"2017-12-31",20
"2018-01-01",20
"2018-01-02",24
"2018-01-03",20
"2018-01-04",21
"2018-01-05",19
"2018-01-06",22
"2018-01-07",24
"2018-01-08",26
"2018-01-09",22
"2018-01-10",24
"2018-01-11",24
"2018-01-12",21
"2018-01-13",21
"2018-01-14",25
"2018-01-15",22
"2018-01-16",27
"2018-01-17",21
"2018-01-18",21
"2018-01-19",20
"2018-01-20",20
"2018-01-21",24
"2018-01-22",24
"2018-01-23",23
"2018-01-24",24
"2018-01-25",23
"2018-01-26",20
"2018-01-27",22
"2018-01-28",27
"2018-01-29",24
"2018-01-30",23
"2018-01-31",26
"2018-02-01",20
"2018-02-02",17
"2018-02-03",20
"2018-02-04",24
"2018-02-05",24
"2018-02-06",26
"2018-02-07",18
"2018-02-08",18
"2018-02-09",17
"2018-02-10",16
"2018-02-11",18
"2018-02-12",14
"2018-02-13",13
"2018-02-14",9
"2018-02-15",14
"2018-02-16",14
"2018-02-17",22
"2018-02-18",25
"2018-02-19",23
"2018-02-20",20
"2018-02-21",20
"2018-02-22",19
"2018-02-23",18
"2018-02-24",18
"2018-02-25",19
"2018-02-26",19
"2018-02-27",24
"2018-02-28",18
"2018-03-01",21
"2018-03-02",13
"2018-03-03",15
"2018-03-04",14
"2018-03-05",14
"2018-03-06",13
"2018-03-07",12
"2018-03-08",15
"2018-03-09",11
"2018-03-10",13
"2018-03-11",14
"2018-03-12",15
"2018-03-13",13
"2018-03-14",11
"2018-03-15",14
"2018-03-16",11
"2018-03-17",12
"2018-03-18",15
"2018-03-19",15
"2018-03-20",14
"2018-03-21",14
"2018-03-22",12
"2018-03-23",10
"2018-03-24",12
"2018-03-25",16
"2018-03-26",13
"2018-03-27",12
"2018-03-28",12
"2018-03-29",11
"2018-03-30",9
"2018-03-31",11
"2018-04-01",17
"2018-04-02",19
"2018-04-03",12
"2018-04-04",10
"2018-04-05",10
"2018-04-06",12
"2018-04-07",12
"2018-04-08",16
"2018-04-09",14
"2018-04-10",14
"2018-04-11",12
"2018-04-12",14
"2018-04-13",10
"2018-04-14",13
"2018-04-15",15
"2018-04-16",15
"2018-04-17",15
"2018-04-18",16
"2018-04-19",13
