네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","스프리건레퀴엠"
"2017-11-17",1
"2017-11-18",2
"2017-11-19",1
"2017-11-20",1
"2017-11-21",1
"2017-11-22",2
"2017-11-23",2
"2017-11-24",2
"2017-11-25",3
"2017-11-26",2
"2017-11-27",3
"2017-11-28",2
"2017-11-29",2
"2017-11-30",3
"2017-12-01",3
"2017-12-02",4
"2017-12-03",4
"2017-12-04",3
"2017-12-05",5
"2017-12-06",4
"2017-12-07",5
"2017-12-08",5
"2017-12-09",6
"2017-12-10",6
"2017-12-11",6
"2017-12-12",5
"2017-12-13",5
"2017-12-14",4
"2017-12-15",4
"2017-12-16",6
"2017-12-17",7
"2017-12-18",7
"2017-12-19",9
"2017-12-20",10
"2017-12-21",9
"2017-12-22",7
"2017-12-23",11
"2017-12-24",11
"2017-12-25",13
"2017-12-26",8
"2017-12-27",10
"2017-12-28",15
"2017-12-29",19
"2017-12-30",29
"2017-12-31",23
"2018-01-01",26
"2018-01-02",23
"2018-01-03",19
"2018-01-04",17
"2018-01-05",15
"2018-01-06",18
"2018-01-07",16
"2018-01-08",18
"2018-01-09",17
"2018-01-10",16
"2018-01-11",16
"2018-01-12",15
"2018-01-13",18
"2018-01-14",21
"2018-01-15",18
"2018-01-16",18
"2018-01-17",18
"2018-01-18",18
"2018-01-19",17
"2018-01-20",18
"2018-01-21",19
"2018-01-22",17
"2018-01-23",20
"2018-01-24",19
"2018-01-25",17
"2018-01-26",17
"2018-01-27",21
"2018-01-28",22
"2018-01-29",18
"2018-01-30",20
"2018-01-31",17
"2018-02-01",20
"2018-02-02",19
"2018-02-03",28
"2018-02-04",30
"2018-02-05",24
"2018-02-06",23
"2018-02-07",44
"2018-02-08",48
"2018-02-09",37
"2018-02-10",43
"2018-02-11",35
"2018-02-12",24
"2018-02-13",24
"2018-02-14",23
"2018-02-15",28
"2018-02-16",43
"2018-02-17",39
"2018-02-18",38
"2018-02-19",49
"2018-02-20",43
"2018-02-21",42
"2018-02-22",35
"2018-02-23",34
"2018-02-24",43
"2018-02-25",36
"2018-02-26",44
"2018-02-27",49
"2018-02-28",76
"2018-03-01",100
"2018-03-02",51
"2018-03-03",60
"2018-03-04",54
"2018-03-05",45
"2018-03-06",40
"2018-03-07",40
"2018-03-08",36
"2018-03-09",27
"2018-03-10",42
"2018-03-11",44
"2018-03-12",41
"2018-03-13",30
"2018-03-14",24
"2018-03-15",20
"2018-03-16",17
"2018-03-17",26
"2018-03-18",25
"2018-03-19",18
"2018-03-20",13
"2018-03-21",16
"2018-03-22",12
"2018-03-23",11
"2018-03-24",19
"2018-03-25",23
"2018-03-26",15
"2018-03-27",12
"2018-03-28",13
"2018-03-29",11
"2018-03-30",12
"2018-03-31",22
"2018-04-01",22
"2018-04-02",18
"2018-04-03",14
"2018-04-04",15
"2018-04-05",14
"2018-04-06",13
"2018-04-07",23
"2018-04-08",22
"2018-04-09",18
"2018-04-10",15
"2018-04-11",14
"2018-04-12",13
"2018-04-13",15
"2018-04-14",27
"2018-04-15",27
"2018-04-16",27
"2018-04-17",24
"2018-04-18",24
"2018-04-19",22
