네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","공룡메카드"
"2017-09-09",
"2017-11-15",
"2017-11-16",
"2017-11-17",
"2017-11-18",
"2017-11-19",
"2017-11-20",
"2017-11-21",
"2017-11-22",
"2017-11-23",
"2017-11-24",
"2017-11-25",1
"2017-11-26",
"2017-11-27",2
"2017-11-28",6
"2017-11-29",7
"2017-11-30",18
"2017-12-01",23
"2017-12-02",44
"2017-12-03",36
"2017-12-04",33
"2017-12-05",33
"2017-12-06",31
"2017-12-07",32
"2017-12-08",36
"2017-12-09",51
"2017-12-10",47
"2017-12-11",51
"2017-12-12",49
"2017-12-13",52
"2017-12-14",51
"2017-12-15",54
"2017-12-16",70
"2017-12-17",82
"2017-12-18",90
"2017-12-19",83
"2017-12-20",76
"2017-12-21",58
"2017-12-22",52
"2017-12-23",75
"2017-12-24",76
"2017-12-25",80
"2017-12-26",54
"2017-12-27",46
"2017-12-28",42
"2017-12-29",45
"2017-12-30",63
"2017-12-31",66
"2018-01-01",78
"2018-01-02",63
"2018-01-03",59
"2018-01-04",59
"2018-01-05",56
"2018-01-06",77
"2018-01-07",79
"2018-01-08",63
"2018-01-09",61
"2018-01-10",58
"2018-01-11",56
"2018-01-12",50
"2018-01-13",70
"2018-01-14",66
"2018-01-15",54
"2018-01-16",54
"2018-01-17",54
"2018-01-18",48
"2018-01-19",45
"2018-01-20",65
"2018-01-21",69
"2018-01-22",53
"2018-01-23",54
"2018-01-24",50
"2018-01-25",43
"2018-01-26",41
"2018-01-27",55
"2018-01-28",61
"2018-01-29",57
"2018-01-30",52
"2018-01-31",51
"2018-02-01",52
"2018-02-02",44
"2018-02-03",58
"2018-02-04",65
"2018-02-05",57
"2018-02-06",54
"2018-02-07",49
"2018-02-08",50
"2018-02-09",46
"2018-02-10",60
"2018-02-11",60
"2018-02-12",44
"2018-02-13",38
"2018-02-14",40
"2018-02-15",61
"2018-02-16",82
"2018-02-17",98
"2018-02-18",100
"2018-02-19",65
"2018-02-20",52
"2018-02-21",52
"2018-02-22",48
"2018-02-23",43
"2018-02-24",61
"2018-02-25",56
"2018-02-26",52
"2018-02-27",47
"2018-02-28",47
"2018-03-01",57
"2018-03-02",43
"2018-03-03",52
"2018-03-04",55
"2018-03-05",39
"2018-03-06",35
"2018-03-07",35
"2018-03-08",35
"2018-03-09",32
"2018-03-10",45
"2018-03-11",44
"2018-03-12",37
"2018-03-13",31
"2018-03-14",29
"2018-03-15",29
"2018-03-16",26
"2018-03-17",42
"2018-03-18",44
"2018-03-19",31
"2018-03-20",29
"2018-03-21",29
"2018-03-22",28
"2018-03-23",26
"2018-03-24",44
"2018-03-25",43
"2018-03-26",30
"2018-03-27",28
"2018-03-28",27
"2018-03-29",25
"2018-03-30",24
"2018-03-31",38
"2018-04-01",40
"2018-04-02",30
"2018-04-03",27
"2018-04-04",28
"2018-04-05",29
"2018-04-06",25
"2018-04-07",44
"2018-04-08",44
"2018-04-09",29
"2018-04-10",29
"2018-04-11",29
"2018-04-12",29
"2018-04-13",26
"2018-04-14",37
"2018-04-15",34
"2018-04-16",33
"2018-04-17",31
"2018-04-18",32
"2018-04-19",32
