네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","주니어카시트"
"2017-08-01",31
"2017-08-02",37
"2017-08-03",32
"2017-08-04",32
"2017-08-05",39
"2017-08-06",43
"2017-08-07",40
"2017-08-08",36
"2017-08-09",33
"2017-08-10",28
"2017-08-11",30
"2017-08-12",35
"2017-08-13",37
"2017-08-14",39
"2017-08-15",47
"2017-08-16",39
"2017-08-17",33
"2017-08-18",27
"2017-08-19",29
"2017-08-20",47
"2017-08-21",32
"2017-08-22",33
"2017-08-23",30
"2017-08-24",26
"2017-08-25",23
"2017-08-26",23
"2017-08-27",36
"2017-08-28",30
"2017-08-29",31
"2017-08-30",27
"2017-08-31",25
"2017-09-01",23
"2017-09-02",23
"2017-09-03",32
"2017-09-04",30
"2017-09-05",25
"2017-09-06",27
"2017-09-07",30
"2017-09-08",20
"2017-09-09",28
"2017-09-10",36
"2017-09-11",47
"2017-09-12",35
"2017-09-13",31
"2017-09-14",29
"2017-09-15",27
"2017-09-16",37
"2017-09-17",42
"2017-09-18",30
"2017-09-19",32
"2017-09-20",28
"2017-09-21",29
"2017-09-22",22
"2017-09-23",25
"2017-09-24",40
"2017-09-25",42
"2017-09-26",42
"2017-09-27",33
"2017-09-28",27
"2017-09-29",23
"2017-09-30",24
"2017-10-01",36
"2017-10-02",39
"2017-10-03",36
"2017-10-04",35
"2017-10-05",42
"2017-10-06",49
"2017-10-07",50
"2017-10-08",57
"2017-10-09",60
"2017-10-10",49
"2017-10-11",31
"2017-10-12",32
"2017-10-13",32
"2017-10-14",32
"2017-10-15",43
"2017-10-16",37
"2017-10-17",32
"2017-10-18",32
"2017-10-19",30
"2017-10-20",27
"2017-10-21",29
"2017-10-22",51
"2017-10-23",40
"2017-10-24",35
"2017-10-25",34
"2017-10-26",30
"2017-10-27",31
"2017-10-28",30
"2017-10-29",51
"2017-10-30",39
"2017-10-31",27
"2017-11-01",31
"2017-11-02",32
"2017-11-03",31
"2017-11-04",32
"2017-11-05",42
"2017-11-06",43
"2017-11-07",37
"2017-11-08",32
"2017-11-09",33
"2017-11-10",27
"2017-11-11",35
"2017-11-12",51
"2017-11-13",43
"2017-11-14",40
"2017-11-15",33
"2017-11-16",44
"2017-11-17",31
"2017-11-18",40
"2017-11-19",54
"2017-11-20",43
"2017-11-21",41
"2017-11-22",35
"2017-11-23",32
"2017-11-24",28
"2017-11-25",34
"2017-11-26",54
"2017-11-27",47
"2017-11-28",43
"2017-11-29",38
"2017-11-30",27
"2017-12-01",24
"2017-12-02",39
"2017-12-03",55
"2017-12-04",45
"2017-12-05",39
"2017-12-06",34
"2017-12-07",38
"2017-12-08",26
"2017-12-09",38
"2017-12-10",56
"2017-12-11",37
"2017-12-12",48
"2017-12-13",37
"2017-12-14",41
"2017-12-15",35
"2017-12-16",38
"2017-12-17",53
"2017-12-18",41
"2017-12-19",42
"2017-12-20",35
"2017-12-21",33
"2017-12-22",27
"2017-12-23",36
"2017-12-24",47
"2017-12-25",63
"2017-12-26",56
"2017-12-27",44
"2017-12-28",34
"2017-12-29",39
"2017-12-30",52
"2017-12-31",47
"2018-01-01",56
"2018-01-02",61
"2018-01-03",53
"2018-01-04",83
"2018-01-05",59
"2018-01-06",56
"2018-01-07",66
"2018-01-08",54
"2018-01-09",50
"2018-01-10",48
"2018-01-11",36
"2018-01-12",39
"2018-01-13",53
"2018-01-14",88
"2018-01-15",67
"2018-01-16",59
"2018-01-17",44
"2018-01-18",46
"2018-01-19",41
"2018-01-20",59
"2018-01-21",73
"2018-01-22",59
"2018-01-23",51
"2018-01-24",51
"2018-01-25",43
"2018-01-26",42
"2018-01-27",45
"2018-01-28",72
"2018-01-29",62
"2018-01-30",47
"2018-01-31",61
"2018-02-01",63
"2018-02-02",57
"2018-02-03",85
"2018-02-04",99
"2018-02-05",85
"2018-02-06",76
"2018-02-07",59
"2018-02-08",68
"2018-02-09",57
"2018-02-10",69
"2018-02-11",87
"2018-02-12",59
"2018-02-13",50
"2018-02-14",46
"2018-02-15",48
"2018-02-16",52
"2018-02-17",63
"2018-02-18",87
"2018-02-19",75
"2018-02-20",60
"2018-02-21",46
"2018-02-22",56
"2018-02-23",55
"2018-02-24",55
"2018-02-25",70
"2018-02-26",59
"2018-02-27",49
"2018-02-28",52
"2018-03-01",64
"2018-03-02",44
"2018-03-03",66
"2018-03-04",100
"2018-03-05",64
"2018-03-06",56
"2018-03-07",44
"2018-03-08",41
"2018-03-09",41
"2018-03-10",56
"2018-03-11",69
"2018-03-12",55
"2018-03-13",50
"2018-03-14",53
"2018-03-15",41
"2018-03-16",34
"2018-03-17",52
"2018-03-18",67
"2018-03-19",54
"2018-03-20",50
"2018-03-21",43
"2018-03-22",41
"2018-03-23",40
"2018-03-24",50
"2018-03-25",72
"2018-03-26",55
"2018-03-27",96
"2018-03-28",73
"2018-03-29",47
"2018-03-30",38
"2018-03-31",43
"2018-04-01",71
"2018-04-02",52
"2018-04-03",45
"2018-04-04",48
"2018-04-05",47
"2018-04-06",38
"2018-04-07",47
"2018-04-08",61
"2018-04-09",48
"2018-04-10",42
"2018-04-11",45
"2018-04-12",39
"2018-04-13",32
"2018-04-14",40
"2018-04-15",56
"2018-04-16",66
"2018-04-17",49
"2018-04-18",43
"2018-04-19",41
