네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","유아패딩"
"2017-08-01",
"2017-08-02",
"2017-08-03",1
"2017-08-04",1
"2017-08-05",
"2017-08-06",1
"2017-08-07",
"2017-08-08",1
"2017-08-09",1
"2017-08-10",
"2017-08-11",1
"2017-08-12",1
"2017-08-13",1
"2017-08-14",1
"2017-08-15",1
"2017-08-16",1
"2017-08-17",3
"2017-08-18",2
"2017-08-19",1
"2017-08-20",1
"2017-08-21",1
"2017-08-22",2
"2017-08-23",1
"2017-08-24",2
"2017-08-25",2
"2017-08-26",1
"2017-08-27",1
"2017-08-28",1
"2017-08-29",2
"2017-08-30",2
"2017-08-31",2
"2017-09-01",2
"2017-09-02",1
"2017-09-03",2
"2017-09-04",2
"2017-09-05",3
"2017-09-06",2
"2017-09-07",2
"2017-09-08",2
"2017-09-09",1
"2017-09-10",2
"2017-09-11",2
"2017-09-12",2
"2017-09-13",2
"2017-09-14",2
"2017-09-15",1
"2017-09-16",2
"2017-09-17",2
"2017-09-18",3
"2017-09-19",3
"2017-09-20",3
"2017-09-21",2
"2017-09-22",3
"2017-09-23",2
"2017-09-24",3
"2017-09-25",2
"2017-09-26",3
"2017-09-27",3
"2017-09-28",3
"2017-09-29",4
"2017-09-30",4
"2017-10-01",5
"2017-10-02",3
"2017-10-03",5
"2017-10-04",3
"2017-10-05",5
"2017-10-06",9
"2017-10-07",6
"2017-10-08",7
"2017-10-09",6
"2017-10-10",4
"2017-10-11",10
"2017-10-12",20
"2017-10-13",18
"2017-10-14",16
"2017-10-15",17
"2017-10-16",18
"2017-10-17",17
"2017-10-18",18
"2017-10-19",17
"2017-10-20",14
"2017-10-21",10
"2017-10-22",15
"2017-10-23",24
"2017-10-24",30
"2017-10-25",28
"2017-10-26",24
"2017-10-27",17
"2017-10-28",15
"2017-10-29",30
"2017-10-30",70
"2017-10-31",61
"2017-11-01",47
"2017-11-02",42
"2017-11-03",41
"2017-11-04",36
"2017-11-05",56
"2017-11-06",57
"2017-11-07",49
"2017-11-08",46
"2017-11-09",43
"2017-11-10",41
"2017-11-11",44
"2017-11-12",54
"2017-11-13",69
"2017-11-14",82
"2017-11-15",82
"2017-11-16",89
"2017-11-17",68
"2017-11-18",62
"2017-11-19",90
"2017-11-20",100
"2017-11-21",89
"2017-11-22",75
"2017-11-23",70
"2017-11-24",68
"2017-11-25",53
"2017-11-26",51
"2017-11-27",57
"2017-11-28",45
"2017-11-29",41
"2017-11-30",46
"2017-12-01",47
"2017-12-02",38
"2017-12-03",41
"2017-12-04",51
"2017-12-05",55
"2017-12-06",47
"2017-12-07",41
"2017-12-08",39
"2017-12-09",35
"2017-12-10",39
"2017-12-11",53
"2017-12-12",50
"2017-12-13",47
"2017-12-14",33
"2017-12-15",28
"2017-12-16",23
"2017-12-17",30
"2017-12-18",41
"2017-12-19",32
"2017-12-20",31
"2017-12-21",25
"2017-12-22",15
"2017-12-23",16
"2017-12-24",14
"2017-12-25",17
"2017-12-26",20
"2017-12-27",19
"2017-12-28",18
"2017-12-29",16
"2017-12-30",14
"2017-12-31",9
"2018-01-01",14
"2018-01-02",17
"2018-01-03",17
"2018-01-04",18
"2018-01-05",14
"2018-01-06",13
"2018-01-07",17
"2018-01-08",17
"2018-01-09",21
"2018-01-10",22
"2018-01-11",25
"2018-01-12",17
"2018-01-13",12
"2018-01-14",17
"2018-01-15",16
"2018-01-16",12
"2018-01-17",10
"2018-01-18",10
"2018-01-19",8
"2018-01-20",7
"2018-01-21",9
"2018-01-22",12
"2018-01-23",13
"2018-01-24",11
"2018-01-25",12
"2018-01-26",12
"2018-01-27",11
"2018-01-28",15
"2018-01-29",15
"2018-01-30",13
"2018-01-31",13
"2018-02-01",10
"2018-02-02",5
"2018-02-03",8
"2018-02-04",9
"2018-02-05",12
"2018-02-06",11
"2018-02-07",11
"2018-02-08",9
"2018-02-09",5
"2018-02-10",4
"2018-02-11",6
"2018-02-12",7
"2018-02-13",5
"2018-02-14",3
"2018-02-15",3
"2018-02-16",3
"2018-02-17",3
"2018-02-18",3
"2018-02-19",5
"2018-02-20",3
"2018-02-21",4
"2018-02-22",4
"2018-02-23",2
"2018-02-24",3
"2018-02-25",4
"2018-02-26",3
"2018-02-27",5
"2018-02-28",3
"2018-03-01",3
"2018-03-02",3
"2018-03-03",2
"2018-03-04",2
"2018-03-05",3
"2018-03-06",2
"2018-03-07",4
"2018-03-08",4
"2018-03-09",3
"2018-03-10",2
"2018-03-11",2
"2018-03-12",2
"2018-03-13",2
"2018-03-14",1
"2018-03-15",1
"2018-03-16",1
"2018-03-17",1
"2018-03-18",1
"2018-03-19",1
"2018-03-20",2
"2018-03-21",2
"2018-03-22",1
"2018-03-23",1
"2018-03-24",
"2018-03-25",1
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",1
"2018-03-30",
"2018-03-31",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",1
"2018-04-06",
"2018-04-07",1
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-17",
"2018-04-18",
"2018-04-19",
