네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","신생아우주복"
"2017-08-01",11
"2017-08-02",12
"2017-08-03",10
"2017-08-04",9
"2017-08-05",8
"2017-08-06",14
"2017-08-07",19
"2017-08-08",13
"2017-08-09",15
"2017-08-10",18
"2017-08-11",18
"2017-08-12",23
"2017-08-13",21
"2017-08-14",22
"2017-08-15",32
"2017-08-16",27
"2017-08-17",20
"2017-08-18",23
"2017-08-19",25
"2017-08-20",40
"2017-08-21",31
"2017-08-22",32
"2017-08-23",28
"2017-08-24",29
"2017-08-25",25
"2017-08-26",22
"2017-08-27",33
"2017-08-28",39
"2017-08-29",47
"2017-08-30",45
"2017-08-31",45
"2017-09-01",44
"2017-09-02",45
"2017-09-03",45
"2017-09-04",47
"2017-09-05",53
"2017-09-06",51
"2017-09-07",49
"2017-09-08",46
"2017-09-09",36
"2017-09-10",42
"2017-09-11",60
"2017-09-12",54
"2017-09-13",50
"2017-09-14",52
"2017-09-15",57
"2017-09-16",41
"2017-09-17",57
"2017-09-18",55
"2017-09-19",58
"2017-09-20",64
"2017-09-21",63
"2017-09-22",66
"2017-09-23",56
"2017-09-24",61
"2017-09-25",68
"2017-09-26",59
"2017-09-27",59
"2017-09-28",44
"2017-09-29",48
"2017-09-30",45
"2017-10-01",45
"2017-10-02",39
"2017-10-03",40
"2017-10-04",49
"2017-10-05",48
"2017-10-06",65
"2017-10-07",52
"2017-10-08",55
"2017-10-09",68
"2017-10-10",79
"2017-10-11",78
"2017-10-12",81
"2017-10-13",82
"2017-10-14",61
"2017-10-15",69
"2017-10-16",86
"2017-10-17",86
"2017-10-18",100
"2017-10-19",69
"2017-10-20",68
"2017-10-21",62
"2017-10-22",72
"2017-10-23",95
"2017-10-24",95
"2017-10-25",83
"2017-10-26",83
"2017-10-27",71
"2017-10-28",63
"2017-10-29",80
"2017-10-30",84
"2017-10-31",87
"2017-11-01",72
"2017-11-02",74
"2017-11-03",67
"2017-11-04",68
"2017-11-05",68
"2017-11-06",81
"2017-11-07",71
"2017-11-08",85
"2017-11-09",62
"2017-11-10",60
"2017-11-11",53
"2017-11-12",58
"2017-11-13",97
"2017-11-14",72
"2017-11-15",79
"2017-11-16",73
"2017-11-17",69
"2017-11-18",63
"2017-11-19",79
"2017-11-20",88
"2017-11-21",94
"2017-11-22",78
"2017-11-23",68
"2017-11-24",49
"2017-11-25",34
"2017-11-26",54
"2017-11-27",69
"2017-11-28",67
"2017-11-29",53
"2017-11-30",46
"2017-12-01",51
"2017-12-02",51
"2017-12-03",52
"2017-12-04",67
"2017-12-05",65
"2017-12-06",51
"2017-12-07",53
"2017-12-08",42
"2017-12-09",36
"2017-12-10",62
"2017-12-11",56
"2017-12-12",64
"2017-12-13",65
"2017-12-14",59
"2017-12-15",53
"2017-12-16",44
"2017-12-17",67
"2017-12-18",74
"2017-12-19",60
"2017-12-20",40
"2017-12-21",40
"2017-12-22",29
"2017-12-23",27
"2017-12-24",29
"2017-12-25",28
"2017-12-26",48
"2017-12-27",39
"2017-12-28",37
"2017-12-29",35
"2017-12-30",31
"2017-12-31",26
"2018-01-01",35
"2018-01-02",51
"2018-01-03",44
"2018-01-04",54
"2018-01-05",44
"2018-01-06",51
"2018-01-07",65
"2018-01-08",75
"2018-01-09",79
"2018-01-10",60
"2018-01-11",54
"2018-01-12",64
"2018-01-13",53
"2018-01-14",52
"2018-01-15",72
"2018-01-16",84
"2018-01-17",58
"2018-01-18",47
"2018-01-19",46
"2018-01-20",44
"2018-01-21",38
"2018-01-22",53
"2018-01-23",60
"2018-01-24",59
"2018-01-25",75
"2018-01-26",57
"2018-01-27",47
"2018-01-28",57
"2018-01-29",59
"2018-01-30",66
"2018-01-31",51
"2018-02-01",55
"2018-02-02",59
"2018-02-03",45
"2018-02-04",54
"2018-02-05",66
"2018-02-06",61
"2018-02-07",56
"2018-02-08",56
"2018-02-09",54
"2018-02-10",34
"2018-02-11",43
"2018-02-12",30
"2018-02-13",31
"2018-02-14",30
"2018-02-15",22
"2018-02-16",19
"2018-02-17",29
"2018-02-18",32
"2018-02-19",46
"2018-02-20",33
"2018-02-21",43
"2018-02-22",42
"2018-02-23",34
"2018-02-24",36
"2018-02-25",34
"2018-02-26",61
"2018-02-27",45
"2018-02-28",43
"2018-03-01",39
"2018-03-02",46
"2018-03-03",39
"2018-03-04",36
"2018-03-05",49
"2018-03-06",51
"2018-03-07",46
"2018-03-08",49
"2018-03-09",32
"2018-03-10",40
"2018-03-11",54
"2018-03-12",56
"2018-03-13",53
"2018-03-14",51
"2018-03-15",51
"2018-03-16",45
"2018-03-17",37
"2018-03-18",37
"2018-03-19",50
"2018-03-20",49
"2018-03-21",47
"2018-03-22",42
"2018-03-23",47
"2018-03-24",36
"2018-03-25",40
"2018-03-26",41
"2018-03-27",43
"2018-03-28",40
"2018-03-29",35
"2018-03-30",34
"2018-03-31",28
"2018-04-01",32
"2018-04-02",33
"2018-04-03",49
"2018-04-04",35
"2018-04-05",38
"2018-04-06",33
"2018-04-07",28
"2018-04-08",31
"2018-04-09",42
"2018-04-10",44
"2018-04-11",49
"2018-04-12",32
"2018-04-13",34
"2018-04-14",32
"2018-04-15",40
"2018-04-16",39
"2018-04-17",54
"2018-04-18",39
"2018-04-19",34
