네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","베이블레이드버스트"
"2017-08-01",58
"2017-08-02",64
"2017-08-03",58
"2017-08-04",58
"2017-08-05",84
"2017-08-06",92
"2017-08-07",71
"2017-08-08",61
"2017-08-09",68
"2017-08-10",58
"2017-08-11",54
"2017-08-12",60
"2017-08-13",68
"2017-08-14",67
"2017-08-15",71
"2017-08-16",53
"2017-08-17",47
"2017-08-18",53
"2017-08-19",72
"2017-08-20",75
"2017-08-21",63
"2017-08-22",61
"2017-08-23",56
"2017-08-24",52
"2017-08-25",49
"2017-08-26",78
"2017-08-27",81
"2017-08-28",52
"2017-08-29",56
"2017-08-30",57
"2017-08-31",57
"2017-09-01",56
"2017-09-02",85
"2017-09-03",95
"2017-09-04",56
"2017-09-05",56
"2017-09-06",49
"2017-09-07",50
"2017-09-08",48
"2017-09-09",85
"2017-09-10",100
"2017-09-11",62
"2017-09-12",61
"2017-09-13",63
"2017-09-14",56
"2017-09-15",53
"2017-09-16",84
"2017-09-17",71
"2017-09-18",57
"2017-09-19",45
"2017-09-20",50
"2017-09-21",49
"2017-09-22",37
"2017-09-23",68
"2017-09-24",67
"2017-09-25",59
"2017-09-26",63
"2017-09-27",58
"2017-09-28",52
"2017-09-29",54
"2017-09-30",73
"2017-10-01",83
"2017-10-02",66
"2017-10-03",56
"2017-10-04",76
"2017-10-05",75
"2017-10-06",67
"2017-10-07",56
"2017-10-08",52
"2017-10-09",56
"2017-10-10",48
"2017-10-11",41
"2017-10-12",31
"2017-10-13",33
"2017-10-14",52
"2017-10-15",52
"2017-10-16",32
"2017-10-17",38
"2017-10-18",29
"2017-10-19",34
"2017-10-20",22
"2017-10-21",37
"2017-10-22",39
"2017-10-23",22
"2017-10-24",20
"2017-10-25",24
"2017-10-26",20
"2017-10-27",24
"2017-10-28",41
"2017-10-29",50
"2017-10-30",34
"2017-10-31",32
"2017-11-01",37
"2017-11-02",30
"2017-11-03",28
"2017-11-04",54
"2017-11-05",55
"2017-11-06",40
"2017-11-07",32
"2017-11-08",40
"2017-11-09",36
"2017-11-10",35
"2017-11-11",54
"2017-11-12",53
"2017-11-13",34
"2017-11-14",33
"2017-11-15",37
"2017-11-16",34
"2017-11-17",32
"2017-11-18",52
"2017-11-19",48
"2017-11-20",33
"2017-11-21",35
"2017-11-22",33
"2017-11-23",35
"2017-11-24",34
"2017-11-25",60
"2017-11-26",54
"2017-11-27",32
"2017-11-28",36
"2017-11-29",38
"2017-11-30",31
"2017-12-01",31
"2017-12-02",49
"2017-12-03",48
"2017-12-04",34
"2017-12-05",36
"2017-12-06",36
"2017-12-07",35
"2017-12-08",35
"2017-12-09",49
"2017-12-10",53
"2017-12-11",41
"2017-12-12",41
"2017-12-13",35
"2017-12-14",37
"2017-12-15",32
"2017-12-16",41
"2017-12-17",47
"2017-12-18",42
"2017-12-19",47
"2017-12-20",40
"2017-12-21",29
"2017-12-22",27
"2017-12-23",38
"2017-12-24",39
"2017-12-25",30
"2017-12-26",18
"2017-12-27",18
"2017-12-28",16
"2017-12-29",17
"2017-12-30",24
"2017-12-31",19
"2018-01-01",24
"2018-01-02",18
"2018-01-03",14
"2018-01-04",14
"2018-01-05",14
"2018-01-06",20
"2018-01-07",24
"2018-01-08",17
"2018-01-09",20
"2018-01-10",16
"2018-01-11",18
"2018-01-12",16
"2018-01-13",20
"2018-01-14",24
"2018-01-15",22
"2018-01-16",16
"2018-01-17",20
"2018-01-18",13
"2018-01-19",15
"2018-01-20",15
"2018-01-21",21
"2018-01-22",15
"2018-01-23",15
"2018-01-24",15
"2018-01-25",15
"2018-01-26",21
"2018-01-27",18
"2018-01-28",23
"2018-01-29",14
"2018-01-30",17
"2018-01-31",14
"2018-02-01",13
"2018-02-02",10
"2018-02-03",15
"2018-02-04",21
"2018-02-05",13
"2018-02-06",12
"2018-02-07",11
"2018-02-08",14
"2018-02-09",12
"2018-02-10",16
"2018-02-11",18
"2018-02-12",13
"2018-02-13",10
"2018-02-14",11
"2018-02-15",13
"2018-02-16",19
"2018-02-17",22
"2018-02-18",19
"2018-02-19",13
"2018-02-20",12
"2018-02-21",14
"2018-02-22",9
"2018-02-23",11
"2018-02-24",14
"2018-02-25",12
"2018-02-26",12
"2018-02-27",10
"2018-02-28",12
"2018-03-01",16
"2018-03-02",9
"2018-03-03",14
"2018-03-04",14
"2018-03-05",7
"2018-03-06",8
"2018-03-07",8
"2018-03-08",9
"2018-03-09",7
"2018-03-10",13
"2018-03-11",14
"2018-03-12",9
"2018-03-13",10
"2018-03-14",7
"2018-03-15",8
"2018-03-16",6
"2018-03-17",14
"2018-03-18",12
"2018-03-19",9
"2018-03-20",7
"2018-03-21",7
"2018-03-22",6
"2018-03-23",9
"2018-03-24",13
"2018-03-25",10
"2018-03-26",9
"2018-03-27",7
"2018-03-28",8
"2018-03-29",4
"2018-03-30",7
"2018-03-31",11
"2018-04-01",13
"2018-04-02",7
"2018-04-03",5
"2018-04-04",6
"2018-04-05",7
"2018-04-06",5
"2018-04-07",8
"2018-04-08",9
"2018-04-09",6
"2018-04-10",6
"2018-04-11",5
"2018-04-12",5
"2018-04-13",6
"2018-04-14",11
"2018-04-15",11
"2018-04-16",7
"2018-04-17",5
"2018-04-18",7
"2018-04-19",5
