네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","모이몰른"
"2017-08-01",25
"2017-08-02",20
"2017-08-03",27
"2017-08-04",22
"2017-08-05",24
"2017-08-06",22
"2017-08-07",26
"2017-08-08",37
"2017-08-09",41
"2017-08-10",34
"2017-08-11",30
"2017-08-12",30
"2017-08-13",30
"2017-08-14",37
"2017-08-15",49
"2017-08-16",48
"2017-08-17",50
"2017-08-18",45
"2017-08-19",41
"2017-08-20",47
"2017-08-21",43
"2017-08-22",49
"2017-08-23",47
"2017-08-24",47
"2017-08-25",40
"2017-08-26",47
"2017-08-27",44
"2017-08-28",56
"2017-08-29",87
"2017-08-30",100
"2017-08-31",86
"2017-09-01",62
"2017-09-02",71
"2017-09-03",67
"2017-09-04",72
"2017-09-05",74
"2017-09-06",65
"2017-09-07",68
"2017-09-08",59
"2017-09-09",51
"2017-09-10",51
"2017-09-11",58
"2017-09-12",59
"2017-09-13",57
"2017-09-14",58
"2017-09-15",49
"2017-09-16",53
"2017-09-17",55
"2017-09-18",57
"2017-09-19",63
"2017-09-20",61
"2017-09-21",59
"2017-09-22",50
"2017-09-23",47
"2017-09-24",51
"2017-09-25",63
"2017-09-26",67
"2017-09-27",61
"2017-09-28",48
"2017-09-29",52
"2017-09-30",42
"2017-10-01",50
"2017-10-02",46
"2017-10-03",42
"2017-10-04",35
"2017-10-05",41
"2017-10-06",55
"2017-10-07",48
"2017-10-08",53
"2017-10-09",56
"2017-10-10",42
"2017-10-11",42
"2017-10-12",57
"2017-10-13",50
"2017-10-14",39
"2017-10-15",43
"2017-10-16",48
"2017-10-17",46
"2017-10-18",46
"2017-10-19",40
"2017-10-20",42
"2017-10-21",33
"2017-10-22",42
"2017-10-23",49
"2017-10-24",55
"2017-10-25",44
"2017-10-26",44
"2017-10-27",41
"2017-10-28",33
"2017-10-29",41
"2017-10-30",51
"2017-10-31",49
"2017-11-01",46
"2017-11-02",50
"2017-11-03",43
"2017-11-04",42
"2017-11-05",47
"2017-11-06",55
"2017-11-07",51
"2017-11-08",53
"2017-11-09",47
"2017-11-10",38
"2017-11-11",37
"2017-11-12",42
"2017-11-13",41
"2017-11-14",41
"2017-11-15",36
"2017-11-16",35
"2017-11-17",37
"2017-11-18",28
"2017-11-19",35
"2017-11-20",37
"2017-11-21",35
"2017-11-22",35
"2017-11-23",35
"2017-11-24",30
"2017-11-25",26
"2017-11-26",27
"2017-11-27",29
"2017-11-28",25
"2017-11-29",25
"2017-11-30",27
"2017-12-01",25
"2017-12-02",31
"2017-12-03",26
"2017-12-04",30
"2017-12-05",30
"2017-12-06",21
"2017-12-07",22
"2017-12-08",22
"2017-12-09",19
"2017-12-10",24
"2017-12-11",27
"2017-12-12",25
"2017-12-13",24
"2017-12-14",22
"2017-12-15",19
"2017-12-16",15
"2017-12-17",21
"2017-12-18",25
"2017-12-19",25
"2017-12-20",23
"2017-12-21",23
"2017-12-22",19
"2017-12-23",16
"2017-12-24",17
"2017-12-25",19
"2017-12-26",21
"2017-12-27",22
"2017-12-28",19
"2017-12-29",17
"2017-12-30",15
"2017-12-31",15
"2018-01-01",18
"2018-01-02",20
"2018-01-03",20
"2018-01-04",20
"2018-01-05",20
"2018-01-06",18
"2018-01-07",21
"2018-01-08",24
"2018-01-09",26
"2018-01-10",24
"2018-01-11",23
"2018-01-12",24
"2018-01-13",20
"2018-01-14",23
"2018-01-15",29
"2018-01-16",26
"2018-01-17",33
"2018-01-18",31
"2018-01-19",25
"2018-01-20",32
"2018-01-21",36
"2018-01-22",40
"2018-01-23",42
"2018-01-24",38
"2018-01-25",34
"2018-01-26",32
"2018-01-27",32
"2018-01-28",37
"2018-01-29",43
"2018-01-30",37
"2018-01-31",42
"2018-02-01",37
"2018-02-02",42
"2018-02-03",38
"2018-02-04",43
"2018-02-05",54
"2018-02-06",50
"2018-02-07",41
"2018-02-08",41
"2018-02-09",34
"2018-02-10",39
"2018-02-11",44
"2018-02-12",42
"2018-02-13",37
"2018-02-14",33
"2018-02-15",28
"2018-02-16",23
"2018-02-17",30
"2018-02-18",48
"2018-02-19",46
"2018-02-20",39
"2018-02-21",44
"2018-02-22",43
"2018-02-23",45
"2018-02-24",41
"2018-02-25",47
"2018-02-26",60
"2018-02-27",55
"2018-02-28",54
"2018-03-01",55
"2018-03-02",57
"2018-03-03",49
"2018-03-04",59
"2018-03-05",59
"2018-03-06",64
"2018-03-07",58
"2018-03-08",52
"2018-03-09",43
"2018-03-10",47
"2018-03-11",51
"2018-03-12",55
"2018-03-13",61
"2018-03-14",65
"2018-03-15",59
"2018-03-16",54
"2018-03-17",52
"2018-03-18",48
"2018-03-19",55
"2018-03-20",51
"2018-03-21",45
"2018-03-22",43
"2018-03-23",45
"2018-03-24",42
"2018-03-25",43
"2018-03-26",53
"2018-03-27",50
"2018-03-28",52
"2018-03-29",53
"2018-03-30",43
"2018-03-31",45
"2018-04-01",42
"2018-04-02",56
"2018-04-03",54
"2018-04-04",56
"2018-04-05",43
"2018-04-06",43
"2018-04-07",37
"2018-04-08",31
"2018-04-09",39
"2018-04-10",50
"2018-04-11",49
"2018-04-12",48
"2018-04-13",40
"2018-04-14",39
"2018-04-15",43
"2018-04-16",52
"2018-04-17",48
"2018-04-18",55
"2018-04-19",49
