네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","유아부츠"
"2017-08-02",
"2017-08-03",
"2017-08-04",
"2017-08-05",
"2017-08-07",
"2017-08-09",
"2017-08-10",
"2017-08-13",
"2017-08-14",
"2017-08-15",
"2017-08-16",
"2017-08-17",
"2017-08-19",
"2017-08-20",
"2017-08-21",
"2017-08-22",
"2017-08-23",
"2017-08-24",
"2017-08-25",
"2017-08-26",
"2017-08-27",
"2017-08-28",
"2017-08-29",
"2017-08-30",
"2017-08-31",
"2017-09-01",
"2017-09-02",
"2017-09-03",
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",1
"2017-09-08",1
"2017-09-09",1
"2017-09-10",1
"2017-09-11",1
"2017-09-12",1
"2017-09-13",1
"2017-09-14",1
"2017-09-15",1
"2017-09-16",1
"2017-09-17",1
"2017-09-18",1
"2017-09-19",1
"2017-09-20",1
"2017-09-21",1
"2017-09-22",1
"2017-09-23",1
"2017-09-24",1
"2017-09-25",1
"2017-09-26",1
"2017-09-27",1
"2017-09-28",2
"2017-09-29",1
"2017-09-30",2
"2017-10-01",2
"2017-10-02",2
"2017-10-03",1
"2017-10-04",2
"2017-10-05",1
"2017-10-06",3
"2017-10-07",2
"2017-10-08",2
"2017-10-09",3
"2017-10-10",3
"2017-10-11",3
"2017-10-12",5
"2017-10-13",4
"2017-10-14",3
"2017-10-15",4
"2017-10-16",5
"2017-10-17",5
"2017-10-18",7
"2017-10-19",6
"2017-10-20",4
"2017-10-21",4
"2017-10-22",7
"2017-10-23",7
"2017-10-24",7
"2017-10-25",10
"2017-10-26",7
"2017-10-27",7
"2017-10-28",7
"2017-10-29",9
"2017-10-30",14
"2017-10-31",13
"2017-11-01",15
"2017-11-02",14
"2017-11-03",14
"2017-11-04",22
"2017-11-05",20
"2017-11-06",15
"2017-11-07",17
"2017-11-08",17
"2017-11-09",14
"2017-11-10",15
"2017-11-11",14
"2017-11-12",19
"2017-11-13",21
"2017-11-14",26
"2017-11-15",30
"2017-11-16",36
"2017-11-17",39
"2017-11-18",37
"2017-11-19",40
"2017-11-20",54
"2017-11-21",53
"2017-11-22",47
"2017-11-23",65
"2017-11-24",100
"2017-11-25",57
"2017-11-26",49
"2017-11-27",58
"2017-11-28",47
"2017-11-29",33
"2017-11-30",41
"2017-12-01",43
"2017-12-02",35
"2017-12-03",42
"2017-12-04",52
"2017-12-05",63
"2017-12-06",69
"2017-12-07",51
"2017-12-08",42
"2017-12-09",33
"2017-12-10",52
"2017-12-11",71
"2017-12-12",69
"2017-12-13",63
"2017-12-14",47
"2017-12-15",36
"2017-12-16",25
"2017-12-17",35
"2017-12-18",80
"2017-12-19",53
"2017-12-20",50
"2017-12-21",31
"2017-12-22",18
"2017-12-23",11
"2017-12-24",14
"2017-12-25",15
"2017-12-26",22
"2017-12-27",17
"2017-12-28",12
"2017-12-29",9
"2017-12-30",7
"2017-12-31",5
"2018-01-01",7
"2018-01-02",12
"2018-01-03",9
"2018-01-04",10
"2018-01-05",7
"2018-01-06",5
"2018-01-07",9
"2018-01-08",13
"2018-01-09",18
"2018-01-10",24
"2018-01-11",20
"2018-01-12",13
"2018-01-13",10
"2018-01-14",12
"2018-01-15",10
"2018-01-16",7
"2018-01-17",6
"2018-01-18",2
"2018-01-19",3
"2018-01-20",3
"2018-01-21",2
"2018-01-22",5
"2018-01-23",5
"2018-01-24",6
"2018-01-25",3
"2018-01-26",4
"2018-01-27",3
"2018-01-28",5
"2018-01-29",6
"2018-01-30",5
"2018-01-31",4
"2018-02-01",2
"2018-02-02",2
"2018-02-03",1
"2018-02-04",3
"2018-02-05",4
"2018-02-06",3
"2018-02-07",2
"2018-02-08",1
"2018-02-09",
"2018-02-10",
"2018-02-11",
"2018-02-12",1
"2018-02-13",
"2018-02-14",1
"2018-02-15",
"2018-02-16",
"2018-02-17",
"2018-02-18",1
"2018-02-19",1
"2018-02-20",
"2018-02-21",
"2018-02-22",1
"2018-02-23",
"2018-02-24",
"2018-02-25",
"2018-02-26",
"2018-02-27",
"2018-02-28",
"2018-03-01",
"2018-03-02",
"2018-03-03",
"2018-03-04",
"2018-03-05",
"2018-03-06",
"2018-03-07",
"2018-03-08",
"2018-03-09",
"2018-03-10",
"2018-03-11",
"2018-03-12",
"2018-03-13",
"2018-03-15",
"2018-03-16",
"2018-03-17",
"2018-03-18",
"2018-03-19",
"2018-03-20",
"2018-03-21",
"2018-03-22",
"2018-03-23",
"2018-03-24",
"2018-03-25",
"2018-03-26",
"2018-03-27",
"2018-03-28",
"2018-03-29",
"2018-03-30",
"2018-04-01",
"2018-04-02",
"2018-04-03",
"2018-04-04",
"2018-04-05",
"2018-04-06",
"2018-04-07",
"2018-04-08",
"2018-04-09",
"2018-04-10",
"2018-04-11",
"2018-04-12",
"2018-04-13",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-18",
"2018-04-19",
