네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","애착인형"
"2017-08-01",57
"2017-08-02",51
"2017-08-03",51
"2017-08-04",50
"2017-08-05",49
"2017-08-06",50
"2017-08-07",56
"2017-08-08",58
"2017-08-09",64
"2017-08-10",67
"2017-08-11",59
"2017-08-12",54
"2017-08-13",58
"2017-08-14",65
"2017-08-15",55
"2017-08-16",56
"2017-08-17",48
"2017-08-18",65
"2017-08-19",50
"2017-08-20",66
"2017-08-21",67
"2017-08-22",67
"2017-08-23",63
"2017-08-24",58
"2017-08-25",51
"2017-08-26",46
"2017-08-27",54
"2017-08-28",46
"2017-08-29",58
"2017-08-30",58
"2017-08-31",53
"2017-09-01",55
"2017-09-02",47
"2017-09-03",52
"2017-09-04",52
"2017-09-05",42
"2017-09-06",48
"2017-09-07",49
"2017-09-08",43
"2017-09-09",56
"2017-09-10",52
"2017-09-11",55
"2017-09-12",48
"2017-09-13",50
"2017-09-14",47
"2017-09-15",52
"2017-09-16",55
"2017-09-17",56
"2017-09-18",50
"2017-09-19",47
"2017-09-20",54
"2017-09-21",61
"2017-09-22",51
"2017-09-23",50
"2017-09-24",46
"2017-09-25",64
"2017-09-26",67
"2017-09-27",62
"2017-09-28",52
"2017-09-29",51
"2017-09-30",45
"2017-10-01",54
"2017-10-02",47
"2017-10-03",39
"2017-10-04",45
"2017-10-05",51
"2017-10-06",70
"2017-10-07",73
"2017-10-08",69
"2017-10-09",74
"2017-10-10",61
"2017-10-11",62
"2017-10-12",62
"2017-10-13",52
"2017-10-14",51
"2017-10-15",59
"2017-10-16",69
"2017-10-17",70
"2017-10-18",67
"2017-10-19",69
"2017-10-20",58
"2017-10-21",60
"2017-10-22",63
"2017-10-23",63
"2017-10-24",65
"2017-10-25",64
"2017-10-26",73
"2017-10-27",63
"2017-10-28",57
"2017-10-29",61
"2017-10-30",67
"2017-10-31",58
"2017-11-01",66
"2017-11-02",68
"2017-11-03",68
"2017-11-04",61
"2017-11-05",69
"2017-11-06",69
"2017-11-07",61
"2017-11-08",69
"2017-11-09",68
"2017-11-10",68
"2017-11-11",48
"2017-11-12",64
"2017-11-13",62
"2017-11-14",63
"2017-11-15",59
"2017-11-16",55
"2017-11-17",57
"2017-11-18",59
"2017-11-19",46
"2017-11-20",57
"2017-11-21",53
"2017-11-22",55
"2017-11-23",53
"2017-11-24",56
"2017-11-25",49
"2017-11-26",59
"2017-11-27",59
"2017-11-28",62
"2017-11-29",68
"2017-11-30",100
"2017-12-01",61
"2017-12-02",63
"2017-12-03",66
"2017-12-04",69
"2017-12-05",76
"2017-12-06",65
"2017-12-07",64
"2017-12-08",64
"2017-12-09",65
"2017-12-10",66
"2017-12-11",74
"2017-12-12",65
"2017-12-13",77
"2017-12-14",79
"2017-12-15",72
"2017-12-16",74
"2017-12-17",71
"2017-12-18",78
"2017-12-19",78
"2017-12-20",70
"2017-12-21",57
"2017-12-22",55
"2017-12-23",49
"2017-12-24",58
"2017-12-25",65
"2017-12-26",60
"2017-12-27",57
"2017-12-28",48
"2017-12-29",47
"2017-12-30",45
"2017-12-31",51
"2018-01-01",56
"2018-01-02",58
"2018-01-03",59
"2018-01-04",61
"2018-01-05",58
"2018-01-06",47
"2018-01-07",63
"2018-01-08",62
"2018-01-09",60
"2018-01-10",62
"2018-01-11",58
"2018-01-12",59
"2018-01-13",62
"2018-01-14",74
"2018-01-15",64
"2018-01-16",72
"2018-01-17",75
"2018-01-18",64
"2018-01-19",63
"2018-01-20",59
"2018-01-21",71
"2018-01-22",65
"2018-01-23",60
"2018-01-24",59
"2018-01-25",63
"2018-01-26",54
"2018-01-27",54
"2018-01-28",62
"2018-01-29",61
"2018-01-30",61
"2018-01-31",59
"2018-02-01",56
"2018-02-02",65
"2018-02-03",49
"2018-02-04",74
"2018-02-05",68
"2018-02-06",72
"2018-02-07",68
"2018-02-08",65
"2018-02-09",64
"2018-02-10",51
"2018-02-11",67
"2018-02-12",54
"2018-02-13",45
"2018-02-14",41
"2018-02-15",41
"2018-02-16",46
"2018-02-17",52
"2018-02-18",64
"2018-02-19",64
"2018-02-20",52
"2018-02-21",66
"2018-02-22",61
"2018-02-23",61
"2018-02-24",47
"2018-02-25",58
"2018-02-26",64
"2018-02-27",69
"2018-02-28",71
"2018-03-01",64
"2018-03-02",60
"2018-03-03",45
"2018-03-04",64
"2018-03-05",56
"2018-03-06",56
"2018-03-07",66
"2018-03-08",62
"2018-03-09",52
"2018-03-10",43
"2018-03-11",53
"2018-03-12",50
"2018-03-13",50
"2018-03-14",48
"2018-03-15",59
"2018-03-16",47
"2018-03-17",41
"2018-03-18",47
"2018-03-19",57
"2018-03-20",50
"2018-03-21",52
"2018-03-22",49
"2018-03-23",59
"2018-03-24",53
"2018-03-25",53
"2018-03-26",52
"2018-03-27",55
"2018-03-28",57
"2018-03-29",59
"2018-03-30",49
"2018-03-31",44
"2018-04-01",50
"2018-04-02",53
"2018-04-03",54
"2018-04-04",69
"2018-04-05",52
"2018-04-06",44
"2018-04-07",47
"2018-04-08",42
"2018-04-09",52
"2018-04-10",50
"2018-04-11",58
"2018-04-12",50
"2018-04-13",43
"2018-04-14",55
"2018-04-15",73
"2018-04-16",70
"2018-04-17",63
"2018-04-18",60
"2018-04-19",51
