네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","나이키코르테즈키즈"
"2017-08-01",
"2017-08-03",
"2017-08-04",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",1
"2017-08-16",
"2017-08-17",
"2017-08-18",1
"2017-08-19",
"2017-08-20",1
"2017-08-21",
"2017-08-22",1
"2017-08-23",1
"2017-08-24",1
"2017-08-25",1
"2017-08-26",1
"2017-08-27",2
"2017-08-28",1
"2017-08-29",1
"2017-08-30",1
"2017-08-31",1
"2017-09-01",1
"2017-09-02",1
"2017-09-03",1
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",2
"2017-09-08",1
"2017-09-09",1
"2017-09-10",2
"2017-09-11",3
"2017-09-12",1
"2017-09-13",3
"2017-09-14",2
"2017-09-15",2
"2017-09-16",2
"2017-09-17",2
"2017-09-18",2
"2017-09-19",2
"2017-09-20",2
"2017-09-21",4
"2017-09-22",2
"2017-09-23",1
"2017-09-24",1
"2017-09-25",2
"2017-09-26",3
"2017-09-27",1
"2017-09-28",1
"2017-09-29",1
"2017-09-30",1
"2017-10-01",
"2017-10-02",
"2017-10-03",
"2017-10-04",
"2017-10-05",
"2017-10-06",
"2017-10-07",
"2017-10-08",
"2017-10-09",
"2017-10-10",
"2017-10-11",1
"2017-10-12",
"2017-10-13",
"2017-10-14",
"2017-10-15",
"2017-10-16",1
"2017-10-17",1
"2017-10-18",
"2017-10-19",
"2017-10-20",
"2017-10-21",
"2017-10-22",
"2017-10-23",
"2017-10-24",
"2017-10-25",1
"2017-10-26",1
"2017-10-27",
"2017-10-28",
"2017-10-29",
"2017-10-30",1
"2017-10-31",
"2017-11-01",
"2017-11-02",1
"2017-11-03",
"2017-11-04",1
"2017-11-05",
"2017-11-06",1
"2017-11-07",
"2017-11-08",1
"2017-11-09",1
"2017-11-10",1
"2017-11-11",
"2017-11-12",1
"2017-11-13",
"2017-11-14",1
"2017-11-15",
"2017-11-16",1
"2017-11-17",1
"2017-11-18",
"2017-11-19",
"2017-11-20",1
"2017-11-21",
"2017-11-22",1
"2017-11-23",1
"2017-11-24",
"2017-11-25",1
"2017-11-26",
"2017-11-27",
"2017-11-28",
"2017-11-29",
"2017-11-30",
"2017-12-01",1
"2017-12-02",
"2017-12-03",
"2017-12-04",1
"2017-12-05",
"2017-12-06",
"2017-12-07",
"2017-12-08",
"2017-12-09",
"2017-12-10",
"2017-12-11",
"2017-12-12",
"2017-12-13",
"2017-12-14",
"2017-12-15",
"2017-12-16",
"2017-12-17",
"2017-12-18",1
"2017-12-19",
"2017-12-20",
"2017-12-21",
"2017-12-22",
"2017-12-23",
"2017-12-24",
"2017-12-25",
"2017-12-26",
"2017-12-27",1
"2017-12-28",
"2017-12-29",
"2017-12-30",1
"2017-12-31",1
"2018-01-01",2
"2018-01-02",1
"2018-01-03",2
"2018-01-04",1
"2018-01-05",1
"2018-01-06",2
"2018-01-07",2
"2018-01-08",2
"2018-01-09",3
"2018-01-10",2
"2018-01-11",2
"2018-01-12",2
"2018-01-13",3
"2018-01-14",3
"2018-01-15",2
"2018-01-16",4
"2018-01-17",3
"2018-01-18",5
"2018-01-19",7
"2018-01-20",8
"2018-01-21",8
"2018-01-22",20
"2018-01-23",12
"2018-01-24",7
"2018-01-25",9
"2018-01-26",17
"2018-01-27",22
"2018-01-28",24
"2018-01-29",28
"2018-01-30",31
"2018-01-31",50
"2018-02-01",44
"2018-02-02",26
"2018-02-03",26
"2018-02-04",36
"2018-02-05",30
"2018-02-06",22
"2018-02-07",22
"2018-02-08",50
"2018-02-09",34
"2018-02-10",33
"2018-02-11",41
"2018-02-12",35
"2018-02-13",52
"2018-02-14",45
"2018-02-15",35
"2018-02-16",34
"2018-02-17",56
"2018-02-18",86
"2018-02-19",72
"2018-02-20",63
"2018-02-21",65
"2018-02-22",53
"2018-02-23",55
"2018-02-24",53
"2018-02-25",71
"2018-02-26",66
"2018-02-27",72
"2018-02-28",53
"2018-03-01",73
"2018-03-02",57
"2018-03-03",61
"2018-03-04",71
"2018-03-05",71
"2018-03-06",62
"2018-03-07",63
"2018-03-08",73
"2018-03-09",56
"2018-03-10",58
"2018-03-11",67
"2018-03-12",89
"2018-03-13",98
"2018-03-14",81
"2018-03-15",76
"2018-03-16",63
"2018-03-17",77
"2018-03-18",84
"2018-03-19",92
"2018-03-20",100
"2018-03-21",81
"2018-03-22",78
"2018-03-23",63
"2018-03-24",70
"2018-03-25",75
"2018-03-26",77
"2018-03-27",74
"2018-03-28",57
"2018-03-29",55
"2018-03-30",47
"2018-03-31",49
"2018-04-01",65
"2018-04-02",60
"2018-04-03",67
"2018-04-04",58
"2018-04-05",60
"2018-04-06",38
"2018-04-07",46
"2018-04-08",44
"2018-04-09",49
"2018-04-10",61
"2018-04-11",73
"2018-04-12",58
"2018-04-13",36
"2018-04-14",44
"2018-04-15",41
"2018-04-16",48
"2018-04-17",41
"2018-04-18",41
"2018-04-19",44
