네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","유아책상"
"2017-08-01",26
"2017-08-02",24
"2017-08-03",35
"2017-08-04",30
"2017-08-05",24
"2017-08-06",33
"2017-08-07",32
"2017-08-08",39
"2017-08-09",39
"2017-08-10",37
"2017-08-11",27
"2017-08-12",33
"2017-08-13",31
"2017-08-14",42
"2017-08-15",38
"2017-08-16",35
"2017-08-17",33
"2017-08-18",29
"2017-08-19",27
"2017-08-20",49
"2017-08-21",49
"2017-08-22",48
"2017-08-23",45
"2017-08-24",37
"2017-08-25",28
"2017-08-26",30
"2017-08-27",35
"2017-08-28",36
"2017-08-29",33
"2017-08-30",36
"2017-08-31",34
"2017-09-01",40
"2017-09-02",25
"2017-09-03",30
"2017-09-04",40
"2017-09-05",36
"2017-09-06",38
"2017-09-07",30
"2017-09-08",34
"2017-09-09",31
"2017-09-10",38
"2017-09-11",38
"2017-09-12",40
"2017-09-13",33
"2017-09-14",27
"2017-09-15",27
"2017-09-16",33
"2017-09-17",34
"2017-09-18",34
"2017-09-19",38
"2017-09-20",40
"2017-09-21",24
"2017-09-22",26
"2017-09-23",29
"2017-09-24",37
"2017-09-25",42
"2017-09-26",43
"2017-09-27",49
"2017-09-28",35
"2017-09-29",31
"2017-09-30",31
"2017-10-01",38
"2017-10-02",39
"2017-10-03",24
"2017-10-04",19
"2017-10-05",26
"2017-10-06",49
"2017-10-07",42
"2017-10-08",59
"2017-10-09",66
"2017-10-10",59
"2017-10-11",55
"2017-10-12",49
"2017-10-13",48
"2017-10-14",39
"2017-10-15",58
"2017-10-16",56
"2017-10-17",52
"2017-10-18",57
"2017-10-19",50
"2017-10-20",38
"2017-10-21",38
"2017-10-22",51
"2017-10-23",52
"2017-10-24",56
"2017-10-25",49
"2017-10-26",48
"2017-10-27",56
"2017-10-28",49
"2017-10-29",59
"2017-10-30",61
"2017-10-31",57
"2017-11-01",56
"2017-11-02",52
"2017-11-03",58
"2017-11-04",46
"2017-11-05",60
"2017-11-06",59
"2017-11-07",64
"2017-11-08",63
"2017-11-09",47
"2017-11-10",47
"2017-11-11",50
"2017-11-12",62
"2017-11-13",68
"2017-11-14",60
"2017-11-15",52
"2017-11-16",53
"2017-11-17",49
"2017-11-18",53
"2017-11-19",67
"2017-11-20",66
"2017-11-21",57
"2017-11-22",67
"2017-11-23",49
"2017-11-24",56
"2017-11-25",49
"2017-11-26",65
"2017-11-27",75
"2017-11-28",70
"2017-11-29",66
"2017-11-30",63
"2017-12-01",61
"2017-12-02",74
"2017-12-03",75
"2017-12-04",67
"2017-12-05",64
"2017-12-06",60
"2017-12-07",48
"2017-12-08",62
"2017-12-09",79
"2017-12-10",87
"2017-12-11",79
"2017-12-12",73
"2017-12-13",80
"2017-12-14",61
"2017-12-15",70
"2017-12-16",67
"2017-12-17",83
"2017-12-18",81
"2017-12-19",61
"2017-12-20",58
"2017-12-21",68
"2017-12-22",49
"2017-12-23",59
"2017-12-24",56
"2017-12-25",71
"2017-12-26",73
"2017-12-27",62
"2017-12-28",58
"2017-12-29",54
"2017-12-30",54
"2017-12-31",53
"2018-01-01",65
"2018-01-02",73
"2018-01-03",74
"2018-01-04",68
"2018-01-05",68
"2018-01-06",72
"2018-01-07",78
"2018-01-08",92
"2018-01-09",81
"2018-01-10",80
"2018-01-11",74
"2018-01-12",74
"2018-01-13",75
"2018-01-14",81
"2018-01-15",80
"2018-01-16",81
"2018-01-17",73
"2018-01-18",70
"2018-01-19",64
"2018-01-20",66
"2018-01-21",93
"2018-01-22",100
"2018-01-23",98
"2018-01-24",91
"2018-01-25",76
"2018-01-26",65
"2018-01-27",72
"2018-01-28",78
"2018-01-29",85
"2018-01-30",81
"2018-01-31",81
"2018-02-01",74
"2018-02-02",60
"2018-02-03",60
"2018-02-04",82
"2018-02-05",78
"2018-02-06",85
"2018-02-07",77
"2018-02-08",62
"2018-02-09",60
"2018-02-10",55
"2018-02-11",76
"2018-02-12",66
"2018-02-13",55
"2018-02-14",50
"2018-02-15",38
"2018-02-16",28
"2018-02-17",45
"2018-02-18",71
"2018-02-19",81
"2018-02-20",78
"2018-02-21",70
"2018-02-22",71
"2018-02-23",64
"2018-02-24",64
"2018-02-25",67
"2018-02-26",75
"2018-02-27",69
"2018-02-28",70
"2018-03-01",75
"2018-03-02",62
"2018-03-03",65
"2018-03-04",84
"2018-03-05",72
"2018-03-06",59
"2018-03-07",70
"2018-03-08",75
"2018-03-09",68
"2018-03-10",62
"2018-03-11",74
"2018-03-12",68
"2018-03-13",75
"2018-03-14",57
"2018-03-15",70
"2018-03-16",59
"2018-03-17",48
"2018-03-18",76
"2018-03-19",66
"2018-03-20",71
"2018-03-21",81
"2018-03-22",68
"2018-03-23",56
"2018-03-24",70
"2018-03-25",75
"2018-03-26",67
"2018-03-27",65
"2018-03-28",57
"2018-03-29",57
"2018-03-30",40
"2018-03-31",43
"2018-04-01",53
"2018-04-02",55
"2018-04-03",59
"2018-04-04",58
"2018-04-05",66
"2018-04-06",53
"2018-04-07",55
"2018-04-08",62
"2018-04-09",71
"2018-04-10",60
"2018-04-11",61
"2018-04-12",63
"2018-04-13",60
"2018-04-14",70
"2018-04-15",77
"2018-04-16",78
"2018-04-17",81
"2018-04-18",80
"2018-04-19",68
