네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","유아운동화"
"2017-08-01",5
"2017-08-02",6
"2017-08-03",4
"2017-08-04",4
"2017-08-05",6
"2017-08-06",6
"2017-08-07",7
"2017-08-08",7
"2017-08-09",8
"2017-08-10",5
"2017-08-11",7
"2017-08-12",6
"2017-08-13",13
"2017-08-14",11
"2017-08-15",16
"2017-08-16",18
"2017-08-17",16
"2017-08-18",12
"2017-08-19",15
"2017-08-20",17
"2017-08-21",19
"2017-08-22",31
"2017-08-23",31
"2017-08-24",22
"2017-08-25",18
"2017-08-26",14
"2017-08-27",25
"2017-08-28",27
"2017-08-29",41
"2017-08-30",67
"2017-08-31",47
"2017-09-01",42
"2017-09-02",38
"2017-09-03",46
"2017-09-04",67
"2017-09-05",62
"2017-09-06",64
"2017-09-07",49
"2017-09-08",44
"2017-09-09",52
"2017-09-10",52
"2017-09-11",59
"2017-09-12",58
"2017-09-13",58
"2017-09-14",45
"2017-09-15",44
"2017-09-16",43
"2017-09-17",50
"2017-09-18",66
"2017-09-19",65
"2017-09-20",74
"2017-09-21",61
"2017-09-22",41
"2017-09-23",41
"2017-09-24",52
"2017-09-25",50
"2017-09-26",52
"2017-09-27",52
"2017-09-28",35
"2017-09-29",21
"2017-09-30",31
"2017-10-01",31
"2017-10-02",20
"2017-10-03",14
"2017-10-04",25
"2017-10-05",25
"2017-10-06",29
"2017-10-07",45
"2017-10-08",43
"2017-10-09",59
"2017-10-10",53
"2017-10-11",65
"2017-10-12",56
"2017-10-13",36
"2017-10-14",34
"2017-10-15",42
"2017-10-16",65
"2017-10-17",54
"2017-10-18",44
"2017-10-19",45
"2017-10-20",33
"2017-10-21",32
"2017-10-22",41
"2017-10-23",49
"2017-10-24",41
"2017-10-25",39
"2017-10-26",39
"2017-10-27",26
"2017-10-28",33
"2017-10-29",33
"2017-10-30",44
"2017-10-31",39
"2017-11-01",45
"2017-11-02",41
"2017-11-03",28
"2017-11-04",27
"2017-11-05",37
"2017-11-06",36
"2017-11-07",40
"2017-11-08",34
"2017-11-09",41
"2017-11-10",29
"2017-11-11",26
"2017-11-12",27
"2017-11-13",37
"2017-11-14",30
"2017-11-15",24
"2017-11-16",25
"2017-11-17",20
"2017-11-18",20
"2017-11-19",20
"2017-11-20",33
"2017-11-21",27
"2017-11-22",22
"2017-11-23",23
"2017-11-24",18
"2017-11-25",14
"2017-11-26",15
"2017-11-27",17
"2017-11-28",15
"2017-11-29",10
"2017-11-30",15
"2017-12-01",9
"2017-12-02",9
"2017-12-03",15
"2017-12-04",20
"2017-12-05",12
"2017-12-06",19
"2017-12-07",9
"2017-12-08",10
"2017-12-09",14
"2017-12-10",14
"2017-12-11",16
"2017-12-12",15
"2017-12-13",13
"2017-12-14",8
"2017-12-15",5
"2017-12-16",6
"2017-12-17",5
"2017-12-18",10
"2017-12-19",11
"2017-12-20",6
"2017-12-21",6
"2017-12-22",6
"2017-12-23",6
"2017-12-24",14
"2017-12-25",9
"2017-12-26",8
"2017-12-27",6
"2017-12-28",8
"2017-12-29",6
"2017-12-30",11
"2017-12-31",7
"2018-01-01",8
"2018-01-02",11
"2018-01-03",10
"2018-01-04",11
"2018-01-05",10
"2018-01-06",9
"2018-01-07",11
"2018-01-08",12
"2018-01-09",11
"2018-01-10",11
"2018-01-11",9
"2018-01-12",7
"2018-01-13",12
"2018-01-14",9
"2018-01-15",15
"2018-01-16",15
"2018-01-17",14
"2018-01-18",14
"2018-01-19",15
"2018-01-20",21
"2018-01-21",16
"2018-01-22",15
"2018-01-23",16
"2018-01-24",11
"2018-01-25",11
"2018-01-26",13
"2018-01-27",12
"2018-01-28",15
"2018-01-29",18
"2018-01-30",11
"2018-01-31",14
"2018-02-01",21
"2018-02-02",15
"2018-02-03",16
"2018-02-04",22
"2018-02-05",24
"2018-02-06",19
"2018-02-07",24
"2018-02-08",21
"2018-02-09",18
"2018-02-10",18
"2018-02-11",24
"2018-02-12",21
"2018-02-13",17
"2018-02-14",14
"2018-02-15",14
"2018-02-16",15
"2018-02-17",27
"2018-02-18",33
"2018-02-19",35
"2018-02-20",37
"2018-02-21",37
"2018-02-22",35
"2018-02-23",34
"2018-02-24",33
"2018-02-25",45
"2018-02-26",52
"2018-02-27",61
"2018-02-28",51
"2018-03-01",68
"2018-03-02",59
"2018-03-03",74
"2018-03-04",68
"2018-03-05",85
"2018-03-06",70
"2018-03-07",73
"2018-03-08",76
"2018-03-09",54
"2018-03-10",55
"2018-03-11",65
"2018-03-12",71
"2018-03-13",78
"2018-03-14",100
"2018-03-15",71
"2018-03-16",44
"2018-03-17",49
"2018-03-18",71
"2018-03-19",57
"2018-03-20",45
"2018-03-21",47
"2018-03-22",48
"2018-03-23",42
"2018-03-24",39
"2018-03-25",32
"2018-03-26",47
"2018-03-27",45
"2018-03-28",40
"2018-03-29",33
"2018-03-30",33
"2018-03-31",33
"2018-04-01",40
"2018-04-02",51
"2018-04-03",62
"2018-04-04",56
"2018-04-05",35
"2018-04-06",33
"2018-04-07",29
"2018-04-08",34
"2018-04-09",43
"2018-04-10",56
"2018-04-11",55
"2018-04-12",38
"2018-04-13",37
"2018-04-14",25
"2018-04-15",36
"2018-04-16",48
"2018-04-17",35
"2018-04-18",38
"2018-04-19",41
