네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","레전드스프리건"
"2017-08-01",13
"2017-08-02",13
"2017-08-03",13
"2017-08-04",9
"2017-08-05",11
"2017-08-06",14
"2017-08-07",13
"2017-08-08",12
"2017-08-09",13
"2017-08-10",10
"2017-08-11",11
"2017-08-12",12
"2017-08-13",13
"2017-08-14",14
"2017-08-15",16
"2017-08-16",17
"2017-08-17",12
"2017-08-18",18
"2017-08-19",15
"2017-08-20",22
"2017-08-21",24
"2017-08-22",23
"2017-08-23",27
"2017-08-24",31
"2017-08-25",28
"2017-08-26",44
"2017-08-27",55
"2017-08-28",49
"2017-08-29",59
"2017-08-30",76
"2017-08-31",66
"2017-09-01",63
"2017-09-02",67
"2017-09-03",61
"2017-09-04",55
"2017-09-05",49
"2017-09-06",44
"2017-09-07",40
"2017-09-08",35
"2017-09-09",52
"2017-09-10",61
"2017-09-11",49
"2017-09-12",39
"2017-09-13",41
"2017-09-14",36
"2017-09-15",28
"2017-09-16",44
"2017-09-17",50
"2017-09-18",34
"2017-09-19",32
"2017-09-20",36
"2017-09-21",33
"2017-09-22",26
"2017-09-23",42
"2017-09-24",50
"2017-09-25",61
"2017-09-26",65
"2017-09-27",44
"2017-09-28",34
"2017-09-29",25
"2017-09-30",46
"2017-10-01",44
"2017-10-02",34
"2017-10-03",29
"2017-10-04",45
"2017-10-05",55
"2017-10-06",50
"2017-10-07",48
"2017-10-08",43
"2017-10-09",69
"2017-10-10",55
"2017-10-11",43
"2017-10-12",42
"2017-10-13",25
"2017-10-14",46
"2017-10-15",53
"2017-10-16",46
"2017-10-17",42
"2017-10-18",40
"2017-10-19",28
"2017-10-20",34
"2017-10-21",52
"2017-10-22",59
"2017-10-23",40
"2017-10-24",33
"2017-10-25",38
"2017-10-26",37
"2017-10-27",27
"2017-10-28",39
"2017-10-29",41
"2017-10-30",30
"2017-10-31",35
"2017-11-01",39
"2017-11-02",36
"2017-11-03",31
"2017-11-04",52
"2017-11-05",56
"2017-11-06",36
"2017-11-07",35
"2017-11-08",43
"2017-11-09",37
"2017-11-10",31
"2017-11-11",56
"2017-11-12",45
"2017-11-13",45
"2017-11-14",45
"2017-11-15",38
"2017-11-16",42
"2017-11-17",39
"2017-11-18",44
"2017-11-19",51
"2017-11-20",50
"2017-11-21",39
"2017-11-22",43
"2017-11-23",35
"2017-11-24",33
"2017-11-25",52
"2017-11-26",56
"2017-11-27",43
"2017-11-28",41
"2017-11-29",57
"2017-11-30",38
"2017-12-01",42
"2017-12-02",62
"2017-12-03",66
"2017-12-04",59
"2017-12-05",93
"2017-12-06",67
"2017-12-07",60
"2017-12-08",69
"2017-12-09",89
"2017-12-10",88
"2017-12-11",80
"2017-12-12",69
"2017-12-13",65
"2017-12-14",63
"2017-12-15",63
"2017-12-16",57
"2017-12-17",100
"2017-12-18",99
"2017-12-19",76
"2017-12-20",58
"2017-12-21",35
"2017-12-22",25
"2017-12-23",38
"2017-12-24",40
"2017-12-25",50
"2017-12-26",42
"2017-12-27",32
"2017-12-28",27
"2017-12-29",27
"2017-12-30",29
"2017-12-31",29
"2018-01-01",34
"2018-01-02",27
"2018-01-03",25
"2018-01-04",22
"2018-01-05",22
"2018-01-06",21
"2018-01-07",20
"2018-01-08",19
"2018-01-09",18
"2018-01-10",17
"2018-01-11",17
"2018-01-12",16
"2018-01-13",20
"2018-01-14",21
"2018-01-15",26
"2018-01-16",22
"2018-01-17",24
"2018-01-18",14
"2018-01-19",17
"2018-01-20",20
"2018-01-21",22
"2018-01-22",17
"2018-01-23",13
"2018-01-24",14
"2018-01-25",12
"2018-01-26",10
"2018-01-27",18
"2018-01-28",17
"2018-01-29",13
"2018-01-30",13
"2018-01-31",16
"2018-02-01",13
"2018-02-02",8
"2018-02-03",13
"2018-02-04",14
"2018-02-05",12
"2018-02-06",12
"2018-02-07",13
"2018-02-08",10
"2018-02-09",10
"2018-02-10",12
"2018-02-11",10
"2018-02-12",9
"2018-02-13",8
"2018-02-14",4
"2018-02-15",10
"2018-02-16",12
"2018-02-17",20
"2018-02-18",20
"2018-02-19",13
"2018-02-20",10
"2018-02-21",10
"2018-02-22",13
"2018-02-23",12
"2018-02-24",12
"2018-02-25",11
"2018-02-26",15
"2018-02-27",12
"2018-02-28",16
"2018-03-01",16
"2018-03-02",7
"2018-03-03",13
"2018-03-04",13
"2018-03-05",8
"2018-03-06",7
"2018-03-07",10
"2018-03-08",7
"2018-03-09",8
"2018-03-10",12
"2018-03-11",12
"2018-03-12",8
"2018-03-13",9
"2018-03-14",7
"2018-03-15",8
"2018-03-16",6
"2018-03-17",10
"2018-03-18",11
"2018-03-19",6
"2018-03-20",6
"2018-03-21",5
"2018-03-22",5
"2018-03-23",7
"2018-03-24",10
"2018-03-25",10
"2018-03-26",8
"2018-03-27",6
"2018-03-28",7
"2018-03-29",5
"2018-03-30",2
"2018-03-31",6
"2018-04-01",9
"2018-04-02",8
"2018-04-03",4
"2018-04-04",3
"2018-04-05",8
"2018-04-06",4
"2018-04-07",7
"2018-04-08",7
"2018-04-09",4
"2018-04-10",3
"2018-04-11",5
"2018-04-12",8
"2018-04-13",4
"2018-04-14",10
"2018-04-15",7
"2018-04-16",6
"2018-04-17",5
"2018-04-18",3
"2018-04-19",6
