네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","플레이도우"
"2017-08-01",17
"2017-08-02",19
"2017-08-03",25
"2017-08-04",17
"2017-08-05",17
"2017-08-06",22
"2017-08-07",17
"2017-08-08",21
"2017-08-09",22
"2017-08-10",18
"2017-08-11",13
"2017-08-12",12
"2017-08-13",15
"2017-08-14",18
"2017-08-15",26
"2017-08-16",21
"2017-08-17",16
"2017-08-18",18
"2017-08-19",18
"2017-08-20",19
"2017-08-21",24
"2017-08-22",20
"2017-08-23",21
"2017-08-24",16
"2017-08-25",14
"2017-08-26",10
"2017-08-27",15
"2017-08-28",14
"2017-08-29",17
"2017-08-30",13
"2017-08-31",10
"2017-09-01",9
"2017-09-02",8
"2017-09-03",12
"2017-09-04",12
"2017-09-05",13
"2017-09-06",20
"2017-09-07",14
"2017-09-08",11
"2017-09-09",12
"2017-09-10",11
"2017-09-11",14
"2017-09-12",13
"2017-09-13",13
"2017-09-14",11
"2017-09-15",9
"2017-09-16",10
"2017-09-17",16
"2017-09-18",18
"2017-09-19",17
"2017-09-20",19
"2017-09-21",14
"2017-09-22",14
"2017-09-23",13
"2017-09-24",15
"2017-09-25",20
"2017-09-26",16
"2017-09-27",13
"2017-09-28",12
"2017-09-29",12
"2017-09-30",8
"2017-10-01",10
"2017-10-02",9
"2017-10-03",7
"2017-10-04",8
"2017-10-05",9
"2017-10-06",18
"2017-10-07",13
"2017-10-08",15
"2017-10-09",21
"2017-10-10",17
"2017-10-11",21
"2017-10-12",22
"2017-10-13",18
"2017-10-14",16
"2017-10-15",18
"2017-10-16",20
"2017-10-17",21
"2017-10-18",21
"2017-10-19",14
"2017-10-20",13
"2017-10-21",18
"2017-10-22",17
"2017-10-23",27
"2017-10-24",22
"2017-10-25",26
"2017-10-26",44
"2017-10-27",21
"2017-10-28",23
"2017-10-29",26
"2017-10-30",25
"2017-10-31",20
"2017-11-01",27
"2017-11-02",20
"2017-11-03",33
"2017-11-04",23
"2017-11-05",27
"2017-11-06",29
"2017-11-07",22
"2017-11-08",32
"2017-11-09",23
"2017-11-10",20
"2017-11-11",17
"2017-11-12",22
"2017-11-13",25
"2017-11-14",29
"2017-11-15",24
"2017-11-16",32
"2017-11-17",28
"2017-11-18",24
"2017-11-19",27
"2017-11-20",28
"2017-11-21",38
"2017-11-22",25
"2017-11-23",28
"2017-11-24",22
"2017-11-25",26
"2017-11-26",29
"2017-11-27",29
"2017-11-28",32
"2017-11-29",30
"2017-11-30",33
"2017-12-01",34
"2017-12-02",39
"2017-12-03",45
"2017-12-04",55
"2017-12-05",58
"2017-12-06",78
"2017-12-07",52
"2017-12-08",52
"2017-12-09",48
"2017-12-10",64
"2017-12-11",72
"2017-12-12",66
"2017-12-13",67
"2017-12-14",66
"2017-12-15",74
"2017-12-16",63
"2017-12-17",86
"2017-12-18",79
"2017-12-19",87
"2017-12-20",68
"2017-12-21",39
"2017-12-22",36
"2017-12-23",32
"2017-12-24",32
"2017-12-25",50
"2017-12-26",46
"2017-12-27",41
"2017-12-28",38
"2017-12-29",32
"2017-12-30",29
"2017-12-31",30
"2018-01-01",30
"2018-01-02",39
"2018-01-03",44
"2018-01-04",41
"2018-01-05",37
"2018-01-06",38
"2018-01-07",38
"2018-01-08",47
"2018-01-09",48
"2018-01-10",50
"2018-01-11",39
"2018-01-12",32
"2018-01-13",29
"2018-01-14",43
"2018-01-15",38
"2018-01-16",32
"2018-01-17",43
"2018-01-18",32
"2018-01-19",32
"2018-01-20",32
"2018-01-21",44
"2018-01-22",35
"2018-01-23",36
"2018-01-24",38
"2018-01-25",34
"2018-01-26",33
"2018-01-27",37
"2018-01-28",42
"2018-01-29",43
"2018-01-30",43
"2018-01-31",40
"2018-02-01",38
"2018-02-02",31
"2018-02-03",29
"2018-02-04",44
"2018-02-05",54
"2018-02-06",38
"2018-02-07",36
"2018-02-08",33
"2018-02-09",30
"2018-02-10",27
"2018-02-11",34
"2018-02-12",25
"2018-02-13",21
"2018-02-14",16
"2018-02-15",13
"2018-02-16",18
"2018-02-17",31
"2018-02-18",33
"2018-02-19",36
"2018-02-20",33
"2018-02-21",31
"2018-02-22",30
"2018-02-23",26
"2018-02-24",29
"2018-02-25",31
"2018-02-26",31
"2018-02-27",33
"2018-02-28",31
"2018-03-01",36
"2018-03-02",24
"2018-03-03",28
"2018-03-04",29
"2018-03-05",28
"2018-03-06",27
"2018-03-07",29
"2018-03-08",28
"2018-03-09",23
"2018-03-10",20
"2018-03-11",25
"2018-03-12",62
"2018-03-13",28
"2018-03-14",22
"2018-03-15",45
"2018-03-16",25
"2018-03-17",25
"2018-03-18",28
"2018-03-19",36
"2018-03-20",27
"2018-03-21",30
"2018-03-22",28
"2018-03-23",19
"2018-03-24",23
"2018-03-25",21
"2018-03-26",22
"2018-03-27",28
"2018-03-28",26
"2018-03-29",31
"2018-03-30",18
"2018-03-31",20
"2018-04-01",28
"2018-04-02",27
"2018-04-03",24
"2018-04-04",30
"2018-04-05",27
"2018-04-06",27
"2018-04-07",26
"2018-04-08",34
"2018-04-09",31
"2018-04-10",28
"2018-04-11",26
"2018-04-12",24
"2018-04-13",23
"2018-04-14",26
"2018-04-15",30
"2018-04-16",30
"2018-04-17",26
"2018-04-18",100
"2018-04-19",31
