네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","너프건"
"2017-08-01",25
"2017-08-02",27
"2017-08-03",21
"2017-08-04",18
"2017-08-05",26
"2017-08-06",31
"2017-08-07",26
"2017-08-08",26
"2017-08-09",23
"2017-08-10",29
"2017-08-11",29
"2017-08-12",31
"2017-08-13",31
"2017-08-14",31
"2017-08-15",39
"2017-08-16",33
"2017-08-17",28
"2017-08-18",23
"2017-08-19",27
"2017-08-20",43
"2017-08-21",34
"2017-08-22",28
"2017-08-23",26
"2017-08-24",25
"2017-08-25",21
"2017-08-26",32
"2017-08-27",39
"2017-08-28",23
"2017-08-29",24
"2017-08-30",24
"2017-08-31",22
"2017-09-01",16
"2017-09-02",25
"2017-09-03",30
"2017-09-04",25
"2017-09-05",21
"2017-09-06",15
"2017-09-07",18
"2017-09-08",16
"2017-09-09",23
"2017-09-10",29
"2017-09-11",19
"2017-09-12",18
"2017-09-13",13
"2017-09-14",16
"2017-09-15",15
"2017-09-16",25
"2017-09-17",28
"2017-09-18",14
"2017-09-19",20
"2017-09-20",16
"2017-09-21",15
"2017-09-22",13
"2017-09-23",22
"2017-09-24",23
"2017-09-25",19
"2017-09-26",16
"2017-09-27",18
"2017-09-28",22
"2017-09-29",20
"2017-09-30",36
"2017-10-01",34
"2017-10-02",35
"2017-10-03",36
"2017-10-04",42
"2017-10-05",44
"2017-10-06",44
"2017-10-07",52
"2017-10-08",46
"2017-10-09",61
"2017-10-10",33
"2017-10-11",28
"2017-10-12",29
"2017-10-13",23
"2017-10-14",44
"2017-10-15",43
"2017-10-16",25
"2017-10-17",23
"2017-10-18",20
"2017-10-19",20
"2017-10-20",22
"2017-10-21",34
"2017-10-22",37
"2017-10-23",28
"2017-10-24",22
"2017-10-25",22
"2017-10-26",23
"2017-10-27",29
"2017-10-28",35
"2017-10-29",51
"2017-10-30",25
"2017-10-31",18
"2017-11-01",26
"2017-11-02",22
"2017-11-03",18
"2017-11-04",39
"2017-11-05",45
"2017-11-06",32
"2017-11-07",20
"2017-11-08",20
"2017-11-09",20
"2017-11-10",19
"2017-11-11",38
"2017-11-12",56
"2017-11-13",24
"2017-11-14",19
"2017-11-15",21
"2017-11-16",21
"2017-11-17",18
"2017-11-18",36
"2017-11-19",46
"2017-11-20",28
"2017-11-21",33
"2017-11-22",25
"2017-11-23",25
"2017-11-24",14
"2017-11-25",31
"2017-11-26",39
"2017-11-27",26
"2017-11-28",22
"2017-11-29",27
"2017-11-30",31
"2017-12-01",28
"2017-12-02",60
"2017-12-03",62
"2017-12-04",44
"2017-12-05",52
"2017-12-06",45
"2017-12-07",46
"2017-12-08",34
"2017-12-09",51
"2017-12-10",75
"2017-12-11",52
"2017-12-12",43
"2017-12-13",49
"2017-12-14",41
"2017-12-15",37
"2017-12-16",56
"2017-12-17",70
"2017-12-18",62
"2017-12-19",60
"2017-12-20",55
"2017-12-21",44
"2017-12-22",35
"2017-12-23",59
"2017-12-24",67
"2017-12-25",86
"2017-12-26",47
"2017-12-27",35
"2017-12-28",31
"2017-12-29",35
"2017-12-30",43
"2017-12-31",44
"2018-01-01",37
"2018-01-02",34
"2018-01-03",26
"2018-01-04",29
"2018-01-05",26
"2018-01-06",31
"2018-01-07",51
"2018-01-08",33
"2018-01-09",33
"2018-01-10",31
"2018-01-11",32
"2018-01-12",30
"2018-01-13",40
"2018-01-14",43
"2018-01-15",31
"2018-01-16",32
"2018-01-17",29
"2018-01-18",33
"2018-01-19",26
"2018-01-20",39
"2018-01-21",41
"2018-01-22",41
"2018-01-23",33
"2018-01-24",35
"2018-01-25",31
"2018-01-26",30
"2018-01-27",42
"2018-01-28",53
"2018-01-29",37
"2018-01-30",33
"2018-01-31",33
"2018-02-01",31
"2018-02-02",33
"2018-02-03",52
"2018-02-04",55
"2018-02-05",39
"2018-02-06",32
"2018-02-07",28
"2018-02-08",29
"2018-02-09",23
"2018-02-10",41
"2018-02-11",52
"2018-02-12",35
"2018-02-13",36
"2018-02-14",35
"2018-02-15",46
"2018-02-16",63
"2018-02-17",100
"2018-02-18",98
"2018-02-19",61
"2018-02-20",64
"2018-02-21",48
"2018-02-22",55
"2018-02-23",46
"2018-02-24",52
"2018-02-25",58
"2018-02-26",38
"2018-02-27",38
"2018-02-28",45
"2018-03-01",53
"2018-03-02",31
"2018-03-03",46
"2018-03-04",52
"2018-03-05",26
"2018-03-06",30
"2018-03-07",25
"2018-03-08",32
"2018-03-09",30
"2018-03-10",46
"2018-03-11",50
"2018-03-12",35
"2018-03-13",32
"2018-03-14",32
"2018-03-15",30
"2018-03-16",31
"2018-03-17",43
"2018-03-18",62
"2018-03-19",32
"2018-03-20",27
"2018-03-21",28
"2018-03-22",30
"2018-03-23",23
"2018-03-24",63
"2018-03-25",49
"2018-03-26",31
"2018-03-27",25
"2018-03-28",29
"2018-03-29",21
"2018-03-30",23
"2018-03-31",37
"2018-04-01",52
"2018-04-02",28
"2018-04-03",27
"2018-04-04",25
"2018-04-05",26
"2018-04-06",23
"2018-04-07",52
"2018-04-08",49
"2018-04-09",32
"2018-04-10",33
"2018-04-11",36
"2018-04-12",28
"2018-04-13",25
"2018-04-14",66
"2018-04-15",53
"2018-04-16",34
"2018-04-17",35
"2018-04-18",36
"2018-04-19",35
