네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","아기쇼파"
"2017-08-01",55
"2017-08-02",45
"2017-08-03",52
"2017-08-04",39
"2017-08-05",43
"2017-08-06",48
"2017-08-07",42
"2017-08-08",53
"2017-08-09",45
"2017-08-10",55
"2017-08-11",46
"2017-08-12",42
"2017-08-13",50
"2017-08-14",63
"2017-08-15",68
"2017-08-16",49
"2017-08-17",56
"2017-08-18",68
"2017-08-19",55
"2017-08-20",66
"2017-08-21",79
"2017-08-22",79
"2017-08-23",77
"2017-08-24",59
"2017-08-25",61
"2017-08-26",60
"2017-08-27",58
"2017-08-28",63
"2017-08-29",58
"2017-08-30",61
"2017-08-31",68
"2017-09-01",63
"2017-09-02",38
"2017-09-03",47
"2017-09-04",48
"2017-09-05",50
"2017-09-06",52
"2017-09-07",39
"2017-09-08",46
"2017-09-09",51
"2017-09-10",52
"2017-09-11",58
"2017-09-12",63
"2017-09-13",49
"2017-09-14",51
"2017-09-15",46
"2017-09-16",36
"2017-09-17",54
"2017-09-18",58
"2017-09-19",61
"2017-09-20",51
"2017-09-21",48
"2017-09-22",45
"2017-09-23",49
"2017-09-24",44
"2017-09-25",56
"2017-09-26",67
"2017-09-27",59
"2017-09-28",58
"2017-09-29",43
"2017-09-30",40
"2017-10-01",47
"2017-10-02",47
"2017-10-03",40
"2017-10-04",31
"2017-10-05",46
"2017-10-06",54
"2017-10-07",60
"2017-10-08",74
"2017-10-09",81
"2017-10-10",83
"2017-10-11",93
"2017-10-12",73
"2017-10-13",48
"2017-10-14",61
"2017-10-15",71
"2017-10-16",67
"2017-10-17",57
"2017-10-18",71
"2017-10-19",69
"2017-10-20",75
"2017-10-21",53
"2017-10-22",67
"2017-10-23",74
"2017-10-24",68
"2017-10-25",59
"2017-10-26",65
"2017-10-27",71
"2017-10-28",60
"2017-10-29",65
"2017-10-30",50
"2017-10-31",62
"2017-11-01",67
"2017-11-02",76
"2017-11-03",64
"2017-11-04",60
"2017-11-05",68
"2017-11-06",66
"2017-11-07",69
"2017-11-08",76
"2017-11-09",69
"2017-11-10",71
"2017-11-11",72
"2017-11-12",87
"2017-11-13",71
"2017-11-14",67
"2017-11-15",73
"2017-11-16",67
"2017-11-17",63
"2017-11-18",53
"2017-11-19",53
"2017-11-20",66
"2017-11-21",67
"2017-11-22",66
"2017-11-23",51
"2017-11-24",15
"2017-11-25",13
"2017-11-26",39
"2017-11-27",83
"2017-11-28",70
"2017-11-29",71
"2017-11-30",69
"2017-12-01",62
"2017-12-02",65
"2017-12-03",70
"2017-12-04",87
"2017-12-05",85
"2017-12-06",69
"2017-12-07",70
"2017-12-08",80
"2017-12-09",62
"2017-12-10",77
"2017-12-11",79
"2017-12-12",86
"2017-12-13",76
"2017-12-14",72
"2017-12-15",62
"2017-12-16",64
"2017-12-17",84
"2017-12-18",90
"2017-12-19",79
"2017-12-20",84
"2017-12-21",87
"2017-12-22",69
"2017-12-23",56
"2017-12-24",63
"2017-12-25",80
"2017-12-26",68
"2017-12-27",70
"2017-12-28",74
"2017-12-29",62
"2017-12-30",78
"2017-12-31",69
"2018-01-01",70
"2018-01-02",69
"2018-01-03",75
"2018-01-04",88
"2018-01-05",69
"2018-01-06",81
"2018-01-07",75
"2018-01-08",70
"2018-01-09",78
"2018-01-10",90
"2018-01-11",84
"2018-01-12",65
"2018-01-13",63
"2018-01-14",80
"2018-01-15",75
"2018-01-16",75
"2018-01-17",73
"2018-01-18",61
"2018-01-19",65
"2018-01-20",61
"2018-01-21",73
"2018-01-22",100
"2018-01-23",80
"2018-01-24",80
"2018-01-25",66
"2018-01-26",42
"2018-01-27",62
"2018-01-28",100
"2018-01-29",86
"2018-01-30",77
"2018-01-31",76
"2018-02-01",71
"2018-02-02",66
"2018-02-03",66
"2018-02-04",84
"2018-02-05",81
"2018-02-06",78
"2018-02-07",60
"2018-02-08",70
"2018-02-09",54
"2018-02-10",53
"2018-02-11",76
"2018-02-12",54
"2018-02-13",56
"2018-02-14",54
"2018-02-15",38
"2018-02-16",32
"2018-02-17",51
"2018-02-18",61
"2018-02-19",62
"2018-02-20",61
"2018-02-21",56
"2018-02-22",55
"2018-02-23",60
"2018-02-24",48
"2018-02-25",47
"2018-02-26",56
"2018-02-27",29
"2018-02-28",51
"2018-03-01",50
"2018-03-02",52
"2018-03-03",43
"2018-03-04",55
"2018-03-05",41
"2018-03-06",21
"2018-03-07",26
"2018-03-08",27
"2018-03-09",61
"2018-03-10",51
"2018-03-11",57
"2018-03-12",56
"2018-03-13",60
"2018-03-14",39
"2018-03-15",60
"2018-03-16",38
"2018-03-17",41
"2018-03-18",55
"2018-03-19",65
"2018-03-20",60
"2018-03-21",62
"2018-03-22",59
"2018-03-23",48
"2018-03-24",46
"2018-03-25",53
"2018-03-26",52
"2018-03-27",55
"2018-03-28",54
"2018-03-29",47
"2018-03-30",43
"2018-03-31",40
"2018-04-01",51
"2018-04-02",44
"2018-04-03",54
"2018-04-04",49
"2018-04-05",50
"2018-04-06",52
"2018-04-07",70
"2018-04-08",64
"2018-04-09",54
"2018-04-10",56
"2018-04-11",71
"2018-04-12",62
"2018-04-13",61
"2018-04-14",66
"2018-04-15",75
"2018-04-16",76
"2018-04-17",77
"2018-04-18",54
"2018-04-19",60
