네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","여아부츠"
"2017-08-01",
"2017-08-04",
"2017-08-05",
"2017-08-06",
"2017-08-07",
"2017-08-08",
"2017-08-09",
"2017-08-10",
"2017-08-11",
"2017-08-12",
"2017-08-13",
"2017-08-14",
"2017-08-15",
"2017-08-16",
"2017-08-17",
"2017-08-18",
"2017-08-19",
"2017-08-20",
"2017-08-21",
"2017-08-22",
"2017-08-23",
"2017-08-24",
"2017-08-25",
"2017-08-26",
"2017-08-27",
"2017-08-28",
"2017-08-29",
"2017-08-30",1
"2017-08-31",1
"2017-09-01",
"2017-09-02",
"2017-09-03",2
"2017-09-04",1
"2017-09-05",1
"2017-09-06",1
"2017-09-07",2
"2017-09-08",1
"2017-09-09",1
"2017-09-10",1
"2017-09-11",1
"2017-09-12",1
"2017-09-13",1
"2017-09-14",
"2017-09-15",1
"2017-09-16",1
"2017-09-17",1
"2017-09-18",2
"2017-09-19",1
"2017-09-20",1
"2017-09-21",2
"2017-09-22",1
"2017-09-23",1
"2017-09-24",1
"2017-09-25",1
"2017-09-26",1
"2017-09-27",1
"2017-09-28",2
"2017-09-29",1
"2017-09-30",2
"2017-10-01",2
"2017-10-02",2
"2017-10-03",1
"2017-10-04",1
"2017-10-05",2
"2017-10-06",2
"2017-10-07",2
"2017-10-08",3
"2017-10-09",4
"2017-10-10",3
"2017-10-11",4
"2017-10-12",6
"2017-10-13",5
"2017-10-14",4
"2017-10-15",6
"2017-10-16",6
"2017-10-17",6
"2017-10-18",7
"2017-10-19",6
"2017-10-20",5
"2017-10-21",5
"2017-10-22",8
"2017-10-23",11
"2017-10-24",9
"2017-10-25",9
"2017-10-26",10
"2017-10-27",10
"2017-10-28",9
"2017-10-29",15
"2017-10-30",23
"2017-10-31",20
"2017-11-01",19
"2017-11-02",16
"2017-11-03",17
"2017-11-04",22
"2017-11-05",21
"2017-11-06",25
"2017-11-07",23
"2017-11-08",23
"2017-11-09",22
"2017-11-10",21
"2017-11-11",20
"2017-11-12",30
"2017-11-13",34
"2017-11-14",34
"2017-11-15",39
"2017-11-16",50
"2017-11-17",51
"2017-11-18",44
"2017-11-19",58
"2017-11-20",87
"2017-11-21",78
"2017-11-22",69
"2017-11-23",84
"2017-11-24",100
"2017-11-25",66
"2017-11-26",59
"2017-11-27",71
"2017-11-28",56
"2017-11-29",53
"2017-11-30",55
"2017-12-01",51
"2017-12-02",42
"2017-12-03",52
"2017-12-04",57
"2017-12-05",66
"2017-12-06",70
"2017-12-07",57
"2017-12-08",43
"2017-12-09",35
"2017-12-10",49
"2017-12-11",69
"2017-12-12",64
"2017-12-13",54
"2017-12-14",39
"2017-12-15",27
"2017-12-16",28
"2017-12-17",35
"2017-12-18",53
"2017-12-19",46
"2017-12-20",31
"2017-12-21",24
"2017-12-22",13
"2017-12-23",12
"2017-12-24",9
"2017-12-25",12
"2017-12-26",15
"2017-12-27",14
"2017-12-28",11
"2017-12-29",8
"2017-12-30",6
"2017-12-31",5
"2018-01-01",6
"2018-01-02",9
"2018-01-03",7
"2018-01-04",11
"2018-01-05",8
"2018-01-06",9
"2018-01-07",8
"2018-01-08",10
"2018-01-09",12
"2018-01-10",15
"2018-01-11",12
"2018-01-12",9
"2018-01-13",7
"2018-01-14",8
"2018-01-15",6
"2018-01-16",8
"2018-01-17",5
"2018-01-18",3
"2018-01-19",3
"2018-01-20",3
"2018-01-21",3
"2018-01-22",2
"2018-01-23",4
"2018-01-24",7
"2018-01-25",5
"2018-01-26",4
"2018-01-27",4
"2018-01-28",4
"2018-01-29",5
"2018-01-30",4
"2018-01-31",5
"2018-02-01",2
"2018-02-02",2
"2018-02-03",2
"2018-02-04",3
"2018-02-05",4
"2018-02-06",4
"2018-02-07",4
"2018-02-08",2
"2018-02-09",1
"2018-02-10",2
"2018-02-11",2
"2018-02-12",2
"2018-02-13",1
"2018-02-14",1
"2018-02-15",
"2018-02-16",
"2018-02-17",1
"2018-02-18",1
"2018-02-19",1
"2018-02-20",1
"2018-02-21",1
"2018-02-22",1
"2018-02-23",1
"2018-02-24",
"2018-02-25",1
"2018-02-26",1
"2018-02-27",
"2018-02-28",
"2018-03-01",1
"2018-03-02",
"2018-03-03",1
"2018-03-04",1
"2018-03-05",
"2018-03-06",
"2018-03-07",
"2018-03-08",
"2018-03-09",
"2018-03-10",
"2018-03-11",
"2018-03-12",
"2018-03-13",
"2018-03-14",
"2018-03-15",
"2018-03-16",
"2018-03-18",
"2018-03-19",
"2018-03-20",
"2018-03-21",
"2018-03-22",
"2018-03-23",
"2018-03-24",
"2018-03-25",
"2018-03-26",
"2018-03-27",
"2018-03-29",
"2018-03-31",
"2018-04-02",
"2018-04-04",
"2018-04-05",
"2018-04-07",
"2018-04-08",
"2018-04-11",
"2018-04-12",
"2018-04-14",
"2018-04-15",
"2018-04-16",
"2018-04-18",
"2018-04-19",
