네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","퍼즐매트"
"2017-08-01",48
"2017-08-02",49
"2017-08-03",38
"2017-08-04",36
"2017-08-05",35
"2017-08-06",43
"2017-08-07",42
"2017-08-08",41
"2017-08-09",41
"2017-08-10",37
"2017-08-11",36
"2017-08-12",34
"2017-08-13",44
"2017-08-14",51
"2017-08-15",52
"2017-08-16",46
"2017-08-17",49
"2017-08-18",41
"2017-08-19",43
"2017-08-20",55
"2017-08-21",52
"2017-08-22",49
"2017-08-23",51
"2017-08-24",51
"2017-08-25",46
"2017-08-26",41
"2017-08-27",58
"2017-08-28",52
"2017-08-29",60
"2017-08-30",50
"2017-08-31",50
"2017-09-01",52
"2017-09-02",41
"2017-09-03",52
"2017-09-04",58
"2017-09-05",67
"2017-09-06",56
"2017-09-07",57
"2017-09-08",43
"2017-09-09",43
"2017-09-10",51
"2017-09-11",80
"2017-09-12",61
"2017-09-13",53
"2017-09-14",59
"2017-09-15",42
"2017-09-16",37
"2017-09-17",52
"2017-09-18",61
"2017-09-19",58
"2017-09-20",55
"2017-09-21",46
"2017-09-22",42
"2017-09-23",40
"2017-09-24",60
"2017-09-25",67
"2017-09-26",57
"2017-09-27",64
"2017-09-28",49
"2017-09-29",38
"2017-09-30",35
"2017-10-01",44
"2017-10-02",35
"2017-10-03",27
"2017-10-04",26
"2017-10-05",32
"2017-10-06",55
"2017-10-07",58
"2017-10-08",75
"2017-10-09",90
"2017-10-10",87
"2017-10-11",79
"2017-10-12",75
"2017-10-13",55
"2017-10-14",59
"2017-10-15",69
"2017-10-16",79
"2017-10-17",64
"2017-10-18",69
"2017-10-19",61
"2017-10-20",49
"2017-10-21",55
"2017-10-22",75
"2017-10-23",80
"2017-10-24",67
"2017-10-25",56
"2017-10-26",63
"2017-10-27",50
"2017-10-28",45
"2017-10-29",71
"2017-10-30",83
"2017-10-31",79
"2017-11-01",75
"2017-11-02",63
"2017-11-03",55
"2017-11-04",53
"2017-11-05",74
"2017-11-06",79
"2017-11-07",77
"2017-11-08",77
"2017-11-09",72
"2017-11-10",61
"2017-11-11",51
"2017-11-12",84
"2017-11-13",92
"2017-11-14",76
"2017-11-15",72
"2017-11-16",76
"2017-11-17",70
"2017-11-18",60
"2017-11-19",75
"2017-11-20",100
"2017-11-21",94
"2017-11-22",67
"2017-11-23",81
"2017-11-24",69
"2017-11-25",54
"2017-11-26",81
"2017-11-27",91
"2017-11-28",75
"2017-11-29",73
"2017-11-30",77
"2017-12-01",57
"2017-12-02",52
"2017-12-03",77
"2017-12-04",85
"2017-12-05",67
"2017-12-06",67
"2017-12-07",65
"2017-12-08",49
"2017-12-09",45
"2017-12-10",74
"2017-12-11",73
"2017-12-12",54
"2017-12-13",76
"2017-12-14",54
"2017-12-15",42
"2017-12-16",46
"2017-12-17",59
"2017-12-18",67
"2017-12-19",71
"2017-12-20",63
"2017-12-21",55
"2017-12-22",48
"2017-12-23",34
"2017-12-24",54
"2017-12-25",58
"2017-12-26",78
"2017-12-27",63
"2017-12-28",68
"2017-12-29",41
"2017-12-30",51
"2017-12-31",53
"2018-01-01",75
"2018-01-02",88
"2018-01-03",73
"2018-01-04",61
"2018-01-05",54
"2018-01-06",62
"2018-01-07",70
"2018-01-08",85
"2018-01-09",82
"2018-01-10",72
"2018-01-11",73
"2018-01-12",59
"2018-01-13",67
"2018-01-14",76
"2018-01-15",83
"2018-01-16",88
"2018-01-17",85
"2018-01-18",71
"2018-01-19",57
"2018-01-20",53
"2018-01-21",86
"2018-01-22",83
"2018-01-23",72
"2018-01-24",63
"2018-01-25",62
"2018-01-26",63
"2018-01-27",56
"2018-01-28",65
"2018-01-29",73
"2018-01-30",79
"2018-01-31",77
"2018-02-01",61
"2018-02-02",57
"2018-02-03",66
"2018-02-04",82
"2018-02-05",99
"2018-02-06",89
"2018-02-07",91
"2018-02-08",70
"2018-02-09",49
"2018-02-10",48
"2018-02-11",66
"2018-02-12",63
"2018-02-13",56
"2018-02-14",43
"2018-02-15",33
"2018-02-16",27
"2018-02-17",51
"2018-02-18",86
"2018-02-19",88
"2018-02-20",72
"2018-02-21",71
"2018-02-22",72
"2018-02-23",54
"2018-02-24",61
"2018-02-25",80
"2018-02-26",90
"2018-02-27",79
"2018-02-28",72
"2018-03-01",77
"2018-03-02",68
"2018-03-03",62
"2018-03-04",95
"2018-03-05",85
"2018-03-06",84
"2018-03-07",72
"2018-03-08",71
"2018-03-09",63
"2018-03-10",56
"2018-03-11",77
"2018-03-12",77
"2018-03-13",57
"2018-03-14",60
"2018-03-15",46
"2018-03-16",50
"2018-03-17",65
"2018-03-18",67
"2018-03-19",77
"2018-03-20",59
"2018-03-21",67
"2018-03-22",61
"2018-03-23",43
"2018-03-24",44
"2018-03-25",79
"2018-03-26",72
"2018-03-27",70
"2018-03-28",63
"2018-03-29",56
"2018-03-30",41
"2018-03-31",49
"2018-04-01",62
"2018-04-02",46
"2018-04-03",52
"2018-04-04",53
"2018-04-05",45
"2018-04-06",51
"2018-04-07",56
"2018-04-08",76
"2018-04-09",54
"2018-04-10",65
"2018-04-11",66
"2018-04-12",53
"2018-04-13",56
"2018-04-14",48
"2018-04-15",74
"2018-04-16",66
"2018-04-17",51
"2018-04-18",57
"2018-04-19",60
