네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","베이블레이드"
"2017-08-01",11
"2017-08-02",12
"2017-08-03",10
"2017-08-04",9
"2017-08-05",11
"2017-08-06",13
"2017-08-07",13
"2017-08-08",11
"2017-08-09",10
"2017-08-10",10
"2017-08-11",9
"2017-08-12",10
"2017-08-13",11
"2017-08-14",10
"2017-08-15",12
"2017-08-16",11
"2017-08-17",11
"2017-08-18",9
"2017-08-19",13
"2017-08-20",15
"2017-08-21",11
"2017-08-22",12
"2017-08-23",11
"2017-08-24",10
"2017-08-25",11
"2017-08-26",14
"2017-08-27",16
"2017-08-28",12
"2017-08-29",14
"2017-08-30",12
"2017-08-31",12
"2017-09-01",11
"2017-09-02",15
"2017-09-03",16
"2017-09-04",14
"2017-09-05",14
"2017-09-06",11
"2017-09-07",11
"2017-09-08",11
"2017-09-09",16
"2017-09-10",21
"2017-09-11",16
"2017-09-12",18
"2017-09-13",15
"2017-09-14",16
"2017-09-15",15
"2017-09-16",18
"2017-09-17",27
"2017-09-18",20
"2017-09-19",18
"2017-09-20",18
"2017-09-21",16
"2017-09-22",16
"2017-09-23",23
"2017-09-24",25
"2017-09-25",30
"2017-09-26",29
"2017-09-27",27
"2017-09-28",21
"2017-09-29",21
"2017-09-30",28
"2017-10-01",32
"2017-10-02",29
"2017-10-03",26
"2017-10-04",36
"2017-10-05",38
"2017-10-06",40
"2017-10-07",37
"2017-10-08",36
"2017-10-09",41
"2017-10-10",33
"2017-10-11",27
"2017-10-12",22
"2017-10-13",21
"2017-10-14",31
"2017-10-15",36
"2017-10-16",27
"2017-10-17",28
"2017-10-18",27
"2017-10-19",23
"2017-10-20",17
"2017-10-21",25
"2017-10-22",28
"2017-10-23",18
"2017-10-24",19
"2017-10-25",16
"2017-10-26",14
"2017-10-27",16
"2017-10-28",21
"2017-10-29",28
"2017-10-30",18
"2017-10-31",16
"2017-11-01",16
"2017-11-02",17
"2017-11-03",17
"2017-11-04",29
"2017-11-05",29
"2017-11-06",31
"2017-11-07",26
"2017-11-08",24
"2017-11-09",30
"2017-11-10",27
"2017-11-11",47
"2017-11-12",46
"2017-11-13",35
"2017-11-14",35
"2017-11-15",28
"2017-11-16",27
"2017-11-17",28
"2017-11-18",42
"2017-11-19",46
"2017-11-20",34
"2017-11-21",32
"2017-11-22",31
"2017-11-23",32
"2017-11-24",27
"2017-11-25",42
"2017-11-26",50
"2017-11-27",41
"2017-11-28",38
"2017-11-29",39
"2017-11-30",36
"2017-12-01",43
"2017-12-02",57
"2017-12-03",64
"2017-12-04",51
"2017-12-05",65
"2017-12-06",58
"2017-12-07",61
"2017-12-08",57
"2017-12-09",70
"2017-12-10",81
"2017-12-11",77
"2017-12-12",78
"2017-12-13",71
"2017-12-14",74
"2017-12-15",59
"2017-12-16",66
"2017-12-17",81
"2017-12-18",95
"2017-12-19",100
"2017-12-20",75
"2017-12-21",56
"2017-12-22",42
"2017-12-23",56
"2017-12-24",60
"2017-12-25",65
"2017-12-26",43
"2017-12-27",36
"2017-12-28",34
"2017-12-29",29
"2017-12-30",36
"2017-12-31",38
"2018-01-01",45
"2018-01-02",35
"2018-01-03",30
"2018-01-04",33
"2018-01-05",30
"2018-01-06",36
"2018-01-07",41
"2018-01-08",34
"2018-01-09",28
"2018-01-10",27
"2018-01-11",26
"2018-01-12",26
"2018-01-13",36
"2018-01-14",37
"2018-01-15",31
"2018-01-16",30
"2018-01-17",27
"2018-01-18",27
"2018-01-19",23
"2018-01-20",35
"2018-01-21",38
"2018-01-22",26
"2018-01-23",28
"2018-01-24",28
"2018-01-25",24
"2018-01-26",24
"2018-01-27",37
"2018-01-28",36
"2018-01-29",27
"2018-01-30",25
"2018-01-31",26
"2018-02-01",25
"2018-02-02",22
"2018-02-03",33
"2018-02-04",37
"2018-02-05",32
"2018-02-06",25
"2018-02-07",30
"2018-02-08",24
"2018-02-09",24
"2018-02-10",30
"2018-02-11",31
"2018-02-12",19
"2018-02-13",18
"2018-02-14",21
"2018-02-15",27
"2018-02-16",45
"2018-02-17",51
"2018-02-18",49
"2018-02-19",32
"2018-02-20",26
"2018-02-21",25
"2018-02-22",23
"2018-02-23",21
"2018-02-24",29
"2018-02-25",30
"2018-02-26",27
"2018-02-27",26
"2018-02-28",23
"2018-03-01",30
"2018-03-02",22
"2018-03-03",31
"2018-03-04",33
"2018-03-05",21
"2018-03-06",22
"2018-03-07",22
"2018-03-08",23
"2018-03-09",25
"2018-03-10",36
"2018-03-11",36
"2018-03-12",24
"2018-03-13",27
"2018-03-14",24
"2018-03-15",23
"2018-03-16",20
"2018-03-17",34
"2018-03-18",31
"2018-03-19",22
"2018-03-20",20
"2018-03-21",22
"2018-03-22",20
"2018-03-23",18
"2018-03-24",32
"2018-03-25",29
"2018-03-26",20
"2018-03-27",17
"2018-03-28",19
"2018-03-29",18
"2018-03-30",17
"2018-03-31",27
"2018-04-01",30
"2018-04-02",22
"2018-04-03",19
"2018-04-04",22
"2018-04-05",19
"2018-04-06",19
"2018-04-07",30
"2018-04-08",29
"2018-04-09",21
"2018-04-10",19
"2018-04-11",22
"2018-04-12",20
"2018-04-13",19
"2018-04-14",33
"2018-04-15",31
"2018-04-16",26
"2018-04-17",26
"2018-04-18",23
"2018-04-19",23
