네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","보행기"
"2017-08-01",50
"2017-08-02",57
"2017-08-03",58
"2017-08-04",49
"2017-08-05",49
"2017-08-06",57
"2017-08-07",47
"2017-08-08",51
"2017-08-09",56
"2017-08-10",50
"2017-08-11",43
"2017-08-12",41
"2017-08-13",65
"2017-08-14",66
"2017-08-15",60
"2017-08-16",63
"2017-08-17",63
"2017-08-18",43
"2017-08-19",40
"2017-08-20",47
"2017-08-21",45
"2017-08-22",44
"2017-08-23",52
"2017-08-24",40
"2017-08-25",36
"2017-08-26",39
"2017-08-27",43
"2017-08-28",44
"2017-08-29",43
"2017-08-30",50
"2017-08-31",46
"2017-09-01",52
"2017-09-02",34
"2017-09-03",44
"2017-09-04",49
"2017-09-05",35
"2017-09-06",38
"2017-09-07",37
"2017-09-08",40
"2017-09-09",24
"2017-09-10",38
"2017-09-11",38
"2017-09-12",43
"2017-09-13",43
"2017-09-14",37
"2017-09-15",40
"2017-09-16",33
"2017-09-17",43
"2017-09-18",36
"2017-09-19",44
"2017-09-20",43
"2017-09-21",37
"2017-09-22",32
"2017-09-23",29
"2017-09-24",43
"2017-09-25",58
"2017-09-26",58
"2017-09-27",61
"2017-09-28",44
"2017-09-29",34
"2017-09-30",31
"2017-10-01",39
"2017-10-02",37
"2017-10-03",37
"2017-10-04",45
"2017-10-05",53
"2017-10-06",71
"2017-10-07",67
"2017-10-08",80
"2017-10-09",86
"2017-10-10",89
"2017-10-11",66
"2017-10-12",51
"2017-10-13",48
"2017-10-14",42
"2017-10-15",51
"2017-10-16",55
"2017-10-17",47
"2017-10-18",72
"2017-10-19",55
"2017-10-20",55
"2017-10-21",48
"2017-10-22",57
"2017-10-23",65
"2017-10-24",50
"2017-10-25",52
"2017-10-26",62
"2017-10-27",53
"2017-10-28",62
"2017-10-29",59
"2017-10-30",45
"2017-10-31",63
"2017-11-01",72
"2017-11-02",67
"2017-11-03",55
"2017-11-04",46
"2017-11-05",48
"2017-11-06",58
"2017-11-07",66
"2017-11-08",55
"2017-11-09",61
"2017-11-10",47
"2017-11-11",40
"2017-11-12",58
"2017-11-13",60
"2017-11-14",53
"2017-11-15",62
"2017-11-16",58
"2017-11-17",45
"2017-11-18",46
"2017-11-19",59
"2017-11-20",66
"2017-11-21",60
"2017-11-22",62
"2017-11-23",56
"2017-11-24",42
"2017-11-25",45
"2017-11-26",61
"2017-11-27",76
"2017-11-28",61
"2017-11-29",57
"2017-11-30",52
"2017-12-01",52
"2017-12-02",53
"2017-12-03",56
"2017-12-04",86
"2017-12-05",57
"2017-12-06",62
"2017-12-07",60
"2017-12-08",64
"2017-12-09",55
"2017-12-10",78
"2017-12-11",71
"2017-12-12",66
"2017-12-13",69
"2017-12-14",71
"2017-12-15",64
"2017-12-16",52
"2017-12-17",62
"2017-12-18",78
"2017-12-19",84
"2017-12-20",75
"2017-12-21",75
"2017-12-22",51
"2017-12-23",46
"2017-12-24",60
"2017-12-25",57
"2017-12-26",64
"2017-12-27",69
"2017-12-28",63
"2017-12-29",51
"2017-12-30",47
"2017-12-31",52
"2018-01-01",65
"2018-01-02",74
"2018-01-03",71
"2018-01-04",60
"2018-01-05",64
"2018-01-06",51
"2018-01-07",75
"2018-01-08",77
"2018-01-09",70
"2018-01-10",72
"2018-01-11",59
"2018-01-12",71
"2018-01-13",72
"2018-01-14",79
"2018-01-15",80
"2018-01-16",72
"2018-01-17",72
"2018-01-18",82
"2018-01-19",72
"2018-01-20",66
"2018-01-21",79
"2018-01-22",79
"2018-01-23",96
"2018-01-24",86
"2018-01-25",69
"2018-01-26",76
"2018-01-27",69
"2018-01-28",86
"2018-01-29",89
"2018-01-30",69
"2018-01-31",67
"2018-02-01",68
"2018-02-02",64
"2018-02-03",58
"2018-02-04",67
"2018-02-05",77
"2018-02-06",79
"2018-02-07",68
"2018-02-08",69
"2018-02-09",50
"2018-02-10",49
"2018-02-11",63
"2018-02-12",50
"2018-02-13",44
"2018-02-14",61
"2018-02-15",65
"2018-02-16",56
"2018-02-17",74
"2018-02-18",100
"2018-02-19",88
"2018-02-20",69
"2018-02-21",66
"2018-02-22",85
"2018-02-23",64
"2018-02-24",71
"2018-02-25",82
"2018-02-26",87
"2018-02-27",82
"2018-02-28",77
"2018-03-01",75
"2018-03-02",68
"2018-03-03",66
"2018-03-04",93
"2018-03-05",98
"2018-03-06",77
"2018-03-07",79
"2018-03-08",83
"2018-03-09",76
"2018-03-10",75
"2018-03-11",94
"2018-03-12",93
"2018-03-13",97
"2018-03-14",76
"2018-03-15",84
"2018-03-16",75
"2018-03-17",75
"2018-03-18",92
"2018-03-19",80
"2018-03-20",86
"2018-03-21",84
"2018-03-22",77
"2018-03-23",65
"2018-03-24",59
"2018-03-25",81
"2018-03-26",89
"2018-03-27",79
"2018-03-28",66
"2018-03-29",63
"2018-03-30",49
"2018-03-31",65
"2018-04-01",82
"2018-04-02",77
"2018-04-03",80
"2018-04-04",79
"2018-04-05",90
"2018-04-06",75
"2018-04-07",71
"2018-04-08",83
"2018-04-09",94
"2018-04-10",78
"2018-04-11",79
"2018-04-12",74
"2018-04-13",56
"2018-04-14",70
"2018-04-15",70
"2018-04-16",91
"2018-04-17",74
"2018-04-18",87
"2018-04-19",76
