네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","우주복"
"2017-08-01",8
"2017-08-02",6
"2017-08-03",6
"2017-08-04",6
"2017-08-05",3
"2017-08-06",7
"2017-08-07",5
"2017-08-08",7
"2017-08-09",8
"2017-08-10",8
"2017-08-11",6
"2017-08-12",9
"2017-08-13",10
"2017-08-14",10
"2017-08-15",17
"2017-08-16",14
"2017-08-17",12
"2017-08-18",10
"2017-08-19",19
"2017-08-20",17
"2017-08-21",20
"2017-08-22",18
"2017-08-23",18
"2017-08-24",15
"2017-08-25",14
"2017-08-26",14
"2017-08-27",19
"2017-08-28",24
"2017-08-29",36
"2017-08-30",56
"2017-08-31",48
"2017-09-01",40
"2017-09-02",29
"2017-09-03",35
"2017-09-04",39
"2017-09-05",47
"2017-09-06",43
"2017-09-07",38
"2017-09-08",31
"2017-09-09",26
"2017-09-10",26
"2017-09-11",33
"2017-09-12",35
"2017-09-13",40
"2017-09-14",32
"2017-09-15",31
"2017-09-16",28
"2017-09-17",36
"2017-09-18",47
"2017-09-19",43
"2017-09-20",32
"2017-09-21",39
"2017-09-22",46
"2017-09-23",31
"2017-09-24",37
"2017-09-25",42
"2017-09-26",30
"2017-09-27",31
"2017-09-28",26
"2017-09-29",26
"2017-09-30",25
"2017-10-01",29
"2017-10-02",30
"2017-10-03",22
"2017-10-04",21
"2017-10-05",31
"2017-10-06",40
"2017-10-07",45
"2017-10-08",30
"2017-10-09",46
"2017-10-10",40
"2017-10-11",46
"2017-10-12",61
"2017-10-13",65
"2017-10-14",62
"2017-10-15",53
"2017-10-16",68
"2017-10-17",72
"2017-10-18",58
"2017-10-19",57
"2017-10-20",50
"2017-10-21",35
"2017-10-22",46
"2017-10-23",53
"2017-10-24",66
"2017-10-25",69
"2017-10-26",54
"2017-10-27",43
"2017-10-28",31
"2017-10-29",53
"2017-10-30",80
"2017-10-31",69
"2017-11-01",61
"2017-11-02",62
"2017-11-03",50
"2017-11-04",56
"2017-11-05",58
"2017-11-06",83
"2017-11-07",72
"2017-11-08",52
"2017-11-09",61
"2017-11-10",72
"2017-11-11",45
"2017-11-12",61
"2017-11-13",75
"2017-11-14",74
"2017-11-15",69
"2017-11-16",73
"2017-11-17",60
"2017-11-18",64
"2017-11-19",81
"2017-11-20",100
"2017-11-21",86
"2017-11-22",69
"2017-11-23",70
"2017-11-24",50
"2017-11-25",47
"2017-11-26",45
"2017-11-27",64
"2017-11-28",53
"2017-11-29",53
"2017-11-30",56
"2017-12-01",55
"2017-12-02",53
"2017-12-03",42
"2017-12-04",68
"2017-12-05",68
"2017-12-06",58
"2017-12-07",54
"2017-12-08",38
"2017-12-09",33
"2017-12-10",47
"2017-12-11",58
"2017-12-12",65
"2017-12-13",55
"2017-12-14",66
"2017-12-15",53
"2017-12-16",38
"2017-12-17",40
"2017-12-18",53
"2017-12-19",48
"2017-12-20",39
"2017-12-21",38
"2017-12-22",35
"2017-12-23",25
"2017-12-24",29
"2017-12-25",27
"2017-12-26",32
"2017-12-27",36
"2017-12-28",38
"2017-12-29",24
"2017-12-30",27
"2017-12-31",18
"2018-01-01",23
"2018-01-02",35
"2018-01-03",28
"2018-01-04",28
"2018-01-05",28
"2018-01-06",29
"2018-01-07",24
"2018-01-08",29
"2018-01-09",29
"2018-01-10",25
"2018-01-11",32
"2018-01-12",28
"2018-01-13",23
"2018-01-14",32
"2018-01-15",40
"2018-01-16",26
"2018-01-17",30
"2018-01-18",21
"2018-01-19",18
"2018-01-20",22
"2018-01-21",26
"2018-01-22",25
"2018-01-23",24
"2018-01-24",18
"2018-01-25",19
"2018-01-26",19
"2018-01-27",17
"2018-01-28",16
"2018-01-29",29
"2018-01-30",27
"2018-01-31",23
"2018-02-01",26
"2018-02-02",20
"2018-02-03",22
"2018-02-04",26
"2018-02-05",33
"2018-02-06",23
"2018-02-07",24
"2018-02-08",22
"2018-02-09",20
"2018-02-10",15
"2018-02-11",20
"2018-02-12",18
"2018-02-13",13
"2018-02-14",9
"2018-02-15",7
"2018-02-16",11
"2018-02-17",11
"2018-02-18",12
"2018-02-19",22
"2018-02-20",21
"2018-02-21",11
"2018-02-22",16
"2018-02-23",13
"2018-02-24",16
"2018-02-25",23
"2018-02-26",20
"2018-02-27",18
"2018-02-28",17
"2018-03-01",19
"2018-03-02",17
"2018-03-03",12
"2018-03-04",26
"2018-03-05",30
"2018-03-06",30
"2018-03-07",20
"2018-03-08",24
"2018-03-09",18
"2018-03-10",22
"2018-03-11",23
"2018-03-12",31
"2018-03-13",25
"2018-03-14",22
"2018-03-15",13
"2018-03-16",17
"2018-03-17",18
"2018-03-18",20
"2018-03-19",21
"2018-03-20",23
"2018-03-21",17
"2018-03-22",19
"2018-03-23",24
"2018-03-24",18
"2018-03-25",25
"2018-03-26",17
"2018-03-27",21
"2018-03-28",16
"2018-03-29",19
"2018-03-30",18
"2018-03-31",11
"2018-04-01",17
"2018-04-02",18
"2018-04-03",16
"2018-04-04",14
"2018-04-05",13
"2018-04-06",18
"2018-04-07",16
"2018-04-08",15
"2018-04-09",16
"2018-04-10",13
"2018-04-11",11
"2018-04-12",19
"2018-04-13",12
"2018-04-14",12
"2018-04-15",11
"2018-04-16",15
"2018-04-17",17
"2018-04-18",15
"2018-04-19",17
