네이버 데이터랩 쇼핑인사이트 > 검색어 통계
조회분야
출산/육아
조회기간 : 2017.08.01. ~ 2018.04.19. 일간
기기별 : 전체
성별 : 전체
연령별 : 전체

"날짜","키드크래프트주방놀이"
"2017-08-01",19
"2017-08-02",28
"2017-08-03",21
"2017-08-04",22
"2017-08-05",20
"2017-08-06",24
"2017-08-07",26
"2017-08-08",27
"2017-08-09",23
"2017-08-10",26
"2017-08-11",20
"2017-08-12",15
"2017-08-13",29
"2017-08-14",31
"2017-08-15",24
"2017-08-16",23
"2017-08-17",25
"2017-08-18",28
"2017-08-19",20
"2017-08-20",26
"2017-08-21",29
"2017-08-22",30
"2017-08-23",27
"2017-08-24",22
"2017-08-25",22
"2017-08-26",22
"2017-08-27",22
"2017-08-28",22
"2017-08-29",26
"2017-08-30",22
"2017-08-31",22
"2017-09-01",27
"2017-09-02",20
"2017-09-03",25
"2017-09-04",19
"2017-09-05",23
"2017-09-06",29
"2017-09-07",25
"2017-09-08",27
"2017-09-09",20
"2017-09-10",35
"2017-09-11",21
"2017-09-12",24
"2017-09-13",25
"2017-09-14",26
"2017-09-15",23
"2017-09-16",17
"2017-09-17",21
"2017-09-18",27
"2017-09-19",24
"2017-09-20",17
"2017-09-21",22
"2017-09-22",19
"2017-09-23",19
"2017-09-24",29
"2017-09-25",29
"2017-09-26",29
"2017-09-27",28
"2017-09-28",28
"2017-09-29",20
"2017-09-30",20
"2017-10-01",25
"2017-10-02",21
"2017-10-03",20
"2017-10-04",21
"2017-10-05",30
"2017-10-06",38
"2017-10-07",35
"2017-10-08",38
"2017-10-09",43
"2017-10-10",44
"2017-10-11",40
"2017-10-12",35
"2017-10-13",30
"2017-10-14",36
"2017-10-15",36
"2017-10-16",34
"2017-10-17",42
"2017-10-18",37
"2017-10-19",35
"2017-10-20",33
"2017-10-21",28
"2017-10-22",36
"2017-10-23",40
"2017-10-24",40
"2017-10-25",32
"2017-10-26",44
"2017-10-27",44
"2017-10-28",38
"2017-10-29",44
"2017-10-30",33
"2017-10-31",30
"2017-11-01",35
"2017-11-02",38
"2017-11-03",46
"2017-11-04",41
"2017-11-05",40
"2017-11-06",40
"2017-11-07",43
"2017-11-08",41
"2017-11-09",45
"2017-11-10",37
"2017-11-11",41
"2017-11-12",39
"2017-11-13",38
"2017-11-14",39
"2017-11-15",37
"2017-11-16",39
"2017-11-17",43
"2017-11-18",37
"2017-11-19",42
"2017-11-20",49
"2017-11-21",46
"2017-11-22",44
"2017-11-23",39
"2017-11-24",40
"2017-11-25",41
"2017-11-26",45
"2017-11-27",45
"2017-11-28",47
"2017-11-29",51
"2017-11-30",44
"2017-12-01",66
"2017-12-02",54
"2017-12-03",80
"2017-12-04",70
"2017-12-05",78
"2017-12-06",67
"2017-12-07",67
"2017-12-08",89
"2017-12-09",70
"2017-12-10",68
"2017-12-11",87
"2017-12-12",87
"2017-12-13",75
"2017-12-14",83
"2017-12-15",80
"2017-12-16",74
"2017-12-17",78
"2017-12-18",100
"2017-12-19",88
"2017-12-20",93
"2017-12-21",89
"2017-12-22",72
"2017-12-23",61
"2017-12-24",66
"2017-12-25",74
"2017-12-26",65
"2017-12-27",51
"2017-12-28",45
"2017-12-29",40
"2017-12-30",41
"2017-12-31",42
"2018-01-01",41
"2018-01-02",49
"2018-01-03",38
"2018-01-04",48
"2018-01-05",37
"2018-01-06",38
"2018-01-07",37
"2018-01-08",46
"2018-01-09",46
"2018-01-10",41
"2018-01-11",43
"2018-01-12",36
"2018-01-13",38
"2018-01-14",32
"2018-01-15",34
"2018-01-16",38
"2018-01-17",36
"2018-01-18",49
"2018-01-19",39
"2018-01-20",40
"2018-01-21",46
"2018-01-22",42
"2018-01-23",44
"2018-01-24",42
"2018-01-25",37
"2018-01-26",33
"2018-01-27",31
"2018-01-28",36
"2018-01-29",40
"2018-01-30",35
"2018-01-31",37
"2018-02-01",34
"2018-02-02",29
"2018-02-03",29
"2018-02-04",35
"2018-02-05",33
"2018-02-06",41
"2018-02-07",33
"2018-02-08",31
"2018-02-09",26
"2018-02-10",29
"2018-02-11",28
"2018-02-12",25
"2018-02-13",22
"2018-02-14",19
"2018-02-15",21
"2018-02-16",21
"2018-02-17",28
"2018-02-18",35
"2018-02-19",40
"2018-02-20",32
"2018-02-21",34
"2018-02-22",23
"2018-02-23",30
"2018-02-24",24
"2018-02-25",28
"2018-02-26",27
"2018-02-27",32
"2018-02-28",34
"2018-03-01",33
"2018-03-02",41
"2018-03-03",37
"2018-03-04",50
"2018-03-05",44
"2018-03-06",38
"2018-03-07",35
"2018-03-08",34
"2018-03-09",31
"2018-03-10",24
"2018-03-11",34
"2018-03-12",31
"2018-03-13",34
"2018-03-14",27
"2018-03-15",30
"2018-03-16",28
"2018-03-17",31
"2018-03-18",40
"2018-03-19",37
"2018-03-20",44
"2018-03-21",41
"2018-03-22",41
"2018-03-23",31
"2018-03-24",32
"2018-03-25",32
"2018-03-26",34
"2018-03-27",36
"2018-03-28",31
"2018-03-29",34
"2018-03-30",20
"2018-03-31",24
"2018-04-01",33
"2018-04-02",29
"2018-04-03",24
"2018-04-04",23
"2018-04-05",36
"2018-04-06",29
"2018-04-07",34
"2018-04-08",37
"2018-04-09",29
"2018-04-10",30
"2018-04-11",29
"2018-04-12",35
"2018-04-13",28
"2018-04-14",29
"2018-04-15",37
"2018-04-16",42
"2018-04-17",44
"2018-04-18",53
"2018-04-19",55
